,card,link,mana,n
0,"Vraska, the Silencer",price/Outlaws+of+Thunder+Junction/Vraska+the+Silencer#paper, 1 black green,1
1,Alloy Animist,price/The+Brothers+War/Alloy+Animist#paper, green,1
2,Arbor Elf,price/Magic+2013/Arbor+Elf#paper, green,1
3,Birds of Paradise,price/Dominaria+Remastered/Birds+of+Paradise-retro#paper, green,1
4,Disciple of the Vault,price/Mirrodin/Disciple+of+the+Vault#paper, black,1
5,Elves of Deep Shadow,price/Ravnica+City+of+Guilds/Elves+of+Deep+Shadow#paper, green,1
6,Elvish Mystic,price/Commander+Masters/Elvish+Mystic#paper, green,1
7,Fyndhorn Elves,price/Commander+Legends/Fyndhorn+Elves#paper, green,1
8,Llanowar Elves,price/Magic+2010/Llanowar+Elves#paper, green,1
9,Ravenous Squirrel,price/Modern+Horizons+2/Ravenous+Squirrel-showcase#paper, hyrid black green,1
10,Teething Wurmlet,price/The+Brothers+War/Teething+Wurmlet#paper, green,1
11,"Chevill, Bane of Monsters",price/Ikoria+Lair+of+Behemoths/Chevill+Bane+of+Monsters#paper, black green,1
12,Hardbristle Bandit,price/Outlaws+of+Thunder+Junction/Hardbristle+Bandit#paper, 1 green,1
13,Priest of Yawgmoth,price/Antiquities/Priest+of+Yawgmoth#paper, 1 black,1
14,Psychomancer,price/Warhammer+40K+Commander+Decks/Psychomancer#paper, 1 black,1
15,Sarinth Steelseeker,price/The+Brothers+War/Sarinth+Steelseeker#paper, 1 green,1
16,"Syr Ginger, the Meal Ender",price/Wilds+of+Eldraine/Syr+Ginger+the+Meal+Ender#paper, 2,1
17,Tough Cookie,price/Wilds+of+Eldraine/Tough+Cookie#paper, 1 green,1
18,Activated Sleeper,price/Dominaria+United+Commander:Foil/Activated+Sleeper-extended#paper, 2 black,1
19,"Armix, Filigree Thrasher",price/The+Brothers+War+Commander/Armix+Filigree+Thrasher-retro#paper, 2 black,1
20,"Braids, Arisen Nightmare",price/Dominaria+United/Braids+Arisen+Nightmare-showcase#paper, 1 black black,1
