,card,link,mana,n
0,Sidar Kondo of Jamuraa,price/Ravnica+Murders+at+Karlov+Manor+Commander/Sidar+Kondo+of+Jamuraa#paper, 2 green white,1
1,"Tana, the Bloodsower",price/Commander+Legends:Foil/Tana+the+Bloodsower-etched#paper, 2 red green,1
2,"Oviya Pashiri, Sage Lifecrafter",price/Commander+Masters/Oviya+Pashiri+Sage+Lifecrafter#paper, green,1
3,"Grenzo, Havoc Raiser",price/Outlaws+of+Thunder+Junction+Commander/Grenzo+Havoc+Raiser#paper, red red,1
4,Hanweir Militia Captain,price/Shadows+over+Innistrad/Hanweir+Militia+Captain#paper, 1 white,1
5,Precinct Captain,price/Duel+Decks+Elspeth+vs+Kiora/Precinct+Captain#paper, white white,1
6,Champion of Lambholt,price/Starter+Commander/Champion+of+Lambholt#paper, 1 green green,1
7,Hanweir Garrison,price/Eldritch+Moon/Hanweir+Garrison#paper, 2 red,1
8,Mentor of the Meek,price/The+List/Mentor+of+the+Meek#paper, 2 white,1
9,Recruiter of the Guard,price/Mystery+Booster/Recruiter+of+the+Guard#paper, 2 white,1
10,Wayfaring Temple,price/Mystery+Booster/Wayfaring+Temple#paper, 1 green white,1
11,Hellrider,price/Duel+Decks+Sorin+vs+Tibalt/Hellrider#paper, 2 red red,1
12,Huntmaster of the Fells,price/Secret+Lair:Foil/Huntmaster+of+the+Fells-Artist+Series+Chris+Rahn#paper, 2 red green,1
13,Ogre Battledriver,price/Duel+Decks+Speed+vs+Cunning/Ogre+Battledriver#paper, 2 red red,1
14,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
15,"Trostani, Selesnya's Voice",price/Return+to+Ravnica/Trostani+Selesnyas+Voice#paper, green green white white,1
16,"Kazuul, Tyrant of the Cliffs",price/Ravnica+Murders+at+Karlov+Manor+Commander/Kazuul+Tyrant+of+the+Cliffs#paper, 3 red red,1
17,Mycoloth,price/Commander+2015/Mycoloth#paper, 3 green green,1
18,Siege-Gang Commander,price/Phyrexia+All+Will+Be+One+Commander/Siege-Gang+Commander#paper, 3 red red,1
19,Dragon Broodmother,price/Mystery+Booster/Dragon+Broodmother#paper, 2 red red red green,1
20,Dragonlair Spider,price/Conspiracy+Take+the+Crown/Dragonlair+Spider#paper, 2 red red green green,1
21,Requiem Angel,price/Dark+Ascension/Requiem+Angel#paper, 5 white,1
22,"Rith, the Awakener",price/Dominaria+Remastered/Rith+the+Awakener-retro#paper, 3 red green white,1
23,Avenger of Zendikar,price/Outlaws+of+Thunder+Junction+Commander/Avenger+of+Zendikar#paper, 5 green green,1
24,"Omnath, Locus of Rage",price/Outlaws+of+Thunder+Junction+Commander/Omnath+Locus+of+Rage#paper, 3 red red green green,1
25,Craterhoof Behemoth,price/Commander+Masters/Craterhoof+Behemoth-foil+etched#paper, 5 green green green,1
26,"Nissa, Voice of Zendikar",price/Mystery+Booster/Nissa+Voice+of+Zendikar#paper, 1 green green,1
27,Garruk Wildspeaker,price/Commander/Garruk+Wildspeaker#paper, 2 green green,1
28,"Xenagos, the Reveler",price/Commander+Legends+Battle+for+Baldurs+Gate/Xenagos+the+Reveler#paper, 2 red green,1
29,Secure the Wastes,price/Fallout/Secure+the+Wastes#paper, x white,1
30,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
31,Artifact Mutation,price/Streets+of+New+Capenna+Commander/Artifact+Mutation#paper, red green,1
32,Aura Mutation,price/Starter+Commander/Aura+Mutation#paper, green white,1
33,Boros Charm,price/Outlaws+of+Thunder+Junction+Commander/Boros+Charm#paper, red white,1
34,Rampant Growth,price/Outlaws+of+Thunder+Junction+Commander/Rampant+Growth#paper, 1 green,1
35,Beast Within,price/Duel+Decks+Heroes+vs+Monsters/Beast+Within#paper, 2 green,1
36,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
37,Krosan Grip,price/Time+Spiral+Remastered/Krosan+Grip#paper, 2 green,1
38,Rith's Charm,price/Planeshift/Riths+Charm#paper, red green white,1
39,Rootborn Defenses,price/Ravnica+Clue+Edition/Rootborn+Defenses#paper, 2 white,1
40,Decimate,price/Outlaws+of+Thunder+Junction+Commander/Decimate#paper, 2 red green,1
41,Sram's Expertise,price/Aether+Revolt/Srams+Expertise#paper, 2 white white,1
42,Increasing Devotion,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Increasing+Devotion#paper, 3 white white,1
43,Shamanic Revelation,price/Streets+of+New+Capenna+Commander/Shamanic+Revelation#paper, 3 green green,1
44,Titanic Ultimatum,price/Shards+of+Alara/Titanic+Ultimatum#paper, red red green green green white white,1
45,Skullclamp,price/The+Brothers+War+Commander/Skullclamp#paper, 1,1
46,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
47,Boros Signet,price/Ravnica+Clue+Edition/Boros+Signet#paper, 2,1
