,card,link,mana,n
0,"Faramir, Prince of Ithilien",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Faramir+Prince+of+Ithilien-showcase#paper, 2 white blue,1
1,Flumph,price/Adventures+in+the+Forgotten+Realms/Flumph#paper, 1 white,1
2,Grand Abolisher,price/The+Big+Score/Grand+Abolisher#paper, white white,1
3,"Kataki, War's Wage",price/Modern+Event+Deck+2014/Kataki+Wars+Wage#paper, 1 white,1
4,Aven Mindcensor,price/Commander+Legends+Battle+for+Baldurs+Gate/Aven+Mindcensor#paper, 2 white,1
5,Kefnet the Mindful,price/Amonkhet/Kefnet+the+Mindful#paper, 2 blue,1
6,"Thassa, God of the Sea",price/Lost+Caverns+of+Ixalan+Commander/Thassa+God+of+the+Sea#paper, 2 blue,1
7,"Ephara, God of the Polis",price/Born+of+the+Gods/Ephara+God+of+the+Polis#paper, 2 white blue,1
8,Glen Elendra Archmage,price/Wilds+of+Eldraine+Commander/Glen+Elendra+Archmage#paper, 3 blue,1
9,Sower of Temptation,price/Wilds+of+Eldraine+Commander/Sower+of+Temptation#paper, 2 blue blue,1
10,"Venser, Shaper Savant",price/Double+Masters+2022/Venser+Shaper+Savant#paper, 2 blue blue,1
11,Mulldrifter,price/Ravnica+Murders+at+Karlov+Manor+Commander/Mulldrifter#paper, 4 blue,1
12,"Narset, Parter of Veils",price/War+of+the+Spark/Narset+Parter+of+Veils#paper, 1 blue blue,1
13,"Teyo, Geometric Tactician",price/Commander+Masters/Teyo+Geometric+Tactician#paper, 2 white,1
14,"Teferi, Temporal Pilgrim",price/The+Brothers+War/Teferi+Temporal+Pilgrim-borderless#paper, 3 blue blue,1
15,"Elspeth, Sun's Champion",price/Ravnica+Murders+at+Karlov+Manor+Commander/Elspeth+Suns+Champion#paper, 4 white white,1
16,Brainstorm,price/Duel+Decks+Izzet+vs+Golgari/Brainstorm#paper, blue,1
17,Consider,price/Ravnica+Clue+Edition/Consider#paper, blue,1
18,Opt,price/Jumpstart+2022/Opt#paper, blue,1
19,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
20,Ponder,price/Outlaws+of+Thunder+Junction+Commander/Ponder#paper, blue,1
21,Preordain,price/Outlaws+of+Thunder+Junction+Commander/Preordain#paper, blue,1
22,Serum Visions,price/Outlaws+of+Thunder+Junction+Commander/Serum+Visions#paper, blue,1
23,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
24,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
25,Deduce,price/Ravnica+Murders+at+Karlov+Manor/Deduce#paper, 1 blue,1
26,Disdainful Stroke,price/Streets+of+New+Capenna/Disdainful+Stroke#paper, 1 blue,1
27,Dovin's Veto,price/War+of+the+Spark/Dovins+Veto#paper, white blue,1
28,Memory Lapse,price/Homelands/Memory+Lapse-B#paper, 1 blue,1
29,Negate,price/Oath+of+the+Gatewatch/Negate#paper, 1 blue,1
30,Reality Shift,price/Commander+Masters/Reality+Shift#paper, 1 blue,1
31,Remand,price/Ravnica+Remastered/Remand#paper, 1 blue,1
32,Reprieve,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Reprieve#paper, 1 white,1
33,Unsubstantiate,price/Core+Set+2021/Unsubstantiate#paper, 1 blue,1
34,Absorb,price/Starter+Commander/Absorb#paper, white blue blue,1
35,Didn't Say Please,price/Throne+of+Eldraine/Didnt+Say+Please#paper, 1 blue blue,1
36,Ertai's Scorn,price/Dominaria+United/Ertais+Scorn#paper, 1 blue blue,1
37,Neutralize,price/Jumpstart+2022/Neutralize#paper, 1 blue blue,1
38,Render Silent,price/Dragons+Maze/Render+Silent#paper, white blue blue,1
39,Saw It Coming,price/Kaldheim/Saw+It+Coming#paper, 1 blue blue,1
40,Scatter to the Winds,price/Battle+for+Zendikar/Scatter+to+the+Winds#paper, 1 blue blue,1
41,Thought Collapse,price/Mystery+Booster/Thought+Collapse#paper, 1 blue blue,1
42,Supreme Verdict,price/Ravnica+Clue+Edition/Supreme+Verdict#paper, 1 white white blue,1
43,Wrath of God,price/Dominaria+Remastered/Wrath+of+God-retro#paper, 2 white white,1
44,Gush,price/Mystery+Booster/Gush#paper, 4 blue,1
45,Time Wipe,price/Dominaria+United+Commander/Time+Wipe#paper, 2 white white blue,1
46,Farewell,price/Ravnica+Murders+at+Karlov+Manor+Commander/Farewell#paper, 4 white white,1
47,Commandeer,price/Breaking+News/Commandeer-showcase#paper, 5 blue blue,1
48,Dig Through Time,price/Outlaws+of+Thunder+Junction+Commander/Dig+Through+Time#paper, 6 blue blue,1
49,Treasure Cruise,price/Outlaws+of+Thunder+Junction+Commander/Treasure+Cruise#paper, 7 blue,1
50,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
51,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
52,Azorius Signet,price/Ravnica+Murders+at+Karlov+Manor+Commander/Azorius+Signet#paper, 2,1
53,Mind Stone,price/Fallout/Mind+Stone#paper, 2,1
54,Mystic Remora,price/Ice+Age/Mystic+Remora#paper, blue,1
55,Luminarch Ascension,price/Zendikar/Luminarch+Ascension#paper, 1 white,1
56,Rest in Peace,price/The+Big+Score/Rest+in+Peace#paper, 1 white,1
57,Stony Silence,price/Innistrad/Stony+Silence#paper, 1 white,1
58,Detention Sphere,price/Breaking+News/Detention+Sphere-showcase#paper, 1 white blue,1
59,Ghostly Prison,price/Ravnica+Murders+at+Karlov+Manor+Commander/Ghostly+Prison#paper, 2 white,1
60,Propaganda,price/Outlaws+of+Thunder+Junction+Commander/Propaganda#paper, 2 blue,1
61,Shark Typhoon,price/Outlaws+of+Thunder+Junction+Commander/Shark+Typhoon#paper, 5 blue,1
62,Celestial Colonnade,price/Doctor+Who/Celestial+Colonnade#paper,,1
63,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
64,Evolving Wilds,price/Jumpstart+2022/Evolving+Wilds#paper,,1
65,Glacial Fortress,price/Fallout/Glacial+Fortress#paper,,1
66,Irrigated Farmland,price/Ravnica+Murders+at+Karlov+Manor+Commander/Irrigated+Farmland#paper,,1
67,Island,price/Theros+Beyond+Death/Island-251#paper,,14
68,Lonely Arroyo,price/Outlaws+of+Thunder+Junction/Lonely+Arroyo#paper,,1
69,Lonely Sandbar,price/Ravnica+Murders+at+Karlov+Manor+Commander/Lonely+Sandbar#paper,,1
70,Mystic Sanctuary,price/Ravnica+Murders+at+Karlov+Manor+Commander/Mystic+Sanctuary#paper,,1
71,Plains,price/Theros+Beyond+Death/Plains-250#paper,,10
72,Port Town,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Port+Town#paper,,1
73,Prairie Stream,price/Ravnica+Murders+at+Karlov+Manor+Commander/Prairie+Stream#paper,,1
74,Rivendell,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Rivendell-borderless#paper,,1
75,Secluded Steppe,price/Ravnica+Murders+at+Karlov+Manor+Commander/Secluded+Steppe#paper,,1
76,Temple of Enlightenment,price/Ravnica+Murders+at+Karlov+Manor+Commander/Temple+of+Enlightenment#paper,,1
77,Terramorphic Expanse,price/Outlaws+of+Thunder+Junction+Commander/Terramorphic+Expanse#paper,,1
