,card,link,mana,n
0,"Jhoira, Weatherlight Captain",price/The+Brothers+War+Commander/Jhoira+Weatherlight+Captain-retro#paper, 2 blue red,1
1,Ornithopter,price/The+Brothers+War+Retro+Frame+Artifacts/Ornithopter-retro#paper, 0,1
2,Artificer's Assistant,price/Dominaria/Artificers+Assistant#paper, blue,1
3,Enthusiastic Mechanaut,price/Kamigawa+Neon+Dynasty/Enthusiastic+Mechanaut#paper, blue red,1
4,Etherium Sculptor,price/Commander+2016/Etherium+Sculptor#paper, 1 blue,1
5,Firebrand Archer,price/Hour+of+Devastation/Firebrand+Archer#paper, 1 red,1
6,Iron Myr,price/Scars+of+Mirrodin/Iron+Myr#paper, 2,1
7,Reckless Fireweaver,price/Kaladesh/Reckless+Fireweaver#paper, 1 red,1
8,The Reality Chip,price/Kamigawa+Neon+Dynasty/The+Reality+Chip#paper, 1 blue,1
9,Foundry Inspector,price/The+Brothers+War+Retro+Frame+Artifacts/Foundry+Inspector-retro#paper, 3,1
10,Herald of Kozilek,price/Battle+for+Zendikar/Herald+of+Kozilek#paper, 1 blue red,1
11,Ingenious Artillerist,price/Commander+Legends+Battle+for+Baldurs+Gate/Ingenious+Artillerist#paper, 2 red,1
12,"Sai, Master Thopterist",price/The+Brothers+War+Commander/Sai+Master+Thopterist-retro#paper, 2 blue,1
13,Shimmer Myr,price/Commander+Masters/Shimmer+Myr#paper, 3,1
14,Jhoira's Familiar,price/Dominaria/Jhoiras+Familiar#paper, 4,1
15,"Urza, Lord High Artificer",price/Commander+Masters/Urza+Lord+High+Artificer-borderless+profile#paper, 2 blue blue,1
16,Vedalken Archmage,price/Jumpstart/Vedalken+Archmage#paper, 2 blue blue,1
17,Thought Monitor,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Monitor#paper, 6 blue,1
18,"Saheeli, Filigree Master",price/The+Brothers+War/Saheeli+Filigree+Master#paper, 2 blue red,1
19,Retract,price/Darksteel/Retract#paper, blue,1
20,Swan Song,price/Theros/Swan+Song#paper, blue,1
21,Brain Freeze,price/The+List/Brain+Freeze#paper, 1 blue,1
22,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
23,Disdainful Stroke,price/Streets+of+New+Capenna/Disdainful+Stroke#paper, 1 blue,1
24,Displacement Wave,price/Magic+Origins/Displacement+Wave#paper, x blue blue,1
25,Dramatic Reversal,price/Kaladesh/Dramatic+Reversal#paper, 1 blue,1
26,Grapeshot,price/Dominaria+Remastered/Grapeshot#paper, 1 red,1
27,Hurkyl's Recall,price/The+List/Hurkyls+Recall#paper, 1 blue,1
28,Negate,price/Oath+of+the+Gatewatch/Negate#paper, 1 blue,1
29,Filter Out,price/March+of+the+Machine+The+Aftermath/Filter+Out-showcase#paper, 1 blue blue,1
30,Rebuild,price/Modern+Horizons/Rebuild#paper, 2 blue,1
31,Saw It Coming,price/Kaldheim/Saw+It+Coming#paper, 1 blue blue,1
32,Consuming Tide,price/Innistrad+Crimson+Vow/Consuming+Tide#paper, 2 blue blue,1
33,Paradoxical Outcome,price/Kaladesh/Paradoxical+Outcome#paper, 3 blue,1
34,Reduce to Dreams,price/Betrayers+of+Kamigawa/Reduce+to+Dreams#paper, 3 blue blue,1
35,Temporal Fissure,price/Scourge/Temporal+Fissure#paper, 4 blue,1
36,Thoughtcast,price/Kamigawa+Neon+Dynasty+Commander/Thoughtcast#paper, 4 blue,1
37,Cathar's Shield,price/Eldritch+Moon/Cathars+Shield#paper, 0,1
38,Darksteel Relic,price/New+Phyrexia/Darksteel+Relic#paper, 0,1
39,Everflowing Chalice,price/Ravnica+Murders+at+Karlov+Manor+Commander/Everflowing+Chalice#paper, 0,1
40,Spellbook,price/Tenth+Edition/Spellbook#paper, 0,1
41,Aether Spellbomb,price/Jumpstart+2022/Aether+Spellbomb#paper, 1,1
42,Altar of the Brood,price/Khans+of+Tarkir/Altar+of+the+Brood#paper, 1,1
43,Bloodtallow Candle,price/Dominaria/Bloodtallow+Candle#paper, 1,1
44,Goblin Firebomb,price/The+Brothers+War/Goblin+Firebomb#paper, 1,1
45,Manifold Key,price/Commander+Legends+Battle+for+Baldurs+Gate/Manifold+Key#paper, 1,1
46,Panic Spellbomb,price/Scars+of+Mirrodin/Panic+Spellbomb#paper, 1,1
47,Pithing Needle,price/Innistrad+Midnight+Hunt/Pithing+Needle#paper, 1,1
48,Sensei's Divining Top,price/Champions+of+Kamigawa/Senseis+Divining+Top#paper, 1,1
49,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
50,Traveler's Amulet,price/Double+Masters+2022/Travelers+Amulet#paper, 1,1
51,Universal Solvent,price/Commander+Legends+Battle+for+Baldurs+Gate/Universal+Solvent#paper, 1,1
