,card,link,mana,n
0,"Liberty Prime, Recharged",price/Fallout:Foil/Liberty+Prime+Recharged#paper, 2 blue red white,1
1,Arcbound Javelineer,price/Modern+Horizons+2/Arcbound+Javelineer#paper, white,1
2,Arcbound Mouser,price/Modern+Horizons+2/Arcbound+Mouser#paper, white,1
3,Arcbound Worker,price/Darksteel/Arcbound+Worker#paper, 1,1
4,"K-9, Mark I",price/Doctor+Who/K-9+Mark+I#paper, blue,1
5,Aether Chaser,price/Aether+Revolt/Aether+Chaser#paper, 1 red,1
6,Aether Swooper,price/Aether+Revolt/Aether+Swooper#paper, 1 blue,1
7,Aethergeode Miner,price/Aether+Revolt/Aethergeode+Miner#paper, 1 white,1
8,Brotherhood Scribe,price/Fallout/Brotherhood+Scribe#paper, 1 white,1
9,"Drafna, Founder of Lat-Nam",price/The+Brothers+War/Drafna+Founder+of+Lat-Nam#paper, 1 blue,1
10,Etherium Sculptor,price/Commander+2016/Etherium+Sculptor#paper, 1 blue,1
11,Myr Retriever,price/Mystery+Booster/Myr+Retriever#paper, 2,1
12,Arcbound Shikari,price/Modern+Horizons+2/Arcbound+Shikari-showcase#paper, 1 red white,1
13,Burnished Hart,price/Commander+Legends+Battle+for+Baldurs+Gate/Burnished+Hart#paper, 3,1
14,"Codsworth, Handy Helper",price/Fallout/Codsworth+Handy+Helper#paper, 2 white,1
15,Dr. Madison Li,price/Fallout:Foil/Dr+Madison+Li-foil+etched#paper, blue red white,1
16,"Emry, Lurker of the Loch",price/The+Brothers+War+Commander/Emry+Lurker+of+the+Loch-retro#paper, 2 blue,1
17,"Nick Valentine, Private Eye",price/Fallout/Nick+Valentine+Private+Eye#paper, 2 blue,1
18,"Rex, Cyber-Hound",price/Fallout/Rex+Cyber-Hound#paper, 1 white blue,1
19,"Sai, Master Thopterist",price/The+Brothers+War+Commander/Sai+Master+Thopterist-retro#paper, 2 blue,1
20,Scrap Trawler,price/March+of+the+Machine+Commander/Scrap+Trawler#paper, 3,1
21,Synth Eradicator,price/Fallout/Synth+Eradicator#paper, 2 red,1
22,Aether Inspector,price/Aether+Revolt/Aether+Inspector#paper, 3 white,1
23,Aetherstorm Roc,price/Kaladesh/Aetherstorm+Roc#paper, 2 white white,1
24,Consul's Shieldguard,price/Kaladesh/Consuls+Shieldguard#paper, 3 white,1
25,"Jhoira, Weatherlight Captain",price/The+Brothers+War+Commander/Jhoira+Weatherlight+Captain-retro#paper, 2 blue red,1
26,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
27,Lightning Runner,price/Aether+Revolt/Lightning+Runner#paper, 3 red red,1
28,Aethersquall Ancient,price/Kaladesh/Aethersquall+Ancient#paper, 5 blue blue,1
29,Dispatch,price/Fallout/Dispatch#paper, white,1
30,Great Train Heist,price/Outlaws+of+Thunder+Junction/Great+Train+Heist#paper, red,1
31,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
