,card,link,mana,n
0,"Ulamog, the Infinite Gyre",price/Double+Masters+2022:Foil/Ulamog+the+Infinite+Gyre#paper, 11,1
1,Endless One,price/Commander+Masters/Endless+One#paper, x,1
2,Eldrazi Mimic,price/Oath+of+the+Gatewatch/Eldrazi+Mimic#paper, 2,1
3,Ornithopter of Paradise,price/Modern+Horizons+2/Ornithopter+of+Paradise-retro#paper, 2,1
4,Plague Myr,price/Mirrodin+Besieged/Plague+Myr#paper, 2,1
5,Eternal Scourge,price/Eldritch+Moon/Eternal+Scourge#paper, 3,1
6,Matter Reshaper,price/Commander+Masters/Matter+Reshaper#paper, 2 colorless,1
7,Palladium Myr,price/Mystery+Booster/Palladium+Myr#paper, 3,1
8,Roaming Throne,price/Lost+Caverns+of+Ixalan/Roaming+Throne-borderless#paper, 4,1
9,Thought-Knot Seer,price/Oath+of+the+Gatewatch/Thought-Knot+Seer#paper, 3 colorless,1
10,Warden of Geometries,price/Jumpstart+2022/Warden+of+Geometries#paper, 4,1
11,Blight Herder,price/Launch+Party+Cards:Foil/Blight+Herder#paper, 5,1
12,Kozilek's Channeler,price/Battle+for+Zendikar/Kozileks+Channeler#paper, 5,1
13,Reality Smasher,price/Oath+of+the+Gatewatch/Reality+Smasher#paper, 4 colorless,1
14,Walker of the Wastes,price/Oath+of+the+Gatewatch/Walker+of+the+Wastes#paper, 4 colorless,1
15,Conduit of Ruin,price/Battle+for+Zendikar/Conduit+of+Ruin#paper, 6,1
16,Endbringer,price/Jumpstart+2022/Endbringer#paper, 5 colorless,1
17,Kozilek's Pathfinder,price/Oath+of+the+Gatewatch/Kozileks+Pathfinder#paper, 6,1
18,Oblivion Sower,price/Outlaws+of+Thunder+Junction+Commander/Oblivion+Sower#paper, 6,1
19,Bane of Bala Ged,price/Battle+for+Zendikar/Bane+of+Bala+Ged#paper, 7,1
20,Deceiver of Form,price/Oath+of+the+Gatewatch/Deceiver+of+Form#paper, 6 colorless,1
21,Eldrazi Devastator,price/Battle+for+Zendikar/Eldrazi+Devastator#paper, 8,1
