,card,link,mana,n
0,"Yuma, Proud Protector",price/Outlaws+of+Thunder+Junction+Commander:Foil/Yuma+Proud+Protector-borderless#paper, 5 red green white,1
1,Goldvein Hydra,price/Outlaws+of+Thunder+Junction/Goldvein+Hydra#paper, x green,1
2,Dust Animus,price/Outlaws+of+Thunder+Junction/Dust+Animus#paper, 1 white,1
3,Genesis Hydra,price/Outlaws+of+Thunder+Junction+Commander/Genesis+Hydra#paper, x green green,1
4,Sand Scout,price/Outlaws+of+Thunder+Junction+Commander/Sand+Scout#paper, 1 white,1
5,Dune Chanter,price/Outlaws+of+Thunder+Junction+Commander/Dune+Chanter#paper, 2 green,1
6,"Ghired, Mirror of the Wilds",price/Outlaws+of+Thunder+Junction/Ghired+Mirror+of+the+Wilds#paper, red green white,1
7,"Hazezon, Shaper of Sand",price/Outlaws+of+Thunder+Junction+Commander/Hazezon+Shaper+of+Sand#paper, red green white,1
8,Ramunap Excavator,price/Outlaws+of+Thunder+Junction+Commander/Ramunap+Excavator#paper, 2 green,1
9,Scute Swarm,price/Outlaws+of+Thunder+Junction+Commander/Scute+Swarm#paper, 2 green,1
10,Archangel of Tithes,price/Outlaws+of+Thunder+Junction/Archangel+of+Tithes#paper, 1 white white white,1
11,Colossal Rattlewurm,price/Outlaws+of+Thunder+Junction:Foil/Colossal+Rattlewurm#paper, 2 green green,1
12,"Kirri, Talented Sprout",price/Outlaws+of+Thunder+Junction+Commander:Foil/Kirri+Talented+Sprout#paper, 1 red green white,1
13,"Mina and Denn, Wildborn",price/Zendikar+Rising+Commander/Mina+and+Denn+Wildborn#paper, 2 red green,1
14,Oracle of Mul Daya,price/Outlaws+of+Thunder+Junction+Commander/Oracle+of+Mul+Daya#paper, 3 green,1
15,Scaretiller,price/Outlaws+of+Thunder+Junction+Commander/Scaretiller#paper, 4,1
16,Vengevine,price/Double+Masters/Vengevine#paper, 2 green green,1
17,World Shaper,price/Outlaws+of+Thunder+Junction+Commander/World+Shaper#paper, 3 green,1
18,Perennial Behemoth,price/Outlaws+of+Thunder+Junction+Commander/Perennial+Behemoth#paper, 5,1
19,"Titania, Protector of Argoth",price/Outlaws+of+Thunder+Junction+Commander/Titania+Protector+of+Argoth#paper, 3 green green,1
20,Vorinclex,price/March+of+the+Machine/Vorinclex-showcase#paper, 3 green green,1
21,Ancient Greenwarden,price/Outlaws+of+Thunder+Junction+Commander/Ancient+Greenwarden#paper, 4 green green,1
22,"Moraug, Fury of Akoum",price/Zendikar+Rising/Moraug+Fury+of+Akoum-showcase#paper, 4 red red,1
23,Rampaging Baloths,price/Zendikar+Rising+Commander/Rampaging+Baloths#paper, 4 green green,1
24,Sun Titan,price/Outlaws+of+Thunder+Junction+Commander/Sun+Titan#paper, 4 white white,1
25,Avenger of Zendikar,price/Outlaws+of+Thunder+Junction+Commander/Avenger+of+Zendikar#paper, 5 green green,1
26,"Omnath, Locus of Rage",price/Outlaws+of+Thunder+Junction+Commander/Omnath+Locus+of+Rage#paper, 3 red red green green,1
27,"Vorinclex, Voice of Hunger",price/Multiverse+Legends/Vorinclex+Voice+of+Hunger#paper, 6 green green,1
28,Rumbleweed,price/Outlaws+of+Thunder+Junction+Commander/Rumbleweed#paper, 10 green,1
29,"Nissa, Voice of Zendikar",price/Mystery+Booster/Nissa+Voice+of+Zendikar#paper, 1 green green,1
30,Blacksmith's Skill,price/Modern+Horizons+2/Blacksmiths+Skill-retro#paper, white,1
31,Condemn,price/Ravnica+Remastered/Condemn#paper, white,1
32,Great Train Heist,price/Outlaws+of+Thunder+Junction/Great+Train+Heist#paper, red,1
33,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
34,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
35,Bovine Intervention,price/Outlaws+of+Thunder+Junction/Bovine+Intervention#paper, 1 white,1
36,Cataclysmic Prospecting,price/Outlaws+of+Thunder+Junction+Commander/Cataclysmic+Prospecting-extended#paper, x red red,1
37,Dance of the Tumbleweeds,price/Outlaws+of+Thunder+Junction/Dance+of+the+Tumbleweeds#paper, 1 green,1
38,Dromoka's Command,price/March+of+the+Machine+Commander/Dromokas+Command#paper, green white,1
39,Get Lost,price/Lost+Caverns+of+Ixalan/Get+Lost-borderless#paper, 1 white,1
40,Life from the Loam,price/Ravnica+Remastered/Life+from+the+Loam-retro#paper, 1 green,1
41,Valorous Stance,price/Jumpstart+2022/Valorous+Stance-263#paper, 1 white,1
42,Worldsoul's Rage,price/Ravnica+Murders+at+Karlov+Manor:Foil/Worldsouls+Rage-prerelease#paper, x red green,1
43,Harrow,price/Outlaws+of+Thunder+Junction+Commander/Harrow#paper, 2 green,1
44,Decimate,price/Outlaws+of+Thunder+Junction+Commander/Decimate#paper, 2 red green,1
45,Map the Frontier,price/Outlaws+of+Thunder+Junction/Map+the+Frontier#paper, 3 green,1
46,Splendid Reclamation,price/Eldritch+Moon/Splendid+Reclamation#paper, 3 green,1
47,Hour of Promise,price/Outlaws+of+Thunder+Junction+Commander/Hour+of+Promise#paper, 4 green,1
48,Overwhelming Stampede,price/Commander+2015/Overwhelming+Stampede#paper, 3 green green,1
49,Return of the Wildspeaker,price/Outlaws+of+Thunder+Junction+Commander/Return+of+the+Wildspeaker#paper, 4 green,1
50,Vengeful Regrowth,price/Outlaws+of+Thunder+Junction+Commander/Vengeful+Regrowth-extended#paper, 4 green green,1
51,Amulet of Vigor,price/Worldwake/Amulet+of+Vigor#paper, 1,1
52,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
53,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
54,Swiftfoot Boots,price/The+Brothers+War+Commander/Swiftfoot+Boots-retro#paper, 2,1
55,Chromatic Lantern,price/Outlaws+of+Thunder+Junction+Commander/Chromatic+Lantern#paper, 3,1
56,Commander's Sphere,price/Lost+Caverns+of+Ixalan+Commander/Commanders+Sphere#paper, 3,1
57,Conduit of Worlds,price/PhyrexiaAll+Will+Be+One/Conduit+of+Worlds-extended#paper, 2 green green,1
58,Spelunking,price/Lost+Caverns+of+Ixalan/Spelunking#paper, 2 green,1
59,Undergrowth Recon,price/Ravnica+Murders+at+Karlov+Manor/Undergrowth+Recon#paper, 1 green green,1
60,The Mending of Dominaria,price/Outlaws+of+Thunder+Junction+Commander/The+Mending+of+Dominaria#paper, 3 green green,1
61,Abraded Bluffs,price/Outlaws+of+Thunder+Junction/Abraded+Bluffs#paper,,1
62,Arid Archway,price/Outlaws+of+Thunder+Junction/Arid+Archway#paper,,1
63,Bristling Backwoods,price/Outlaws+of+Thunder+Junction/Bristling+Backwoods#paper,,1
64,Cactus Preserve,price/Outlaws+of+Thunder+Junction+Commander/Cactus+Preserve-extended#paper,,1
65,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
66,Conduit Pylons,price/Outlaws+of+Thunder+Junction/Conduit+Pylons#paper,,1
67,Creosote Heath,price/Outlaws+of+Thunder+Junction/Creosote+Heath#paper,,1
68,Desert of the Fervent,price/Outlaws+of+Thunder+Junction+Commander/Desert+of+the+Fervent#paper,,1
69,Desert of the Indomitable,price/Outlaws+of+Thunder+Junction+Commander/Desert+of+the+Indomitable#paper,,1
70,Desert of the True,price/Outlaws+of+Thunder+Junction+Commander/Desert+of+the+True#paper,,1
71,Dunes of the Dead,price/Outlaws+of+Thunder+Junction+Commander/Dunes+of+the+Dead#paper,,1
72,Evolving Wilds,price/Jumpstart+2022/Evolving+Wilds#paper,,1
73,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
74,Forest,price/Theros+Beyond+Death/Forest-254#paper,,5
75,Hashep Oasis,price/Outlaws+of+Thunder+Junction+Commander/Hashep+Oasis#paper,,1
76,Jungle Shrine,price/Outlaws+of+Thunder+Junction+Commander/Jungle+Shrine#paper,,1
77,Krosan Verge,price/Outlaws+of+Thunder+Junction+Commander/Krosan+Verge#paper,,1
78,Mirage Mesa,price/Outlaws+of+Thunder+Junction/Mirage+Mesa#paper,,1
79,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,3
80,Opal Palace,price/Warhammer+40K+Commander+Decks/Opal+Palace#paper,,1
81,Painted Bluffs,price/Outlaws+of+Thunder+Junction+Commander/Painted+Bluffs#paper,,1
82,Plains,price/Theros+Beyond+Death/Plains-250#paper,,3
83,Ramunap Ruins,price/Outlaws+of+Thunder+Junction+Commander/Ramunap+Ruins#paper,,1
84,Riftstone Portal,price/Judgment/Riftstone+Portal#paper,,1
85,Sandstorm Verge,price/Outlaws+of+Thunder+Junction/Sandstorm+Verge#paper,,1
86,Scattered Groves,price/Outlaws+of+Thunder+Junction+Commander/Scattered+Groves#paper,,1
87,Scavenger Grounds,price/Outlaws+of+Thunder+Junction+Commander/Scavenger+Grounds#paper,,1
88,Shefet Dunes,price/Outlaws+of+Thunder+Junction+Commander/Shefet+Dunes#paper,,1
89,Sheltered Thicket,price/Outlaws+of+Thunder+Junction+Commander/Sheltered+Thicket#paper,,1
90,Sunscorched Divide,price/Outlaws+of+Thunder+Junction+Commander/Sunscorched+Divide#paper,,1
91,Terramorphic Expanse,price/Outlaws+of+Thunder+Junction+Commander/Terramorphic+Expanse#paper,,1
