,card,link,mana,n
0,"Breya, Etherium Shaper",price/Commander+2016:Foil/Breya+Etherium+Shaper#paper, white blue black red,1
1,Baleful Strix,price/Outlaws+of+Thunder+Junction+Commander/Baleful+Strix#paper, blue black,1
2,Enthusiastic Mechanaut,price/Kamigawa+Neon+Dynasty/Enthusiastic+Mechanaut#paper, blue red,1
3,Etherium Sculptor,price/Commander+2016/Etherium+Sculptor#paper, 1 blue,1
4,Myr Retriever,price/Mystery+Booster/Myr+Retriever#paper, 2,1
5,Reckless Fireweaver,price/Kaladesh/Reckless+Fireweaver#paper, 1 red,1
6,Breya's Apprentice,price/Modern+Horizons+2/Breyas+Apprentice#paper, 2 red,1
7,"Emry, Lurker of the Loch",price/The+Brothers+War+Commander/Emry+Lurker+of+the+Loch-retro#paper, 2 blue,1
8,Forensic Gadgeteer,price/Ravnica+Murders+at+Karlov+Manor/Forensic+Gadgeteer-showcase+Dossier#paper, 2 blue,1
9,Foundry Inspector,price/The+Brothers+War+Retro+Frame+Artifacts/Foundry+Inspector-retro#paper, 3,1
10,"Jan Jansen, Chaos Crafter",price/Commander+Legends+Battle+for+Baldurs+Gate/Jan+Jansen+Chaos+Crafter-showcase#paper, red white black,1
11,"Sai, Master Thopterist",price/The+Brothers+War+Commander/Sai+Master+Thopterist-retro#paper, 2 blue,1
12,Scrap Trawler,price/March+of+the+Machine+Commander/Scrap+Trawler#paper, 3,1
13,Shimmer Myr,price/Commander+Masters/Shimmer+Myr#paper, 3,1
14,"Alela, Artful Provocateur",price/The+Brothers+War+Commander/Alela+Artful+Provocateur-retro#paper, 1 white blue black,1
15,"Jhoira, Weatherlight Captain",price/The+Brothers+War+Commander/Jhoira+Weatherlight+Captain-retro#paper, 2 blue red,1
16,"Padeem, Consul of Innovation",price/The+Brothers+War+Commander/Padeem+Consul+of+Innovation-retro#paper, 3 blue,1
17,Vedalken Archmage,price/Jumpstart/Vedalken+Archmage#paper, 2 blue blue,1
18,Ethersworn Adjudicator,price/March+of+the+Machine+Commander/Ethersworn+Adjudicator#paper, 4 blue,1
19,Marionette Master,price/The+Brothers+War+Commander/Marionette+Master-retro#paper, 4 black black,1
20,Sharding Sphinx,price/The+Brothers+War+Commander/Sharding+Sphinx-retro#paper, 4 blue blue,1
21,Thopter Assembly,price/March+of+the+Machine+Commander/Thopter+Assembly#paper, 6,1
22,"Urza, Chief Artificer",price/The+Brothers+War+Commander:Foil/Urza+Chief+Artificer-retro#paper, 3 white blue black,1
23,Thought Monitor,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Monitor#paper, 6 blue,1
24,Threefold Thunderhulk,price/Lost+Caverns+of+Ixalan/Threefold+Thunderhulk#paper, 7,1
25,"Saheeli, Sublime Artificer",price/Commander+Masters/Saheeli+Sublime+Artificer#paper, 1 hyrid blue red hyrid blue red,1
26,"Daretti, Scrap Savant",price/Mystery+Booster/Daretti+Scrap+Savant#paper, 3 red,1
27,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
28,Negate,price/Oath+of+the+Gatewatch/Negate#paper, 1 blue,1
29,Chaos Warp,price/Outlaws+of+Thunder+Junction+Commander/Chaos+Warp#paper, 2 red,1
30,Generous Gift,price/Wilds+of+Eldraine+Commander/Generous+Gift#paper, 2 white,1
31,Launch Mishap,price/Jumpstart+2022/Launch+Mishap#paper, 2 blue,1
32,Thirst for Knowledge,price/Fallout/Thirst+for+Knowledge#paper, 2 blue,1
33,Void Rend,price/Breaking+News/Void+Rend-showcase#paper, white blue black,1
34,Diabolic Tutor,price/Tenth+Edition/Diabolic+Tutor#paper, 2 black black,1
35,Razaketh's Rite,price/Hour+of+Devastation/Razakeths+Rite#paper, 3 black black,1
