,card,link,mana,n
0,"Mr. House, President and CEO",price/Fallout:Foil/Mr+House+President+and+CEO#paper, red white black,1
1,Lightfoot Rogue,price/Adventures+in+the+Forgotten+Realms/Lightfoot+Rogue#paper, 1 black,1
2,"Lotho, Corrupt Shirriff",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Lotho+Corrupt+Shirriff-370+-+extended#paper, white black,1
3,"Wyll, Blade of Frontiers",price/Commander+Legends+Battle+for+Baldurs+Gate/Wyll+Blade+of+Frontiers-showcase#paper, 1 red,1
4,Xenosquirrels,price/Unfinity/Xenosquirrels#paper, 1 black,1
5,Captain Rex Nebula,price/Unfinity/Captain+Rex+Nebula-showcase#paper, 1 red white,1
6,Chaos Dragon,price/Commander+Legends+Battle+for+Baldurs+Gate/Chaos+Dragon#paper, 1 red red,1
7,Crime Novelist,price/Ravnica+Murders+at+Karlov+Manor/Crime+Novelist#paper, 2 red,1
8,"Isshin, Two Heavens as One",price/Kamigawa+Neon+Dynasty/Isshin+Two+Heavens+as+One#paper, red white black,1
9,Mastermind Plum,price/Ravnica+Clue+Edition/Mastermind+Plum#paper, 2 black,1
10,Professional Face-Breaker,price/Streets+of+New+Capenna/Professional+Face-Breaker#paper, 2 red,1
11,Xorn,price/Adventures+in+the+Forgotten+Realms/Xorn-showcase#paper, 2 red,1
12,Chaos Channeler,price/Adventures+in+the+Forgotten+Realms/Chaos+Channeler#paper, 2 red red,1
13,Clay Golem,price/Adventures+in+the+Forgotten+Realms+Commander/Clay+Golem#paper, 4,1
14,Complaints Clerk,price/Unfinity/Complaints+Clerk#paper, 3 white,1
15,"Delina, Wild Mage",price/Adventures+in+the+Forgotten+Realms/Delina+Wild+Mage-showcase#paper, 3 red,1
16,Hoarding Ogre,price/Adventures+in+the+Forgotten+Realms/Hoarding+Ogre#paper, 3 red,1
17,Iron Mastiff,price/Commander+Legends+Battle+for+Baldurs+Gate/Iron+Mastiff#paper, 4,1
18,"Mondrak, Glory Dominus",price/PhyrexiaAll+Will+Be+One/Mondrak+Glory+Dominus-showcase#paper, 2 white white,1
19,"Monoxa, Midway Manager",price/Unfinity/Monoxa+Midway+Manager-showcase#paper, 2 black red,1
20,"Alibou, Ancient Witness",price/Commander+2021:Foil/Alibou+Ancient+Witness#paper, 3 red white,1
21,Goldspan Dragon,price/Kaldheim/Goldspan+Dragon#paper, 3 red red,1
22,Nothic,price/Commander+Legends+Battle+for+Baldurs+Gate/Nothic#paper, 4 black,1
23,Swarming Goblins,price/Adventures+in+the+Forgotten+Realms/Swarming+Goblins#paper, 4 red,1
24,Earth-Cult Elemental,price/Adventures+in+the+Forgotten+Realms/Earth-Cult+Elemental#paper, 4 red red,1
25,Marionette Master,price/The+Brothers+War+Commander/Marionette+Master-retro#paper, 4 black black,1
26,"Comet, Stellar Pup",price/Unfinity/Comet+Stellar+Pup#paper, 2 red white,1
27,Clowning Around,price/Unfinity/Clowning+Around#paper, 1 white,1
28,Contraband Livestock,price/Commander+Legends+Battle+for+Baldurs+Gate/Contraband+Livestock#paper, 1 white,1
29,Critical Hit,price/Adventures+in+the+Forgotten+Realms/Critical+Hit#paper, 1 red,1
30,Myrkul's Edict,price/Commander+Legends+Battle+for+Baldurs+Gate/Myrkuls+Edict#paper, 1 black,1
31,Slight Malfunction,price/Unfinity/Slight+Malfunction#paper, 1 red,1
32,Circuits Act,price/Unfinity/Circuits+Act#paper, 2 red,1
33,Painful Truths,price/Outlaws+of+Thunder+Junction+Commander/Painful+Truths#paper, 2 black,1
34,Recruitment Drive,price/Commander+Legends+Battle+for+Baldurs+Gate/Recruitment+Drive#paper, 2 white,1
35,Six-Sided Die,price/Unfinity/Six-Sided+Die#paper, 2 black,1
36,Wyll's Reversal,price/Commander+Legends+Battle+for+Baldurs+Gate/Wylls+Reversal#paper, 2 red,1
37,Big Score,price/Outlaws+of+Thunder+Junction+Commander/Big+Score#paper, 3 red,1
38,Lae'zel's Acrobatics,price/Commander+Legends+Battle+for+Baldurs+Gate/Laezels+Acrobatics#paper, 3 white,1
39,Thunderwave,price/Commander+Legends+Battle+for+Baldurs+Gate/Thunderwave#paper, 2 red red,1
40,Unexpected Windfall,price/Fallout/Unexpected+Windfall#paper, 2 red red,1
41,Danse Macabre,price/Adventures+in+the+Forgotten+Realms+Commander/Danse+Macabre-extended#paper, 3 black black,1
42,Covetous Elegy,price/Ravnica+Clue+Edition/Covetous+Elegy#paper, 4 white black,1
43,Blood Money,price/Lost+Caverns+of+Ixalan+Commander/Blood+Money#paper, 5 black black,1
44,Grave Endeavor,price/Adventures+in+the+Forgotten+Realms+Commander/Grave+Endeavor#paper, 5 black black,1
45,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
46,Strength-Testing Hammer,price/Unfinity/Strength-Testing+Hammer#paper, 1,1
47,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
48,Bucknard's Everfull Purse,price/Adventures+in+the+Forgotten+Realms+Commander/Bucknards+Everfull+Purse#paper, 2,1
49,Ebony Fly,price/Adventures+in+the+Forgotten+Realms+Commander/Ebony+Fly#paper, 2,1
50,Goblin Morningstar,price/Adventures+in+the+Forgotten+Realms/Goblin+Morningstar#paper, 1 red,1
51,Sword of Hours,price/Adventures+in+the+Forgotten+Realms+Commander/Sword+of+Hours#paper, 2,1
52,Commander's Sphere,price/Lost+Caverns+of+Ixalan+Commander/Commanders+Sphere#paper, 3,1
53,Component Pouch,price/Adventures+in+the+Forgotten+Realms+Commander/Component+Pouch#paper, 3,1
54,Luck Bobblehead,price/Fallout/Luck+Bobblehead#paper, 3,1
55,Treasure Chest,price/Adventures+in+the+Forgotten+Realms:Foil/Treasure+Chest-bundle#paper, 3,1
56,Vexing Puzzlebox,price/Commander+Legends+Battle+for+Baldurs+Gate/Vexing+Puzzlebox-borderless#paper, 3,1
57,Unwinding Clock,price/The+Brothers+War+Retro+Frame+Artifacts/Unwinding+Clock-retro#paper, 4,1
58,Wand of Wonder,price/Commander+Legends+Battle+for+Baldurs+Gate:Foil/Wand+of+Wonder-bundle#paper, 3 red,1
59,The Deck of Many Things,price/Adventures+in+the+Forgotten+Realms/The+Deck+of+Many+Things#paper, 5,1
60,Barbarian Class,price/Adventures+in+the+Forgotten+Realms/Barbarian+Class#paper, red,1
61,Maddening Hex,price/Adventures+in+the+Forgotten+Realms+Commander/Maddening+Hex-extended#paper, 1 red red,1
62,Priority Boarding,price/Unfinity/Priority+Boarding#paper, 2 red,1
63,Anointed Procession,price/Amonkhet/Anointed+Procession#paper, 3 white,1
64,Night Shift of the Living Dead,price/Unfinity/Night+Shift+of+the+Living+Dead#paper, 3 black,1
65,Ash Barrens,price/Fallout/Ash+Barrens#paper,,1
66,Battlefield Forge,price/Outlaws+of+Thunder+Junction+Commander/Battlefield+Forge#paper,,1
67,Caves of Koilos,price/Outlaws+of+Thunder+Junction+Commander/Caves+of+Koilos#paper,,1
68,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
69,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
70,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,6
71,Myriad Landscape,price/Doctor+Who/Myriad+Landscape#paper,,1
72,Nomad Outpost,price/Outlaws+of+Thunder+Junction+Commander/Nomad+Outpost#paper,,1
73,Path of Ancestry,price/Lost+Caverns+of+Ixalan+Commander/Path+of+Ancestry#paper,,1
74,Plains,price/Theros+Beyond+Death/Plains-250#paper,,7
75,Shadowblood Ridge,price/Outlaws+of+Thunder+Junction+Commander/Shadowblood+Ridge#paper,,1
76,Smoldering Marsh,price/Outlaws+of+Thunder+Junction+Commander/Smoldering+Marsh#paper,,1
77,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,7
78,Temple of Malice,price/Outlaws+of+Thunder+Junction+Commander/Temple+of+Malice#paper,,1
79,Temple of Silence,price/Outlaws+of+Thunder+Junction+Commander/Temple+of+Silence#paper,,1
80,Temple of Triumph,price/Outlaws+of+Thunder+Junction+Commander/Temple+of+Triumph#paper,,1
81,Terramorphic Expanse,price/Outlaws+of+Thunder+Junction+Commander/Terramorphic+Expanse#paper,,1
82,Underdark Rift,price/Adventures+in+the+Forgotten+Realms+Commander/Underdark+Rift#paper,,1
