,card,link,mana,n
0,"Aegar, the Freezing Flame",price/Multiverse+Legends/Aegar+the+Freezing+Flame#paper, 1 blue red,1
1,Ingenious Prodigy,price/Wilds+of+Eldraine/Ingenious+Prodigy#paper, x blue,1
2,"Balmor, Battlemage Captain",price/Dominaria+United/Balmor+Battlemage+Captain-showcase#paper, blue red,1
3,Electrostatic Infantry,price/Dominaria+United/Electrostatic+Infantry#paper, 1 red,1
4,Ghitu Amplifier,price/Dominaria+United/Ghitu+Amplifier#paper, 1 red,1
5,Harmonic Prodigy,price/Modern+Horizons+2/Harmonic+Prodigy-showcase#paper, 1 red,1
6,Razzle-Dazzler,price/Outlaws+of+Thunder+Junction/Razzle-Dazzler#paper, 1 blue,1
7,Volshe Tideturner,price/Dominaria+United/Volshe+Tideturner#paper, 1 blue,1
8,Aether Channeler,price/Dominaria+United/Aether+Channeler-extended#paper, 2 blue,1
9,Bloodline Pretender,price/March+of+the+Machine+Commander/Bloodline+Pretender#paper, 3,1
10,Cloudkin Seer,price/Ravnica+Clue+Edition/Cloudkin+Seer#paper, 2 blue,1
11,Frolicking Familiar,price/Wilds+of+Eldraine/Frolicking+Familiar#paper, 2 blue,1
12,Oasis Gardener,price/Outlaws+of+Thunder+Junction/Oasis+Gardener#paper, 3,1
13,Calamity Bearer,price/Kaldheim/Calamity+Bearer#paper, 2 red red,1
14,Galvanic Giant,price/Wilds+of+Eldraine/Galvanic+Giant#paper, 3 blue,1
15,Grabby Giant,price/Wilds+of+Eldraine/Grabby+Giant#paper, 3 red,1
16,Vantress Transmuter,price/Wilds+of+Eldraine/Vantress+Transmuter#paper, 3 blue,1
17,Whispering Wizard,price/Innistrad+Crimson+Vow/Whispering+Wizard#paper, 3 blue,1
18,Gandalf the Grey,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Gandalf+the+Grey-showcase#paper, 3 blue red,1
19,Iron-Fist Pulverizer,price/Outlaws+of+Thunder+Junction/Iron-Fist+Pulverizer#paper, 4 red,1
20,"Thryx, the Sudden Storm",price/Commander+Masters/Thryx+the+Sudden+Storm#paper, 3 blue blue,1
21,Two-Headed Hunter,price/Wilds+of+Eldraine/Two-Headed+Hunter#paper, 4 red,1
22,Archive Dragon,price/Wilds+of+Eldraine/Archive+Dragon#paper, 4 blue blue,1
23,Beluna's Gatekeeper,price/Wilds+of+Eldraine/Belunas+Gatekeeper#paper, 5 blue,1
24,Doomskar Titan,price/Kaldheim/Doomskar+Titan#paper, 4 red red,1
25,Furnace Host Charger,price/March+of+the+Machine/Furnace+Host+Charger#paper, 5 red,1
26,Prophetic Titan,price/Modern+Horizons+2/Prophetic+Titan#paper, 4 blue red,1
27,Siege Dragon,price/Magic+2015+Core+Set:Foil/Siege+Dragon#paper, 5 red red,1
28,"Jaya, Fiery Negotiator",price/Dominaria+United/Jaya+Fiery+Negotiator-borderless#paper, 2 red red,1
29,Frost Bite,price/Kaldheim/Frost+Bite#paper, red,1
30,Shore Up,price/Dominaria+United/Shore+Up#paper, blue,1
