,card,link,mana,n
0,"Yuriko, the Tiger's Shadow",price/Commander+Masters/Yuriko+the+Tigers+Shadow#paper, 1 blue black,1
1,Ornithopter,price/The+Brothers+War+Retro+Frame+Artifacts/Ornithopter-retro#paper, 0,1
2,Artificer's Assistant,price/Dominaria/Artificers+Assistant#paper, blue,1
3,Changeling Outcast,price/Outlaws+of+Thunder+Junction+Commander/Changeling+Outcast#paper, black,1
4,Faerie Dreamthief,price/Wilds+of+Eldraine/Faerie+Dreamthief#paper, black,1
5,Faerie Seer,price/Jumpstart+2022/Faerie+Seer#paper, blue,1
6,Gudul Lurker,price/Dragons+of+Tarkir/Gudul+Lurker#paper, blue,1
7,Hypnotic Siren,price/Journey+into+Nyx/Hypnotic+Siren#paper, blue,1
8,Jace's Phantasm,price/Mystery+Booster/Jaces+Phantasm#paper, blue,1
9,Mist-Cloaked Herald,price/Rivals+of+Ixalan/Mist-Cloaked+Herald#paper, blue,1
10,Silver Raven,price/Adventures+in+the+Forgotten+Realms/Silver+Raven#paper, blue,1
11,Siren Stormtamer,price/Lost+Caverns+of+Ixalan+Commander/Siren+Stormtamer#paper, blue,1
12,Slither Blade,price/Outlaws+of+Thunder+Junction+Commander/Slither+Blade#paper, blue,1
13,Spectral Sailor,price/Lost+Caverns+of+Ixalan+Commander/Spectral+Sailor#paper, blue,1
14,Thousand-Faced Shadow,price/Kamigawa+Neon+Dynasty/Thousand-Faced+Shadow#paper, blue,1
15,Triton Shorestalker,price/Outlaws+of+Thunder+Junction+Commander/Triton+Shorestalker#paper, blue,1
16,Wingcrafter,price/Avacyn+Restored/Wingcrafter#paper, blue,1
17,Baleful Strix,price/Outlaws+of+Thunder+Junction+Commander/Baleful+Strix#paper, blue black,1
18,Dokuchi Silencer,price/Kamigawa+Neon+Dynasty/Dokuchi+Silencer-showcase#paper, 1 black,1
19,Moon-Circuit Hacker,price/Kamigawa+Neon+Dynasty/Moon-Circuit+Hacker-showcase#paper, 1 blue,1
20,Silver-Fur Master,price/Kamigawa+Neon+Dynasty/Silver-Fur+Master-showcase#paper, blue black,1
21,Skullsnatcher,price/Betrayers+of+Kamigawa/Skullsnatcher#paper, 1 black,1
22,"Tetsuko Umezawa, Fugitive",price/Commander+Masters/Tetsuko+Umezawa+Fugitive#paper, 1 blue,1
23,"Barrin, Tolarian Archmage",price/Jumpstart+2022/Barrin+Tolarian+Archmage#paper, 1 blue blue,1
