,card,link,mana,n
0,Dragonlord Ojutai,price/Mystery+Booster/Dragonlord+Ojutai#paper, 3 white blue,1
1,The Eternal Wanderer,price/PhyrexiaAll+Will+Be+One/The+Eternal+Wanderer-borderless#paper, 4 white white,1
2,Holy Day,price/Ninth+Edition/Holy+Day#paper, white,1
3,Loran's Escape,price/The+Brothers+War/Lorans+Escape#paper, white,1
4,Mana Tithe,price/Time+Spiral+Remastered/Mana+Tithe#paper, white,1
5,Ponder,price/Outlaws+of+Thunder+Junction+Commander/Ponder#paper, blue,1
6,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
7,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
8,Dawn Charm,price/Ultimate+Masters/Dawn+Charm#paper, 1 white,1
9,Jwari Disruption,price/Zendikar+Rising/Jwari+Disruption#paper, 1 blue,1
10,Lofty Denial,price/Core+Set+2021/Lofty+Denial#paper, 1 blue,1
11,Negate,price/Oath+of+the+Gatewatch/Negate#paper, 1 blue,1
12,Pull from Tomorrow,price/March+of+the+Machine+Commander/Pull+from+Tomorrow#paper, x blue blue,1
13,Reality Shift,price/Commander+Masters/Reality+Shift#paper, 1 blue,1
14,Confounding Riddle,price/Lost+Caverns+of+Ixalan/Confounding+Riddle#paper, 2 blue,1
15,Generous Gift,price/Wilds+of+Eldraine+Commander/Generous+Gift#paper, 2 white,1
16,Saw It Coming,price/Kaldheim/Saw+It+Coming#paper, 1 blue blue,1
17,Sphinx's Revelation,price/Ravnica+Remastered/Sphinxs+Revelation-retro#paper, x white blue blue,1
18,Unwind,price/Dominaria/Unwind#paper, 2 blue,1
19,Winged Words,price/Starter+Commander/Winged+Words#paper, 2 blue,1
20,Aetherize,price/Ravnica+Remastered/Aetherize-retro#paper, 3 blue,1
21,Divine Reckoning,price/Innistrad/Divine+Reckoning#paper, 2 white white,1
22,Fact or Fiction,price/Dominaria+Remastered/Fact+or+Fiction#paper, 3 blue,1
23,Ojutai's Command,price/Dragons+of+Tarkir/Ojutais+Command#paper, 2 white blue,1
24,Rewind,price/Core+Set+2021/Rewind#paper, 2 blue blue,1
25,Aetherspouts,price/Innistrad+Midnight+Hunt+Commander/Aetherspouts#paper, 3 blue blue,1
