,card,link,mana,n
0,Lord Windgrace,price/Commander+2018:Foil/Lord+Windgrace#paper, 2 black red green,1
1,Dryad Arbor,price/The+List/Dryad+Arbor#paper,,1
2,Arbor Elf,price/Magic+2013/Arbor+Elf#paper, green,1
3,Budoka Gardener,price/The+List/Budoka+Gardener#paper, 1 green,1
4,Lotus Cobra,price/Zendikar+Rising/Lotus+Cobra-showcase#paper, 1 green,1
5,Scaled Herbalist,price/Adventures+in+the+Forgotten+Realms/Scaled+Herbalist#paper, 1 green,1
6,"Azusa, Lost but Seeking",price/Commander+Masters/Azusa+Lost+but+Seeking#paper, 2 green,1
7,Dryad of the Ilysian Grove,price/Theros+Beyond+Death/Dryad+of+the+Ilysian+Grove#paper, 2 green,1
8,Eternal Witness,price/Starter+Commander/Eternal+Witness#paper, 1 green green,1
9,"Nissa, Vastwood Seer",price/The+List/Nissa+Vastwood+Seer#paper, 2 green,1
10,Rootweaver Druid,price/Commander+Legends/Rootweaver+Druid#paper, 2 green,1
11,"Sasaya, Orochi Ascendant",price/Saviors+of+Kamigawa/Sasaya+Orochi+Ascendant#paper, 1 green green,1
12,Tireless Provisioner,price/March+of+the+Machine+Commander/Tireless+Provisioner#paper, 2 green,1
13,Turntimber Sower,price/Outlaws+of+Thunder+Junction+Commander/Turntimber+Sower#paper, 2 green,1
14,Wayward Swordtooth,price/Lost+Caverns+of+Ixalan+Commander/Wayward+Swordtooth#paper, 2 green,1
15,Yavimaya Elder,price/Innistrad+Midnight+Hunt+Commander/Yavimaya+Elder#paper, 1 green green,1
16,"Mina and Denn, Wildborn",price/Zendikar+Rising+Commander/Mina+and+Denn+Wildborn#paper, 2 red green,1
17,Spitfire Lagac,price/Zendikar+Rising/Spitfire+Lagac-showcase#paper, 3 red,1
18,Mycoloth,price/Commander+2015/Mycoloth#paper, 3 green green,1
19,Perennial Behemoth,price/Outlaws+of+Thunder+Junction+Commander/Perennial+Behemoth#paper, 5,1
20,Seedborn Muse,price/Ravnica+Murders+at+Karlov+Manor+Commander/Seedborn+Muse#paper, 3 green green,1
21,The Gitrog Monster,price/Mystery+Booster/The+Gitrog+Monster#paper, 3 black green,1
22,"Moraug, Fury of Akoum",price/Zendikar+Rising/Moraug+Fury+of+Akoum-showcase#paper, 4 red red,1
23,Oblivion Sower,price/Outlaws+of+Thunder+Junction+Commander/Oblivion+Sower#paper, 6,1
24,Rampaging Baloths,price/Zendikar+Rising+Commander/Rampaging+Baloths#paper, 4 green green,1
25,Avenger of Zendikar,price/Outlaws+of+Thunder+Junction+Commander/Avenger+of+Zendikar#paper, 5 green green,1
26,"Omnath, Locus of Rage",price/Outlaws+of+Thunder+Junction+Commander/Omnath+Locus+of+Rage#paper, 3 red red green green,1
27,Liliana of the Dark Realms,price/Magic+2013/Liliana+of+the+Dark+Realms#paper, 2 black black,1
28,"Nissa, Who Shakes the World",price/Throne+of+Eldraine+Promos/Nissa+Who+Shakes+the+World-planeswalker+stamp#paper, 3 green green,1
29,Scheming Symmetry,price/Core+Set+2020/Scheming+Symmetry#paper, black,1
30,Worldly Tutor,price/Dominaria+Remastered/Worldly+Tutor-retro#paper, green,1
31,Awaken the Woods,price/The+Brothers+War/Awaken+the+Woods#paper, x green green,1
32,Demonic Tutor,price/Mystery+Booster/Demonic+Tutor#paper, 1 black,1
33,Farseek,price/Ravnica+Remastered/Farseek#paper, 1 green,1
34,Grisly Salvage,price/Return+to+Ravnica/Grisly+Salvage#paper, black green,1
35,Life from the Loam,price/Ravnica+Remastered/Life+from+the+Loam-retro#paper, 1 green,1
36,Outrageous Robbery,price/Ravnica+Murders+at+Karlov+Manor/Outrageous+Robbery#paper, x black black,1
37,Worldsoul's Rage,price/Ravnica+Murders+at+Karlov+Manor:Foil/Worldsouls+Rage-prerelease#paper, x red green,1
38,You Find Some Prisoners,price/Adventures+in+the+Forgotten+Realms/You+Find+Some+Prisoners#paper, 1 red,1
39,Archdruid's Charm,price/Ravnica+Murders+at+Karlov+Manor/Archdruids+Charm#paper, green green green,1
40,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
41,Flay Essence,price/Modern+Horizons+2/Flay+Essence#paper, 1 black black,1
42,Harrow,price/Outlaws+of+Thunder+Junction+Commander/Harrow#paper, 2 green,1
43,Kodama's Reach,price/Commander+Masters/Kodamas+Reach-borderless#paper, 2 green,1
44,Search for Tomorrow,price/Dominaria+United+Commander/Search+for+Tomorrow#paper, 2 green,1
45,Tempt with Discovery,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Tempt+with+Discovery-borderless#paper, 3 green,1
46,Worm Harvest,price/Modern+Masters/Worm+Harvest#paper, 2 hyrid black green hyrid black green hyrid black green,1
47,Zuran Orb,price/Modern+Horizons+2/Zuran+Orb#paper, 0,1
48,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
49,Howling Mine,price/The+Brothers+War+Retro+Frame+Artifacts/Howling+Mine-schematics#paper, 2,1
50,Crucible of Worlds,price/Double+Masters+2022/Crucible+of+Worlds#paper, 3,1
51,Exploration,price/Dominaria+Remastered/Exploration-retro#paper, green,1
52,Khalni Heart Expedition,price/Commander+Masters/Khalni+Heart+Expedition#paper, 1 green,1
53,Sylvan Library,price/Dominaria+Remastered/Sylvan+Library-retro#paper, 1 green,1
54,Beastmaster Ascension,price/Mystery+Booster/Beastmaster+Ascension#paper, 2 green,1
55,Rites of Flourishing,price/Zendikar+Rising+Commander/Rites+of+Flourishing#paper, 2 green,1
56,Abundance,price/Warhammer+40K+Commander+Decks/Abundance#paper, 2 green green,1
57,Life and Limb,price/Time+Spiral+Remastered/Life+and+Limb#paper, 3 green,1
58,Polluted Bonds,price/Enchanting+Tales/Polluted+Bonds#paper, 3 black black,1
59,Arid Mesa,price/Modern+Horizons+2/Arid+Mesa#paper,,1
60,Canyon Slough,price/Outlaws+of+Thunder+Junction+Commander/Canyon+Slough#paper,,1
61,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
62,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
63,Fabled Passage,price/Core+Set+2021/Fabled+Passage#paper,,1
64,Field of Ruin,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Field+of+Ruin#paper,,1
65,Foreboding Ruins,price/Lost+Caverns+of+Ixalan+Commander/Foreboding+Ruins#paper,,1
66,Forest,price/Theros+Beyond+Death/Forest-254#paper,,8
67,Forge of Heroes,price/Commander+Masters/Forge+of+Heroes#paper,,1
68,Golgari Rot Farm,price/Ravnica+Clue+Edition/Golgari+Rot+Farm#paper,,1
69,Luxury Suite,price/Commander+Legends+Battle+for+Baldurs+Gate/Luxury+Suite#paper,,1
70,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,5
