,card,link,mana,n
0,"Fblthp, Lost on the Range",price/Outlaws+of+Thunder+Junction/Fblthp+Lost+on+the+Range#paper, 1 blue blue,1
1,Hangarback Walker,price/Commander+Masters/Hangarback+Walker#paper, x x,1
2,Memnite,price/Mystery+Booster+Retail+Edition+Foils:Foil/Memnite#paper, 0,1
3,Ornithopter,price/The+Brothers+War+Retro+Frame+Artifacts/Ornithopter-retro#paper, 0,1
4,Phyrexian Walker,price/Visions/Phyrexian+Walker#paper, 0,1
5,Shield Sphere,price/Alliances/Shield+Sphere#paper, 0,1
6,Stonecoil Serpent,price/The+List/Stonecoil+Serpent#paper, x,1
7,Artificer's Assistant,price/Dominaria/Artificers+Assistant#paper, blue,1
8,"Fblthp, the Lost",price/Ravnica+Remastered/Fblthp+the+Lost#paper, 1 blue,1
9,Thassa's Oracle,price/Theros+Beyond+Death/Thassas+Oracle#paper, blue blue,1
10,Spellseeker,price/Commander+Masters/Spellseeker-borderless#paper, 2 blue,1
11,Tribute Mage,price/Modern+Horizons/Tribute+Mage#paper, 2 blue,1
12,Hullbreaker Horror,price/Wilds+of+Eldraine+Commander/Hullbreaker+Horror#paper, 5 blue blue,1
13,Jace Reawakened,price/Outlaws+of+Thunder+Junction/Jace+Reawakened#paper, blue blue,1
14,Ancestral Vision,price/Duel+Decks+Jace+vs+Chandra/Ancestral+Vision#paper,,1
15,Inevitable Betrayal,price/Modern+Horizons+2/Inevitable+Betrayal-retro#paper,,1
16,Pact of Negation,price/Modern+Masters/Pact+of+Negation#paper, 0,1
17,An Offer You Can't Refuse,price/Streets+of+New+Capenna/An+Offer+You+Cant+Refuse#paper, blue,1
18,Brainstorm,price/Duel+Decks+Izzet+vs+Golgari/Brainstorm#paper, blue,1
19,Flusterstorm,price/Iconic+Masters/Flusterstorm#paper, blue,1
20,Gitaxian Probe,price/New+Phyrexia/Gitaxian+Probe#paper, hyrid blue ,1
21,High Tide,price/Dominaria+Remastered/High+Tide-retro#paper, blue,1
22,Mystical Tutor,price/Dominaria+Remastered/Mystical+Tutor-retro#paper, blue,1
23,Opt,price/Jumpstart+2022/Opt#paper, blue,1
24,Personal Tutor,price/Commander+Masters/Personal+Tutor-borderless#paper, blue,1
25,Ponder,price/Outlaws+of+Thunder+Junction+Commander/Ponder#paper, blue,1
26,Pongify,price/Outlaws+of+Thunder+Junction+Commander/Pongify#paper, blue,1
