,card,link,mana,n
0,Thalia and The Gitrog Monster,price/March+of+the+Machine/Thalia+and+The+Gitrog+Monster#paper, 1 white black green,1
1,Esper Sentinel,price/Modern+Horizons+2/Esper+Sentinel#paper, white,1
2,Aftermath Analyst,price/Ravnica+Murders+at+Karlov+Manor/Aftermath+Analyst#paper, 1 green,1
3,Collector Ouphe,price/The+List/Collector+Ouphe#paper, 1 green,1
4,Containment Priest,price/Core+Set+2021/Containment+Priest#paper, 1 white,1
5,Dauntless Dismantler,price/Lost+Caverns+of+Ixalan/Dauntless+Dismantler#paper, 1 white,1
6,Dauthi Voidwalker,price/Modern+Horizons+2/Dauthi+Voidwalker#paper, black black,1
7,Drannith Magistrate,price/Ikoria+Lair+of+Behemoths/Drannith+Magistrate#paper, 1 white,1
8,Gaddock Teeg,price/Ultimate+Masters/Gaddock+Teeg#paper, green white,1
9,Grand Abolisher,price/The+Big+Score/Grand+Abolisher#paper, white white,1
10,Lotus Cobra,price/Zendikar+Rising/Lotus+Cobra-showcase#paper, 1 green,1
11,Archon of Emeria,price/Zendikar+Rising/Archon+of+Emeria-planeswalker+stamp#paper, 2 white,1
12,Aven Mindcensor,price/Commander+Legends+Battle+for+Baldurs+Gate/Aven+Mindcensor#paper, 2 white,1
13,"Azusa, Lost but Seeking",price/Commander+Masters/Azusa+Lost+but+Seeking#paper, 2 green,1
14,"Boromir, Warden of the Tower",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Boromir+Warden+of+the+Tower-showcase#paper, 2 white,1
15,"Kutzil, Malamet Exemplar",price/Lost+Caverns+of+Ixalan/Kutzil+Malamet+Exemplar-showcase#paper, 1 green white,1
16,Manglehorn,price/Amonkhet/Manglehorn#paper, 2 green,1
17,Opposition Agent,price/Commander+Legends/Opposition+Agent#paper, 2 black,1
18,Ramunap Excavator,price/Outlaws+of+Thunder+Junction+Commander/Ramunap+Excavator#paper, 2 green,1
19,Scute Swarm,price/Outlaws+of+Thunder+Junction+Commander/Scute+Swarm#paper, 2 green,1
20,"Linvala, Keeper of Silence",price/Jumpstart/Linvala+Keeper+of+Silence#paper, 2 white white,1
21,Oracle of Mul Daya,price/Outlaws+of+Thunder+Junction+Commander/Oracle+of+Mul+Daya#paper, 3 green,1
22,"Shalai, Voice of Plenty",price/Wilds+of+Eldraine+Commander/Shalai+Voice+of+Plenty#paper, 3 white,1
23,"Yasharn, Implacable Earth",price/Zendikar+Rising/Yasharn+Implacable+Earth#paper, 2 green white,1
24,"Elesh Norn, Mother of Machines",price/PhyrexiaAll+Will+Be+One/Elesh+Norn+Mother+of+Machines#paper, 4 white,1
25,"Titania, Protector of Argoth",price/Outlaws+of+Thunder+Junction+Commander/Titania+Protector+of+Argoth#paper, 3 green green,1
26,Archon of Valor's Reach,price/Commander+2020/Archon+of+Valors+Reach#paper, 4 green white,1
27,"Elesh Norn, Grand Cenobite",price/Multiverse+Legends/Elesh+Norn+Grand+Cenobite#paper, 5 white white,1
28,Final Showdown,price/Outlaws+of+Thunder+Junction/Final+Showdown#paper, white,1
29,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
30,Surge of Salvation,price/March+of+the+Machine/Surge+of+Salvation#paper, white,1
31,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
32,Veil of Summer,price/Core+Set+2020/Veil+of+Summer#paper, green,1
33,Assassin's Trophy,price/Ravnica+Murders+at+Karlov+Manor/Assassins+Trophy-extended#paper, black green,1
34,Farseek,price/Ravnica+Remastered/Farseek#paper, 1 green,1
35,Life from the Loam,price/Ravnica+Remastered/Life+from+the+Loam-retro#paper, 1 green,1
36,Rampant Growth,price/Outlaws+of+Thunder+Junction+Commander/Rampant+Growth#paper, 1 green,1
37,Three Visits,price/Outlaws+of+Thunder+Junction+Commander/Three+Visits#paper, 1 green,1
38,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
39,Entish Restoration,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Entish+Restoration#paper, 2 green,1
40,Harrow,price/Outlaws+of+Thunder+Junction+Commander/Harrow#paper, 2 green,1
41,Kodama's Reach,price/Commander+Masters/Kodamas+Reach-borderless#paper, 2 green,1
42,Krosan Grip,price/Time+Spiral+Remastered/Krosan+Grip#paper, 2 green,1
43,Armageddon,price/Starter+1999/Armageddon#paper, 3 white,1
44,Splendid Reclamation,price/Eldritch+Moon/Splendid+Reclamation#paper, 3 green,1
45,Farewell,price/Ravnica+Murders+at+Karlov+Manor+Commander/Farewell#paper, 4 white white,1
46,Eerie Ultimatum,price/Ikoria+Lair+of+Behemoths/Eerie+Ultimatum#paper, white white black black black green green,1
47,Grafdigger's Cage,price/Dark+Ascension/Grafdiggers+Cage#paper, 1,1
48,Lavaspur Boots,price/Outlaws+of+Thunder+Junction/Lavaspur+Boots#paper, 1,1
49,Blackblade Reforged,price/Kamigawa+Neon+Dynasty+Commander/Blackblade+Reforged#paper, 2,1
50,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
51,Crucible of Worlds,price/Double+Masters+2022/Crucible+of+Worlds#paper, 3,1
52,Conduit of Worlds,price/PhyrexiaAll+Will+Be+One/Conduit+of+Worlds-extended#paper, 2 green green,1
53,Burgeoning,price/Conspiracy+Take+the+Crown/Burgeoning#paper, green,1
54,Deafening Silence,price/Throne+of+Eldraine/Deafening+Silence#paper, white,1
55,Exploration,price/Dominaria+Remastered/Exploration-retro#paper, green,1
56,Root Maze,price/Tenth+Edition/Root+Maze#paper, green,1
57,Aura Shards,price/Mystery+Booster/Aura+Shards#paper, 1 green white,1
58,Spelunking,price/Lost+Caverns+of+Ixalan/Spelunking#paper, 2 green,1
59,Undergrowth Recon,price/Ravnica+Murders+at+Karlov+Manor/Undergrowth+Recon#paper, 1 green green,1
60,Case of the Locked Hothouse,price/Ravnica+Murders+at+Karlov+Manor/Case+of+the+Locked+Hothouse#paper, 3 green,1
61,Smothering Tithe,price/Commander+Masters/Smothering+Tithe-borderless+frame+break#paper, 3 white,1
62,Bojuka Bog,price/Outlaws+of+Thunder+Junction+Commander/Bojuka+Bog#paper,,1
63,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
64,Echoing Deeps,price/Lost+Caverns+of+Ixalan/Echoing+Deeps-borderless#paper,,1
65,Field of the Dead,price/Core+Set+2020/Field+of+the+Dead#paper,,1
66,Forest,price/Theros+Beyond+Death/Forest-254#paper,,10
67,Lotus Field,price/Core+Set+2020/Lotus+Field#paper,,1
68,Plains,price/Theros+Beyond+Death/Plains-250#paper,,9
69,Reliquary Tower,price/Outlaws+of+Thunder+Junction+Commander/Reliquary+Tower#paper,,1
70,Strip Mine,price/Fourth+Edition/Strip+Mine#paper,,1
71,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,8
72,"Urborg, Tomb of Yawgmoth",price/Time+Spiral+Remastered/Urborg+Tomb+of+Yawgmoth#paper,,1
73,Vesuva,price/Time+Spiral/Vesuva#paper,,1
74,Wasteland,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander:Foil/Wasteland-Valley+of+Gorgoroth#paper,,1
75,"Yavimaya, Cradle of Growth",price/Modern+Horizons+2/Yavimaya+Cradle+of+Growth#paper,,1
