,card,link,mana,n
0,"Jinnie Fay, Jetmir's Second",price/Streets+of+New+Capenna/Jinnie+Fay+Jetmirs+Second-showcase#paper, hyrid red green green hyrid green white,1
1,Avacyn's Pilgrim,price/Starter+Commander/Avacyns+Pilgrim#paper, green,1
2,Elvish Mystic,price/Commander+Masters/Elvish+Mystic#paper, green,1
3,Fyndhorn Elves,price/Commander+Legends/Fyndhorn+Elves#paper, green,1
4,Llanowar Elves,price/Magic+2010/Llanowar+Elves#paper, green,1
5,Black Market Tycoon,price/Streets+of+New+Capenna/Black+Market+Tycoon#paper, red green,1
6,Devoted Druid,price/Streets+of+New+Capenna+Commander/Devoted+Druid#paper, 1 green,1
7,Fauna Shaman,price/The+Brothers+War/Fauna+Shaman#paper, 1 green,1
8,Loyal Apprentice,price/Fallout/Loyal+Apprentice#paper, 1 red,1
9,Resolute Reinforcements,price/Dominaria+United/Resolute+Reinforcements#paper, 1 white,1
10,Tilonalli's Summoner,price/Rivals+of+Ixalan/Tilonallis+Summoner#paper, 1 red,1
11,Vizier of Remedies,price/Amonkhet/Vizier+of+Remedies#paper, 1 white,1
12,Academy Manufactor,price/Outlaws+of+Thunder+Junction+Commander/Academy+Manufactor#paper, 3,1
13,"Adeline, Resplendent Cathar",price/Innistrad+Midnight+Hunt/Adeline+Resplendent+Cathar-showcase#paper, 1 white white,1
14,Aven Mindcensor,price/Commander+Legends+Battle+for+Baldurs+Gate/Aven+Mindcensor#paper, 2 white,1
15,Champion of Lambholt,price/Starter+Commander/Champion+of+Lambholt#paper, 1 green green,1
16,Eternal Witness,price/Starter+Commander/Eternal+Witness#paper, 1 green green,1
17,Midnight Guard,price/Jumpstart+2022/Midnight+Guard#paper, 2 white,1
18,Queen Allenal of Ruadach,price/Dominaria+United/Queen+Allenal+of+Ruadach#paper, green white white,1
19,Reclamation Sage,price/Commander+Legends/Reclamation+Sage-precon#paper, 2 green,1
20,Rosie Cotton of South Lane,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Rosie+Cotton+of+South+Lane-borderless#paper, 2 white,1
21,Scurry Oak,price/Modern+Horizons+2/Scurry+Oak#paper, 2 green,1
22,Welcoming Vampire,price/Ravnica+Murders+at+Karlov+Manor+Commander/Welcoming+Vampire#paper, 2 white,1
23,Wood Elves,price/Streets+of+New+Capenna+Commander/Wood+Elves#paper, 2 green,1
24,Alms Collector,price/Commander+Masters/Alms+Collector#paper, 3 white,1
25,Ivy Lane Denizen,price/Ravnica+Clue+Edition/Ivy+Lane+Denizen#paper, 3 green,1
26,Requiem Angel,price/Dark+Ascension/Requiem+Angel#paper, 5 white,1
27,Nature's Claim,price/Eternal+Masters/Natures+Claim#paper, green,1
28,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
29,Song of Totentanz,price/Wilds+of+Eldraine/Song+of+Totentanz#paper, x red,1
30,Surge of Salvation,price/March+of+the+Machine/Surge+of+Salvation#paper, white,1
31,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
