,card,link,mana,n
0,"Lilah, Undefeated Slickshot",price/Outlaws+of+Thunder+Junction/Lilah+Undefeated+Slickshot#paper, 1 blue red,1
1,Baral and Kari Zev,price/March+of+the+Machine/Baral+and+Kari+Zev-showcase#paper, 1 blue red,1
2,Haughty Djinn,price/Outlaws+of+Thunder+Junction+Commander/Haughty+Djinn#paper, 1 blue blue,1
3,"Veyran, Voice of Duality",price/Outlaws+of+Thunder+Junction+Commander/Veyran+Voice+of+Duality#paper, 1 blue red,1
4,Crackling Spellslinger,price/Outlaws+of+Thunder+Junction+Commander/Crackling+Spellslinger#paper, 3 red red,1
5,"Niv-Mizzet, Parun",price/Outlaws+of+Thunder+Junction+Commander/Niv-Mizzet+Parun#paper, blue blue blue red red red,1
6,"Eris, Roar of the Storm",price/Outlaws+of+Thunder+Junction+Commander:Foil/Eris+Roar+of+the+Storm#paper, 8 blue red,1
7,An Offer You Can't Refuse,price/Streets+of+New+Capenna/An+Offer+You+Cant+Refuse#paper, blue,1
8,Brainstorm,price/Duel+Decks+Izzet+vs+Golgari/Brainstorm#paper, blue,1
9,Opt,price/Jumpstart+2022/Opt#paper, blue,1
10,Pongify,price/Outlaws+of+Thunder+Junction+Commander/Pongify#paper, blue,1
11,Vandalblast,price/Outlaws+of+Thunder+Junction+Commander/Vandalblast#paper, red,1
12,Arcane Infusion,price/Innistrad+Midnight+Hunt/Arcane+Infusion#paper, blue red,1
13,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
14,Expressive Iteration,price/Outlaws+of+Thunder+Junction+Commander/Expressive+Iteration#paper, blue red,1
15,Galvanic Iteration,price/Outlaws+of+Thunder+Junction+Commander/Galvanic+Iteration#paper, blue red,1
16,Slick Sequence,price/Outlaws+of+Thunder+Junction/Slick+Sequence#paper, blue red,1
17,Swerve,price/Shards+of+Alara/Swerve#paper, blue red,1
18,Counterflux,price/Return+to+Ravnica/Counterflux#paper, blue blue red,1
19,Double Negative,price/Alara+Reborn/Double+Negative#paper, blue blue red,1
20,Gandalf's Sanction,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Gandalfs+Sanction#paper, 1 blue red,1
21,Invade the City,price/War+of+the+Spark/Invade+the+City#paper, 1 blue red,1
22,Ionize,price/Breaking+News/Ionize-showcase#paper, 1 blue red,1
23,Prismari Command,price/Lost+Caverns+of+Ixalan+Commander/Prismari+Command#paper, 1 blue red,1
24,Seething Song,price/Ninth+Edition/Seething+Song#paper, 2 red,1
25,Solve the Equation,price/Strixhaven+School+of+Mages/Solve+the+Equation#paper, 2 blue,1
26,Stitch in Time,price/Ravnica+Remastered/Stitch+in+Time-retro#paper, 1 blue red,1
27,Big Score,price/Outlaws+of+Thunder+Junction+Commander/Big+Score#paper, 3 red,1
28,Collected Conjuring,price/Modern+Horizons/Collected+Conjuring#paper, 2 blue red,1
29,Experimental Overload,price/Core+Set+2021/Experimental+Overload#paper, 2 blue red,1
30,Ill-Timed Explosion,price/Ravnica+Murders+at+Karlov+Manor/Ill-Timed+Explosion#paper, 2 blue red,1
31,Mizzix's Mastery,price/Outlaws+of+Thunder+Junction+Commander/Mizzixs+Mastery#paper, 3 red,1
32,Ral's Outburst,price/War+of+the+Spark/Rals+Outburst#paper, 2 blue red,1
33,Reinterpret,price/Commander+2021/Reinterpret#paper, 2 blue red,1
34,Steam Augury,price/Theros/Steam+Augury#paper, 2 blue red,1
35,Truth or Consequences,price/Doctor+Who/Truth+or+Consequences#paper, 2 blue red,1
36,Hypothesizzle,price/Breaking+News/Hypothesizzle-showcase#paper, 3 blue red,1
37,Prophetic Bolt,price/Double+Masters+2022/Prophetic+Bolt#paper, 3 blue red,1
38,Thoughtflare,price/Return+to+Ravnica/Thoughtflare#paper, 3 blue red,1
39,Blast of Genius,price/Dragons+Maze/Blast+of+Genius#paper, 4 blue red,1
40,Elemental Eruption,price/Outlaws+of+Thunder+Junction+Commander/Elemental+Eruption-extended#paper, 4 red red,1
41,Expansion // Explosion,price/Ravnica+Remastered/Expansion+Explosion#paper, hyrid blue red hyrid blue red phyrexian hybrid green blue phyrexian hybrid green blue phyrexian hybrid green blue x blue blue red red,1
42,Firemind's Foresight,price/Return+to+Ravnica/Fireminds+Foresight#paper, 5 blue red,1
43,Invert // Invent,price/Guilds+of+Ravnica/Invert+Invent#paper, hyrid blue red phyrexian hybrid green blue phyrexian hybrid green blue phyrexian hybrid green blue 4 blue red,1
44,Magma Opus,price/Strixhaven+School+of+Mages/Magma+Opus#paper, 6 blue red,1
45,Blasphemous Act,price/The+Brothers+War+Commander/Blasphemous+Act-retro#paper, 8 red,1
46,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
47,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
48,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
49,Obsidian Obelisk,price/Dominaria+United+Commander/Obsidian+Obelisk#paper, 2,1
50,Thought Vessel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Vessel#paper, 2,1
51,Decanter of Endless Water,price/Commander+Legends+Battle+for+Baldurs+Gate/Decanter+of+Endless+Water#paper, 3,1
52,Aetherflux Reservoir,price/Mystery+Booster/Aetherflux+Reservoir#paper, 4,1
53,Primal Amulet,price/Ixalan/Primal+Amulet#paper, 4,1
54,Pyromancer's Goggles,price/Commander+2021/Pyromancers+Goggles#paper, 5,1
