,card,link,mana,n
0,"Hazezon, Shaper of Sand",price/Outlaws+of+Thunder+Junction+Commander/Hazezon+Shaper+of+Sand#paper, red green white,1
1,Hangarback Walker,price/Commander+Masters/Hangarback+Walker#paper, x x,1
2,"Tajic, Legion's Edge",price/Ravnica+Remastered/Tajic+Legions+Edge-retro#paper, 1 red white,1
3,"Yisan, the Wanderer Bard",price/Commander+Masters/Yisan+the+Wanderer+Bard-foil+etched#paper, 2 green,1
4,"Baru, Wurmspeaker",price/Dominaria+United+Commander/Baru+Wurmspeaker-extended#paper, 2 green green,1
5,Colossal Rattlewurm,price/Outlaws+of+Thunder+Junction:Foil/Colossal+Rattlewurm#paper, 2 green green,1
6,"Jeska, Warrior Adept",price/Judgment/Jeska+Warrior+Adept#paper, 2 red red,1
7,Pia and Kiran Nalaar,price/March+of+the+Machine+Commander/Pia+and+Kiran+Nalaar#paper, 2 red red,1
8,Bellowing Tanglewurm,price/Scars+of+Mirrodin/Bellowing+Tanglewurm#paper, 3 green green,1
9,Defiler of Vigor,price/Dominaria+United/Defiler+of+Vigor#paper, 3 green green,1
10,Dirtcowl Wurm,price/Tempest/Dirtcowl+Wurm#paper, 4 green,1
11,Armada Wurm,price/Guilds+of+Ravnica+Guild+Kits/Armada+Wurm#paper, 2 green green white white,1
12,Enlisted Wurm,price/The+List/Enlisted+Wurm#paper, 4 green white,1
13,Greater Sandwurm,price/Amonkhet/Greater+Sandwurm#paper, 5 green green,1
14,Hazezon Tamar,price/Legends/Hazezon+Tamar#paper, 4 red green white,1
15,Novablast Wurm,price/Worldwake/Novablast+Wurm#paper, 3 green green white white,1
16,Pelakka Wurm,price/Conspiracy/Pelakka+Wurm#paper, 4 green green green,1
17,Penumbra Wurm,price/Ultimate+Masters/Penumbra+Wurm#paper, 5 green green,1
18,Sifter Wurm,price/Commander+Legends/Sifter+Wurm#paper, 5 green green,1
19,Symbiotic Wurm,price/Onslaught/Symbiotic+Wurm#paper, 5 green green green,1
20,Impervious Greatwurm,price/Double+Masters+2022/Impervious+Greatwurm#paper, 7 green green green,1
21,Worldspine Wurm,price/The+List/Worldspine+Wurm#paper, 8 green green green,1
22,Autochthon Wurm,price/Ravnica+City+of+Guilds/Autochthon+Wurm#paper, 10 green green green white white,1
23,Animist's Awakening,price/Magic+Origins/Animists+Awakening#paper, x green,1
24,Crop Rotation,price/Mystery+Booster/Crop+Rotation#paper, green,1
25,Secure the Wastes,price/Fallout/Secure+the+Wastes#paper, x white,1
26,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
27,Wurmcalling,price/Time+Spiral/Wurmcalling#paper, x green,1
28,Dance of the Tumbleweeds,price/Outlaws+of+Thunder+Junction/Dance+of+the+Tumbleweeds#paper, 1 green,1
29,Farseek,price/Ravnica+Remastered/Farseek#paper, 1 green,1
30,Open the Way,price/March+of+the+Machine+The+Aftermath:Foil/Open+the+Way#paper, x green green,1
31,Sylvan Scrying,price/Battle+for+Zendikar/Sylvan+Scrying#paper, 1 green,1
32,Beast Within,price/Duel+Decks+Heroes+vs+Monsters/Beast+Within#paper, 2 green,1
33,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
34,Kodama's Reach,price/Commander+Masters/Kodamas+Reach-borderless#paper, 2 green,1
35,Realms Uncharted,price/Rise+of+the+Eldrazi/Realms+Uncharted#paper, 2 green,1
36,Sweltering Suns,price/Starter+Commander/Sweltering+Suns#paper, 1 red red,1
37,Advent of the Wurm,price/Dragons+Maze/Advent+of+the+Wurm#paper, 1 green green white,1
38,Map the Frontier,price/Outlaws+of+Thunder+Junction/Map+the+Frontier#paper, 3 green,1
39,Tempt with Discovery,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Tempt+with+Discovery-borderless#paper, 3 green,1
40,End Hostilities,price/Khans+of+Tarkir/End+Hostilities#paper, 3 white white,1
41,Hour of Promise,price/Outlaws+of+Thunder+Junction+Commander/Hour+of+Promise#paper, 4 green,1
42,Roar of the Wurm,price/Mystery+Booster/Roar+of+the+Wurm#paper, 6 green,1
43,Tooth and Nail,price/Commander+Masters/Tooth+and+Nail-borderless#paper, 5 green green,1
44,Crush of Wurms,price/Judgment/Crush+of+Wurms#paper, 6 green green green,1
45,Pithing Needle,price/Innistrad+Midnight+Hunt/Pithing+Needle#paper, 1,1
46,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
47,Sword of the Animist,price/Mystery+Booster/Sword+of+the+Animist#paper, 2,1
48,Crucible of Worlds,price/Double+Masters+2022/Crucible+of+Worlds#paper, 3,1
49,Serum Powder,price/Iconic+Masters/Serum+Powder#paper, 3,1
50,Concordant Crossroads,price/Double+Masters+2022/Concordant+Crossroads#paper, green,1
51,Exploration,price/Dominaria+Remastered/Exploration-retro#paper, green,1
52,Hunting Grounds,price/Dominaria+Remastered/Hunting+Grounds-retro#paper, green white,1
53,Anointed Procession,price/Amonkhet/Anointed+Procession#paper, 3 white,1
54,Parallel Lives,price/Enchanting+Tales/Parallel+Lives#paper, 3 green,1
55,Assemble the Legion,price/Streets+of+New+Capenna+Commander/Assemble+the+Legion#paper, 3 red white,1
56,Mirari's Wake,price/Modern+Horizons+2:Foil-Etched/Miraris+Wake#paper, 3 green white,1
57,Lurking Predators,price/Jumpstart/Lurking+Predators#paper, 4 green green,1
58,Warstorm Surge,price/Warhammer+40K+Commander+Decks/Warstorm+Surge#paper, 5 red,1
59,Sandwurm Convergence,price/Commander+Legends+Battle+for+Baldurs+Gate/Sandwurm+Convergence#paper, 6 green green,1
60,Abraded Bluffs,price/Outlaws+of+Thunder+Junction/Abraded+Bluffs#paper,,1
61,Arid Archway,price/Outlaws+of+Thunder+Junction/Arid+Archway#paper,,1
62,Arid Mesa,price/Modern+Horizons+2/Arid+Mesa#paper,,1
63,Bristling Backwoods,price/Outlaws+of+Thunder+Junction/Bristling+Backwoods#paper,,1
64,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
65,Creosote Heath,price/Outlaws+of+Thunder+Junction/Creosote+Heath#paper,,1
66,Desert,price/Adventures+in+the+Forgotten+Realms+Commander/Desert#paper,,1
67,Desert of the Fervent,price/Outlaws+of+Thunder+Junction+Commander/Desert+of+the+Fervent#paper,,1
68,Desert of the Indomitable,price/Outlaws+of+Thunder+Junction+Commander/Desert+of+the+Indomitable#paper,,1
69,Desert of the True,price/Outlaws+of+Thunder+Junction+Commander/Desert+of+the+True#paper,,1
70,Dust Bowl,price/Breaking+News/Dust+Bowl-showcase#paper,,1
71,Endless Sands,price/Commander+2020/Endless+Sands#paper,,1
72,Forest,price/Theros+Beyond+Death/Forest-254#paper,,9
73,Hashep Oasis,price/Outlaws+of+Thunder+Junction+Commander/Hashep+Oasis#paper,,1
74,Jetmir's Garden,price/Streets+of+New+Capenna/Jetmirs+Garden-showcase#paper,,1
75,Jungle Shrine,price/Outlaws+of+Thunder+Junction+Commander/Jungle+Shrine#paper,,1
76,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,3
77,Plains,price/Theros+Beyond+Death/Plains-250#paper,,3
78,Ramunap Ruins,price/Outlaws+of+Thunder+Junction+Commander/Ramunap+Ruins#paper,,1
79,Reflecting Pool,price/Commander+Legends+Battle+for+Baldurs+Gate/Reflecting+Pool#paper,,1
80,Sacred Foundry,price/Guilds+of+Ravnica/Sacred+Foundry#paper,,1
81,Sandstorm Verge,price/Outlaws+of+Thunder+Junction/Sandstorm+Verge#paper,,1
82,Scavenger Grounds,price/Outlaws+of+Thunder+Junction+Commander/Scavenger+Grounds#paper,,1
83,Shefet Dunes,price/Outlaws+of+Thunder+Junction+Commander/Shefet+Dunes#paper,,1
84,Stomping Ground,price/Gatecrash/Stomping+Ground#paper,,1
85,Temple Garden,price/Return+to+Ravnica/Temple+Garden#paper,,1
