,card,link,mana,n
0,Soul of Windgrace,price/Dominaria+United:Foil/Soul+of+Windgrace-showcase#paper, 1 black red green,1
1,Aftermath Analyst,price/Ravnica+Murders+at+Karlov+Manor/Aftermath+Analyst#paper, 1 green,1
2,Lotus Cobra,price/Zendikar+Rising/Lotus+Cobra-showcase#paper, 1 green,1
3,Sakura-Tribe Elder,price/Kamigawa+Neon+Dynasty+Commander/Sakura-Tribe+Elder#paper, 1 green,1
4,"Azusa, Lost but Seeking",price/Commander+Masters/Azusa+Lost+but+Seeking#paper, 2 green,1
5,"Braids, Arisen Nightmare",price/Dominaria+United/Braids+Arisen+Nightmare-showcase#paper, 1 black black,1
6,Dryad of the Ilysian Grove,price/Theros+Beyond+Death/Dryad+of+the+Ilysian+Grove#paper, 2 green,1
7,Eternal Witness,price/Starter+Commander/Eternal+Witness#paper, 1 green green,1
8,Ramunap Excavator,price/Outlaws+of+Thunder+Junction+Commander/Ramunap+Excavator#paper, 2 green,1
9,Scute Swarm,price/Outlaws+of+Thunder+Junction+Commander/Scute+Swarm#paper, 2 green,1
10,Springbloom Druid,price/Outlaws+of+Thunder+Junction+Commander/Springbloom+Druid#paper, 2 green,1
11,Tireless Provisioner,price/March+of+the+Machine+Commander/Tireless+Provisioner#paper, 2 green,1
12,Tireless Tracker,price/Fallout/Tireless+Tracker#paper, 2 green,1
13,Tunneling Geopede,price/Battle+for+Zendikar/Tunneling+Geopede#paper, 2 red,1
14,"Mina and Denn, Wildborn",price/Zendikar+Rising+Commander/Mina+and+Denn+Wildborn#paper, 2 red green,1
15,Oracle of Mul Daya,price/Outlaws+of+Thunder+Junction+Commander/Oracle+of+Mul+Daya#paper, 3 green,1
16,World Shaper,price/Outlaws+of+Thunder+Junction+Commander/World+Shaper#paper, 3 green,1
17,Perennial Behemoth,price/Outlaws+of+Thunder+Junction+Commander/Perennial+Behemoth#paper, 5,1
18,The Gitrog Monster,price/Mystery+Booster/The+Gitrog+Monster#paper, 3 black green,1
19,Ancient Greenwarden,price/Outlaws+of+Thunder+Junction+Commander/Ancient+Greenwarden#paper, 4 green green,1
20,Lord Windgrace,price/Commander+2018:Foil/Lord+Windgrace#paper, 2 black red green,1
21,Wrenn and Seven,price/Innistrad+Midnight+Hunt/Wrenn+and+Seven#paper, 3 green green,1
22,Crop Rotation,price/Mystery+Booster/Crop+Rotation#paper, green,1
23,Entomb,price/Dominaria+Remastered/Entomb-borderless#paper, black,1
24,Scheming Symmetry,price/Core+Set+2020/Scheming+Symmetry#paper, black,1
25,Exsanguinate,price/Commander+Masters/Exsanguinate-borderless#paper, x black black,1
26,Farseek,price/Ravnica+Remastered/Farseek#paper, 1 green,1
27,Heroic Intervention,price/Fallout/Heroic+Intervention-extended#paper, 1 green,1
28,Life from the Loam,price/Ravnica+Remastered/Life+from+the+Loam-retro#paper, 1 green,1
29,Nahiri's Lithoforming,price/Zendikar+Rising/Nahiris+Lithoforming#paper, x red red,1
30,Nature's Lore,price/Commander+Legends+Battle+for+Baldurs+Gate/Natures+Lore#paper, 1 green,1
31,Three Visits,price/Outlaws+of+Thunder+Junction+Commander/Three+Visits#paper, 1 green,1
32,Worldsoul's Rage,price/Ravnica+Murders+at+Karlov+Manor:Foil/Worldsouls+Rage-prerelease#paper, x red green,1
33,Archdruid's Charm,price/Ravnica+Murders+at+Karlov+Manor/Archdruids+Charm#paper, green green green,1
34,Beast Within,price/Duel+Decks+Heroes+vs+Monsters/Beast+Within#paper, 2 green,1
35,Bedevil,price/Breaking+News/Bedevil-showcase#paper, black black red,1
36,Chaos Warp,price/Outlaws+of+Thunder+Junction+Commander/Chaos+Warp#paper, 2 red,1
37,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
