,card,link,mana,n
0,"Aragorn, King of Gondor",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Aragorn+King+of+Gondor#paper, 1 blue red white,1
1,Weathered Wayfarer,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Weathered+Wayfarer#paper, white,1
2,"Denethor, Stone Seer",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Denethor+Stone+Seer#paper, 1 blue,1
3,Harsh Mentor,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Harsh+Mentor#paper, 1 red,1
4,Prince Imrahil the Fair,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Prince+Imrahil+the+Fair#paper, white blue,1
5,Sardian Avenger,price/The+Brothers+War+Commander/Sardian+Avenger-extended#paper, 1 red,1
6,Bastion Protector,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Bastion+Protector#paper, 2 white,1
7,Combat Celebrant,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Combat+Celebrant#paper, 2 red,1
8,"Faramir, Steward of Gondor",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Faramir+Steward+of+Gondor#paper, 1 white blue,1
9,Fiend Hunter,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Fiend+Hunter#paper, 1 white white,1
10,Frontline Medic,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Frontline+Medic#paper, 2 white,1
11,"Gilraen, Dunedain Protector",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Gilraen+Dunedain+Protector#paper, 2 white,1
12,Gimli of the Glittering Caves,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Gimli+of+the+Glittering+Caves#paper, 2 red,1
13,Mentor of the Meek,price/The+List/Mentor+of+the+Meek#paper, 2 white,1
14,"Theoden, King of Rohan",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Theoden+King+of+Rohan#paper, 1 red white,1
15,Verge Rangers,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Verge+Rangers#paper, 2 white,1
16,Village Bell-Ringer,price/March+of+the+Machine+Commander/Village+Bell-Ringer#paper, 2 white,1
17,"Boromir, Gondor's Hope",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander:Foil/Boromir+Gondors+Hope-extended#paper, 2 white blue,1
