,card,link,mana,n
0,"Zada, Hedron Grinder",price/Multiverse+Legends/Zada+Hedron+Grinder#paper, 3 red,1
1,Foundry Street Denizen,price/Gatecrash/Foundry+Street+Denizen#paper, red,1
2,Monastery Swiftspear,price/The+Brothers+War/Monastery+Swiftspear#paper, red,1
3,Skirk Prospector,price/Dominaria+Remastered/Skirk+Prospector#paper, red,1
4,Erebor Flamesmith,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Erebor+Flamesmith#paper, 1 red,1
5,Firebrand Archer,price/Hour+of+Devastation/Firebrand+Archer#paper, 1 red,1
6,Goblin Instigator,price/Jumpstart/Goblin+Instigator#paper, 1 red,1
7,Mogg War Marshal,price/Dominaria+Remastered/Mogg+War+Marshal-retro#paper, 1 red,1
8,Thermo-Alchemist,price/Jumpstart+2022/Thermo-Alchemist#paper, 1 red,1
9,Young Pyromancer,price/Outlaws+of+Thunder+Junction+Commander/Young+Pyromancer#paper, 1 red,1
10,"Birgi, God of Storytelling",price/Kaldheim/Birgi+God+of+Storytelling-showcase#paper, 2 red,1
11,Guttersnipe,price/Outlaws+of+Thunder+Junction+Commander/Guttersnipe#paper, 2 red,1
12,Unruly Catapult,price/Wilds+of+Eldraine/Unruly+Catapult#paper, 2 red,1
13,Witty Roastmaster,price/Streets+of+New+Capenna/Witty+Roastmaster#paper, 2 red,1
14,Ancestral Anger,price/Innistrad+Crimson+Vow/Ancestral+Anger#paper, red,1
15,Balduvian Rage,price/Double+Masters/Balduvian+Rage#paper, x red,1
16,Barge In,price/Throne+of+Eldraine/Barge+In#paper, red,1
17,Brute Force,price/Modern+Masters+2015/Brute+Force#paper, red,1
18,Built to Smash,price/Kaladesh/Built+to+Smash#paper, red,1
19,Expedite,price/Battlebond/Expedite#paper, red,1
20,Faithless Looting,price/Outlaws+of+Thunder+Junction+Commander/Faithless+Looting#paper, red,1
21,Free from Flesh,price/PhyrexiaAll+Will+Be+One/Free+from+Flesh#paper, red,1
22,Infernal Plunge,price/Innistrad/Infernal+Plunge#paper, red,1
23,Infuriate,price/Theros+Beyond+Death/Infuriate#paper, red,1
24,Kick in the Door,price/Adventures+in+the+Forgotten+Realms/Kick+in+the+Door#paper, red,1
25,Otherworldly Outburst,price/Eldritch+Moon/Otherworldly+Outburst#paper, red,1
26,Panic,price/Ice+Age/Panic#paper, red,1
27,Renegade Tactics,price/Commander+Legends/Renegade+Tactics#paper, red,1
28,Rile,price/Ixalan/Rile#paper, red,1
29,Rush of Adrenaline,price/Jumpstart+2022/Rush+of+Adrenaline#paper, red,1
30,Samut's Sprint,price/War+of+the+Spark/Samuts+Sprint#paper, red,1
31,Titan's Strength,price/Double+Masters+2022/Titans+Strength#paper, red,1
32,Accelerate,price/Torment/Accelerate#paper, 1 red,1
33,Ancestors' Aid,price/Lost+Caverns+of+Ixalan/Ancestors+Aid#paper, 1 red,1
34,Battle Hymn,price/Avacyn+Restored/Battle+Hymn#paper, 1 red,1
35,Dragon Fodder,price/Jumpstart+2022/Dragon+Fodder-523#paper, 1 red,1
36,Fists of Flame,price/Modern+Horizons/Fists+of+Flame#paper, 1 red,1
37,Forbidden Friendship,price/Ikoria+Lair+of+Behemoths/Forbidden+Friendship#paper, 1 red,1
38,Grapeshot,price/Dominaria+Remastered/Grapeshot#paper, 1 red,1
39,Krenko's Command,price/Ravnica+Remastered/Krenkos+Command#paper, 1 red,1
40,Ral's Reinforcements,price/March+of+the+Machine/Rals+Reinforcements#paper, 1 red,1
41,Rally at the Hornburg,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Rally+at+the+Hornburg#paper, 1 red,1
42,Spawning Breath,price/Rise+of+the+Eldrazi/Spawning+Breath#paper, 1 red,1
43,Stun,price/Invasion/Stun#paper, 1 red,1
44,Sudden Breakthrough,price/Jumpstart+2022/Sudden+Breakthrough#paper, 1 red,1
45,Thrill of Possibility,price/Dominaria+United+Commander/Thrill+of+Possibility#paper, 1 red,1
46,Tormenting Voice,price/Jumpstart+2022/Tormenting+Voice#paper, 1 red,1
47,Wild Guess,price/Magic+2013/Wild+Guess#paper, red red,1
48,Witch's Mark,price/Wilds+of+Eldraine/Witchs+Mark#paper, 1 red,1
49,Flick a Coin,price/Wilds+of+Eldraine/Flick+a+Coin#paper, 2 red,1
50,Hordeling Outburst,price/Jumpstart+2022/Hordeling+Outburst#paper, 1 red red,1
51,Make Mischief,price/Eldritch+Moon/Make+Mischief#paper, 2 red,1
52,Soul's Fire,price/Commander+Legends/Souls+Fire#paper, 2 red,1
53,Empty the Warrens,price/Dominaria+Remastered/Empty+the+Warrens-retro#paper, 3 red,1
54,Gravitic Punch,price/Guilds+of+Ravnica/Gravitic+Punch#paper, 3 red,1
55,Inner Fire,price/Saviors+of+Kamigawa/Inner+Fire#paper, 3 red,1
56,Mana Geyser,price/Game+Night+Free-For-All/Mana+Geyser#paper, 3 red red,1
57,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
58,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
59,Conqueror's Flail,price/Double+Masters+2022/Conquerors+Flail#paper, 2,1
60,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
61,Mask of Avacyn,price/Innistrad/Mask+of+Avacyn#paper, 2,1
62,Mind Stone,price/Fallout/Mind+Stone#paper, 2,1
63,Prismatic Lens,price/Outlaws+of+Thunder+Junction+Commander/Prismatic+Lens#paper, 2,1
64,Swiftfoot Boots,price/The+Brothers+War+Commander/Swiftfoot+Boots-retro#paper, 2,1
65,Thought Vessel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Vessel#paper, 2,1
66,Impact Tremors,price/Enchanting+Tales/Impact+Tremors#paper, 1 red,1
67,Blood Moon,price/Enchanting+Tales/Blood+Moon#paper, 2 red,1
68,Den of the Bugbear,price/Adventures+in+the+Forgotten+Realms/Den+of+the+Bugbear-classic+module#paper,,1
69,Dwarven Mine,price/Throne+of+Eldraine/Dwarven+Mine#paper,,1
70,Forgotten Cave,price/Jumpstart+2022/Forgotten+Cave#paper,,1
71,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,28
72,Reliquary Tower,price/Outlaws+of+Thunder+Junction+Commander/Reliquary+Tower#paper,,1
73,Storm-Kiln Artist,price/Outlaws+of+Thunder+Junction+Commander/Storm-Kiln+Artist#paper, 3 red,1
