,card,link,mana,n
0,"Don Andres, the Renegade",price/Lost+Caverns+of+Ixalan+Commander:Foil/Don+Andres+the+Renegade#paper, 1 blue black red,1
1,"Tinybones, the Pickpocket",price/Outlaws+of+Thunder+Junction/Tinybones+the+Pickpocket#paper, black,1
2,Dire Fleet Daredevil,price/Outlaws+of+Thunder+Junction+Commander/Dire+Fleet+Daredevil#paper, 1 red,1
3,Nightscape Familiar,price/Dominaria+Remastered/Nightscape+Familiar#paper, 1 black,1
4,Thieving Varmint,price/Outlaws+of+Thunder+Junction+Commander/Thieving+Varmint#paper, 1 black,1
5,"Valki, God of Lies",price/Kaldheim/Valki+God+of+Lies#paper, 1 black,1
6,"Breeches, Eager Pillager",price/Lost+Caverns+of+Ixalan/Breeches+Eager+Pillager-showcase#paper, 2 red,1
7,Corsair Captain,price/Lost+Caverns+of+Ixalan+Commander/Corsair+Captain#paper, 2 blue,1
8,Kitesail Larcenist,price/Lost+Caverns+of+Ixalan/Kitesail+Larcenist#paper, 2 blue,1
9,Laughing Jasper Flint,price/Outlaws+of+Thunder+Junction/Laughing+Jasper+Flint#paper, 1 black red,1
10,"Malcolm, Keen-Eyed Navigator",price/Lost+Caverns+of+Ixalan+Commander/Malcolm+Keen-Eyed+Navigator#paper, 2 blue,1
11,Thief of Sanity,price/Outlaws+of+Thunder+Junction+Commander/Thief+of+Sanity#paper, 1 blue black,1
12,Admiral Beckett Brass,price/Lost+Caverns+of+Ixalan+Commander/Admiral+Beckett+Brass#paper, 1 blue black red,1
13,"Breeches, Brazen Plunderer",price/Lost+Caverns+of+Ixalan+Commander/Breeches+Brazen+Plunderer#paper, 3 red,1
14,Decadent Dragon,price/Wilds+of+Eldraine/Decadent+Dragon-showcase#paper, 2 red red,1
15,Gemcutter Buccaneer,price/Lost+Caverns+of+Ixalan+Commander/Gemcutter+Buccaneer#paper, 3 red,1
16,"Gonti, Lord of Luxury",price/Outlaws+of+Thunder+Junction+Commander/Gonti+Lord+of+Luxury#paper, 2 black black,1
17,Hostage Taker,price/Outlaws+of+Thunder+Junction+Commander/Hostage+Taker#paper, 2 blue black,1
18,Intellect Devourer,price/Commander+Legends+Battle+for+Baldurs+Gate:Foil/Intellect+Devourer#paper, 3 black,1
19,"Prosper, Tome-Bound",price/Adventures+in+the+Forgotten+Realms+Commander:Foil/Prosper+Tome-Bound#paper, 2 black red,1
20,"Ramirez DePietro, Pillager",price/Lost+Caverns+of+Ixalan+Commander/Ramirez+DePietro+Pillager#paper, 2 blue black,1
21,"The Beast, Deathless Prince",price/Doctor+Who/The+Beast+Deathless+Prince#paper, 2 black red,1
22,Sheoldred,price/March+of+the+Machine/Sheoldred#paper, 3 black black,1
23,"Zara, Renegade Recruiter",price/Lost+Caverns+of+Ixalan+Commander/Zara+Renegade+Recruiter#paper, 3 blue red,1
24,"Etali, Primal Storm",price/Ravnica+Murders+at+Karlov+Manor+Commander/Etali+Primal+Storm#paper, 4 red red,1
25,Agent of Treachery,price/Core+Set+2020/Agent+of+Treachery#paper, 5 blue blue,1
26,"Arvinox, the Mind Flail",price/Secret+Lair+Exclusives/Arvinox+the+Mind+Flail#paper, 4 black black black,1
27,Brainstealer Dragon,price/Outlaws+of+Thunder+Junction+Commander/Brainstealer+Dragon#paper, 5 black black,1
28,Thieving Amalgam,price/Outlaws+of+Thunder+Junction+Commander/Thieving+Amalgam#paper, 5 black black,1
29,"Tasha, the Witch Queen",price/Commander+Legends+Battle+for+Baldurs+Gate/Tasha+the+Witch+Queen#paper, 3 blue black,1
30,Inevitable Betrayal,price/Modern+Horizons+2/Inevitable+Betrayal-retro#paper,,1
31,Feed the Swarm,price/Outlaws+of+Thunder+Junction+Commander/Feed+the+Swarm#paper, 1 black,1
32,Mana Drain,price/Breaking+News/Mana+Drain-showcase#paper, blue blue,1
33,Siphon Insight,price/Outlaws+of+Thunder+Junction+Commander/Siphon+Insight#paper, blue black,1
34,You Find Some Prisoners,price/Adventures+in+the+Forgotten+Realms/You+Find+Some+Prisoners#paper, 1 red,1
35,Chaos Warp,price/Outlaws+of+Thunder+Junction+Commander/Chaos+Warp#paper, 2 red,1
36,Jeska's Will,price/Ravnica+Murders+at+Karlov+Manor+Commander/Jeskas+Will#paper, 2 red,1
37,Praetor's Grasp,price/New+Phyrexia/Praetors+Grasp#paper, 1 black black,1
38,Arcane Heist,price/Outlaws+of+Thunder+Junction+Commander/Arcane+Heist#paper, 2 blue blue,1
39,Ensnared by the Mara,price/Doctor+Who/Ensnared+by+the+Mara#paper, 2 red red,1
40,Memory Plunder,price/Commander+Legends+Battle+for+Baldurs+Gate/Memory+Plunder#paper, hyrid blue black hyrid blue black hyrid blue black hyrid blue black,1
41,Bribery,price/Commander+Masters/Bribery-foil+etched#paper, 3 blue blue,1
42,Mob Rule,price/Innistrad+Crimson+Vow+Commander/Mob+Rule#paper, 4 red red,1
43,Heartless Conscription,price/Outlaws+of+Thunder+Junction+Commander/Heartless+Conscription-extended#paper, 6 black black,1
44,Insurrection,price/Commander+Masters/Insurrection-borderless#paper, 5 red red red,1
45,Blasphemous Act,price/The+Brothers+War+Commander/Blasphemous+Act-retro#paper, 8 red,1
46,Expropriate,price/Mystery+Booster/Expropriate#paper, 7 blue blue,1
47,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
48,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
49,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
50,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
51,Talisman of Creativity,price/Commander+Legends+Battle+for+Baldurs+Gate/Talisman+of+Creativity#paper, 2,1
52,Talisman of Dominance,price/Warhammer+40K+Commander+Decks/Talisman+of+Dominance-254#paper, 2,1
53,Talisman of Indulgence,price/Fallout/Talisman+of+Indulgence#paper, 2,1
54,Animate Dead,price/Ravnica+Murders+at+Karlov+Manor+Commander/Animate+Dead#paper, 1 black,1
55,Share the Spoils,price/Adventures+in+the+Forgotten+Realms+Commander/Share+the+Spoils-extended#paper, 1 red,1
56,Cunning Rhetoric,price/Outlaws+of+Thunder+Junction+Commander/Cunning+Rhetoric#paper, 2 black,1
57,Court of Locthwain,price/Wilds+of+Eldraine+Commander:Foil/Court+of+Locthwain-extended#paper, 2 black black,1
58,Death in Heaven,price/Doctor+Who/Death+in+Heaven#paper, 3 black,1
59,Kindred Discovery,price/Commander+Legends+Battle+for+Baldurs+Gate/Kindred+Discovery#paper, 3 blue blue,1
60,Shared Fate,price/Mirrodin/Shared+Fate#paper, 4 blue,1
61,Stolen Strategy,price/Fallout/Stolen+Strategy#paper, 4 red,1
62,Mind's Dilation,price/Outlaws+of+Thunder+Junction+Commander/Minds+Dilation#paper, 5 blue blue,1
63,Arid Mesa,price/Modern+Horizons+2/Arid+Mesa#paper,,1
64,Blood Crypt,price/Return+to+Ravnica/Blood+Crypt#paper,,1
65,Bloodstained Mire,price/Modern+Horizons+3/Bloodstained+Mire#paper,,1
66,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
67,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
68,Field of the Dead,price/Core+Set+2020/Field+of+the+Dead#paper,,1
69,Fiery Islet,price/Doctor+Who/Fiery+Islet#paper,,1
70,Flooded Strand,price/Modern+Horizons+3/Flooded+Strand#paper,,1
71,Haunted Ridge,price/Doctor+Who/Haunted+Ridge#paper,,1
72,Island,price/Theros+Beyond+Death/Island-251#paper,,2
73,Luxury Suite,price/Commander+Legends+Battle+for+Baldurs+Gate/Luxury+Suite#paper,,1
74,Marsh Flats,price/Modern+Horizons+2/Marsh+Flats#paper,,1
75,Misty Rainforest,price/Modern+Horizons+2/Misty+Rainforest#paper,,1
76,Morphic Pool,price/Commander+Legends+Battle+for+Baldurs+Gate/Morphic+Pool#paper,,1
77,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,1
78,Path of Ancestry,price/Lost+Caverns+of+Ixalan+Commander/Path+of+Ancestry#paper,,1
