,card,link,mana,n
0,"Raffine, Scheming Seer",price/Streets+of+New+Capenna/Raffine+Scheming+Seer#paper, white blue black,1
1,Aven Heartstabber,price/Streets+of+New+Capenna/Aven+Heartstabber#paper, blue black,1
2,Brokers Veteran,price/Streets+of+New+Capenna/Brokers+Veteran#paper, 1 blue,1
3,Clarion Spirit,price/Kaldheim/Clarion+Spirit#paper, 1 white,1
4,Dauntless Dismantler,price/Lost+Caverns+of+Ixalan/Dauntless+Dismantler#paper, 1 white,1
5,"Dorothea, Vengeful Victim",price/Innistrad+Crimson+Vow/Dorothea+Vengeful+Victim-showcase#paper, white blue,1
6,Grand Abolisher,price/The+Big+Score/Grand+Abolisher#paper, white white,1
7,Samwise the Stouthearted,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Samwise+the+Stouthearted-showcase#paper, 1 white,1
8,Scheming Fence,price/Streets+of+New+Capenna/Scheming+Fence-showcase#paper, white blue,1
9,"Thalia, Guardian of Thraben",price/Innistrad+Crimson+Vow/Thalia+Guardian+of+Thraben-showcase#paper, 1 white,1
10,The Raven Man,price/Dominaria+United/The+Raven+Man-showcase#paper, 1 black,1
11,Thrummingbird,price/PhyrexiaAll+Will+Be+One/Thrummingbird-showcase#paper, 1 blue,1
12,Undead Butler,price/Innistrad+Crimson+Vow/Undead+Butler#paper, 1 black,1
13,Vampire Interloper,price/Innistrad/Vampire+Interloper#paper, 1 black,1
14,Burnished Hart,price/Commander+Legends+Battle+for+Baldurs+Gate/Burnished+Hart#paper, 3,1
15,"Grazilaxx, Illithid Scholar",price/Commander+Legends+Battle+for+Baldurs+Gate/Grazilaxx+Illithid+Scholar#paper, 1 blue blue,1
16,Ioreth of the Healing House,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Ioreth+of+the+Healing+House#paper, 2 blue,1
17,Nimble Larcenist,price/Streets+of+New+Capenna/Nimble+Larcenist-showcase#paper, white blue black,1
18,Raffine's Silencer,price/Streets+of+New+Capenna/Raffines+Silencer#paper, 2 black,1
19,Skystrike Officer,price/The+Brothers+War/Skystrike+Officer#paper, 2 blue,1
20,"Toluz, Clever Conductor",price/Streets+of+New+Capenna/Toluz+Clever+Conductor-showcase#paper, hyrid white blue blue hyrid blue black,1
21,"Denry Klin, Editor in Chief",price/Streets+of+New+Capenna+Commander/Denry+Klin+Editor+in+Chief#paper, 2 white blue,1
22,Knights of Dol Amroth,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Knights+of+Dol+Amroth#paper, 3 blue,1
23,Liliana's Reaver,price/Commander+2014/Lilianas+Reaver#paper, 2 black black,1
24,"Meneldor, Swift Savior",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Meneldor+Swift+Savior#paper, 3 blue,1
25,Metropolis Angel,price/Streets+of+New+Capenna/Metropolis+Angel#paper, 2 white blue,1
26,Starving Revenant,price/Lost+Caverns+of+Ixalan/Starving+Revenant#paper, 2 black black,1
27,Consuming Aberration,price/Zendikar+Rising+Commander/Consuming+Aberration#paper, 3 blue black,1
28,Hero of the Dunes,price/The+Brothers+War/Hero+of+the+Dunes#paper, 3 white black,1
29,Morkrut Behemoth,price/Innistrad+Midnight+Hunt/Morkrut+Behemoth#paper, 4 black,1
30,Nemesis of Reason,price/Commander+Legends+Battle+for+Baldurs+Gate/Nemesis+of+Reason#paper, 3 blue black,1
31,Patron of the Valiant,price/Commander+Legends/Patron+of+the+Valiant#paper, 3 white white,1
32,Demonlord Belzenlok,price/Commander+Masters/Demonlord+Belzenlok-foil+etched#paper, 4 black black,1
