,card,link,mana,n
0,"Kangee, Sky Warden",price/Starter+Commander/Kangee+Sky+Warden#paper, 3 white blue,1
1,Healer's Hawk,price/Guilds+of+Ravnica/Healers+Hawk#paper, white,1
2,Judge's Familiar,price/Ravnica+Remastered/Judges+Familiar#paper, hyrid white blue,1
3,Siren Stormtamer,price/Lost+Caverns+of+Ixalan+Commander/Siren+Stormtamer#paper, blue,1
4,Cartographer's Hawk,price/Commander+Masters/Cartographers+Hawk#paper, 1 white,1
5,"Esior, Wardwing Familiar",price/Commander+Legends/Esior+Wardwing+Familiar#paper, 1 blue,1
6,Skycat Sovereign,price/Starter+Commander/Skycat+Sovereign#paper, white blue,1
7,Stormscape Familiar,price/Planeshift/Stormscape+Familiar#paper, 1 blue,1
8,Watcher of the Spheres,price/Core+Set+2021/Watcher+of+the+Spheres#paper, white blue,1
9,Aven Mindcensor,price/Commander+Legends+Battle+for+Baldurs+Gate/Aven+Mindcensor#paper, 2 white,1
10,Empyrean Eagle,price/Core+Set+2020/Empyrean+Eagle#paper, 1 white blue,1
11,Jubilant Skybonder,price/Starter+Commander/Jubilant+Skybonder#paper, 1 hyrid white blue hyrid white blue,1
12,Kangee's Lieutenant,price/Starter+Commander/Kangees+Lieutenant#paper, 2 white,1
13,Nimble Obstructionist,price/Commander+2020/Nimble+Obstructionist#paper, 2 blue,1
14,Scouting Hawk,price/Commander+Legends+Battle+for+Baldurs+Gate/Scouting+Hawk#paper, 2 white,1
15,Warden of Evos Isle,price/Starter+Commander/Warden+of+Evos+Isle#paper, 2 blue,1
16,Emeria Angel,price/Starter+Commander/Emeria+Angel#paper, 2 white white,1
17,Roaming Throne,price/Lost+Caverns+of+Ixalan/Roaming+Throne-borderless#paper, 4,1
18,Thunderclap Wyvern,price/Starter+Commander/Thunderclap+Wyvern#paper, 2 white blue,1
19,Tide Skimmer,price/Starter+Commander/Tide+Skimmer#paper, 3 blue,1
20,Windborn Muse,price/Ravnica+Murders+at+Karlov+Manor+Commander/Windborn+Muse#paper, 3 white,1
21,Aerial Extortionist,price/Ravnica+Murders+at+Karlov+Manor+Commander/Aerial+Extortionist#paper, 3 white white,1
22,Aven Gagglemaster,price/Starter+Commander/Aven+Gagglemaster#paper, 3 white white,1
23,Steel-Plume Marshal,price/Starter+Commander/Steel-Plume+Marshal#paper, 3 white white,1
24,Wingmate Roc,price/Commander+2019/Wingmate+Roc#paper, 3 white white,1
25,Archetype of Imagination,price/Born+of+the+Gods/Archetype+of+Imagination#paper, 4 blue blue,1
26,Gwaihir the Windlord,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Gwaihir+the+Windlord#paper, 4 white blue,1
27,"Sephara, Sky's Blade",price/Starter+Commander/Sephara+Skys+Blade#paper, 4 white white white,1
28,Windreader Sphinx,price/Starter+Commander/Windreader+Sphinx#paper, 5 blue blue,1
29,"Mu Yanling, Sky Dancer",price/Core+Set+2020/Mu+Yanling+Sky+Dancer#paper, 1 blue blue,1
30,Serra the Benevolent,price/Secret+Lair/Serra+the+Benevolent-Artist+Series+Rebecca+Guay#paper, 2 white white,1
31,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
32,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
33,Arcane Denial,price/Outlaws+of+Thunder+Junction+Commander/Arcane+Denial#paper, 1 blue,1
34,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
35,Disenchant,price/The+Brothers+War/Disenchant#paper, 1 white,1
36,Dovin's Veto,price/War+of+the+Spark/Dovins+Veto#paper, white blue,1
37,Lofty Denial,price/Core+Set+2021/Lofty+Denial#paper, 1 blue,1
38,Mana Drain,price/Breaking+News/Mana+Drain-showcase#paper, blue blue,1
39,Aerial Assault,price/Core+Set+2020/Aerial+Assault#paper, 2 white,1
40,Generous Gift,price/Wilds+of+Eldraine+Commander/Generous+Gift#paper, 2 white,1
41,Ravenform,price/Lost+Caverns+of+Ixalan+Commander/Ravenform#paper, 2 blue,1
42,Airborne Aid,price/Onslaught/Airborne+Aid#paper, 3 blue,1
43,Battle Screech,price/Commander+Masters/Battle+Screech#paper, 2 white white,1
