,card,link,mana,n
0,Shadrix Silverquill,price/Strixhaven+School+of+Mages/Shadrix+Silverquill-planeswalker+stamp#paper, 3 white black,1
1,Esper Sentinel,price/Modern+Horizons+2/Esper+Sentinel#paper, white,1
2,Clarion Spirit,price/Kaldheim/Clarion+Spirit#paper, 1 white,1
3,"Daxos, Blessed by the Sun",price/Theros+Beyond+Death/Daxos+Blessed+by+the+Sun-showcase#paper, white white,1
4,"Elas il-Kor, Sadistic Pilgrim",price/Dominaria+United/Elas+il-Kor+Sadistic+Pilgrim-showcase#paper, white black,1
5,"Shaile, Dean of Radiance",price/Strixhaven+School+of+Mages/Shaile+Dean+of+Radiance#paper, 1 white,1
6,"Adeline, Resplendent Cathar",price/Innistrad+Midnight+Hunt/Adeline+Resplendent+Cathar-showcase#paper, 1 white white,1
7,"Aron, Benalia's Ruin",price/Dominaria+United/Aron+Benalias+Ruin-showcase#paper, white white black,1
8,Drumbellower,price/Kamigawa+Neon+Dynasty+Commander/Drumbellower-extended#paper, 2 white,1
9,Celebrity Fencer,price/Streets+of+New+Capenna/Celebrity+Fencer#paper, 3 white,1
10,Drana and Linvala,price/March+of+the+Machine/Drana+and+Linvala-showcase#paper, 1 white white black,1
11,"Ellyn Harbreeze, Busybody",price/Commander+Legends+Battle+for+Baldurs+Gate/Ellyn+Harbreeze+Busybody-showcase#paper, 3 white,1
12,"Horobi, Death's Wail",price/Multiverse+Legends/Horobi+Deaths+Wail#paper, 2 black black,1
13,King of the Oathbreakers,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/King+of+the+Oathbreakers#paper, 2 white black,1
14,Mirkwood Bats,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Mirkwood+Bats-borderless#paper, 3 black,1
15,"Mondrak, Glory Dominus",price/PhyrexiaAll+Will+Be+One/Mondrak+Glory+Dominus-showcase#paper, 2 white white,1
16,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
17,"Naomi, Pillar of Order",price/Kamigawa+Neon+Dynasty/Naomi+Pillar+of+Order#paper, 3 white black,1
18,"Sauron, the Necromancer",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Sauron+the+Necromancer#paper, 3 black black,1
19,Hoarding Broodlord,price/March+of+the+Machine/Hoarding+Broodlord#paper, 5 black black black,1
20,Elspeth Resplendent,price/Streets+of+New+Capenna/Elspeth+Resplendent-showcase#paper, 3 white white,1
21,Kaya the Inexorable,price/Kaldheim/Kaya+the+Inexorable-borderless#paper, 3 white black,1
22,The Eternal Wanderer,price/PhyrexiaAll+Will+Be+One/The+Eternal+Wanderer-borderless#paper, 4 white white,1
23,Invasion of New Capenna,price/March+of+the+Machine/Invasion+of+New+Capenna#paper, white black,1
24,Invasion of Belenon,price/March+of+the+Machine/Invasion+of+Belenon#paper, 2 white,1
