,card,link,mana,n
0,Imotekh the Stormlord,price/Warhammer+40K+Commander+Decks:Foil/Imotekh+the+Stormlord#paper, 2 black black,1
1,Disciple of the Vault,price/Mirrodin/Disciple+of+the+Vault#paper, black,1
2,Myr Retriever,price/Mystery+Booster/Myr+Retriever#paper, 2,1
3,Psychomancer,price/Warhammer+40K+Commander+Decks/Psychomancer#paper, 1 black,1
4,Scrapheap Scrounger,price/Kaladesh/Scrapheap+Scrounger#paper, 2,1
5,Triarch Praetorian,price/Warhammer+40K+Commander+Decks/Triarch+Praetorian#paper, 1 black,1
6,Chief of the Foundry,price/The+Brothers+War+Commander/Chief+of+the+Foundry-retro#paper, 3,1
7,Foundry Inspector,price/The+Brothers+War+Retro+Frame+Artifacts/Foundry+Inspector-retro#paper, 3,1
8,Illuminor Szeras,price/Warhammer+40K+Commander+Decks/Illuminor+Szeras#paper, 2 black,1
9,Lychguard,price/Warhammer+40K+Commander+Decks/Lychguard#paper, 2 black,1
10,Sautekh Immortal,price/Warhammer+40K+Commander+Decks/Sautekh+Immortal#paper, 2 black,1
11,Scrap Trawler,price/March+of+the+Machine+Commander/Scrap+Trawler#paper, 3,1
12,Skorpekh Lord,price/Warhammer+40K+Commander+Decks/Skorpekh+Lord#paper, 2 black,1
13,Workshop Assistant,price/Kaladesh/Workshop+Assistant#paper, 3,1
14,Canoptek Scarab Swarm,price/Warhammer+40K+Commander+Decks/Canoptek+Scarab+Swarm#paper, 4,1
15,Canoptek Tomb Sentinel,price/Warhammer+40K+Commander+Decks/Canoptek+Tomb+Sentinel#paper, 4,1
16,Cryptothrall,price/Warhammer+40K+Commander+Decks/Cryptothrall#paper, 4,1
17,Jhoira's Familiar,price/Dominaria/Jhoiras+Familiar#paper, 4,1
18,Necron Overlord,price/Warhammer+40K+Commander+Decks/Necron+Overlord#paper, 2 black black,1
19,Plasmancer,price/Warhammer+40K+Commander+Decks/Plasmancer#paper, 2 black black,1
20,Skorpekh Destroyer,price/Warhammer+40K+Commander+Decks/Skorpekh+Destroyer#paper, 2 black black,1
21,"Szarekh, the Silent King",price/Warhammer+40K+Commander+Decks:Foil/Szarekh+the+Silent+King#paper, 1 black black black,1
22,Anrakyr the Traveller,price/Warhammer+40K+Commander+Decks/Anrakyr+the+Traveller#paper, 4 black,1
23,Royal Warden,price/Warhammer+40K+Commander+Decks/Royal+Warden#paper, 3 black black,1
24,Marionette Master,price/The+Brothers+War+Commander/Marionette+Master-retro#paper, 4 black black,1
25,Technomancer,price/Warhammer+40K+Commander+Decks/Technomancer#paper, 5 black black,1
26,Dark Ritual,price/Fifth+Edition/Dark+Ritual#paper, black,1
27,Darkness,price/Warhammer+40K+Commander+Decks/Darkness#paper, black,1
28,Defile,price/Warhammer+40K+Commander+Decks/Defile#paper, black,1
29,Reanimate,price/Breaking+News/Reanimate-showcase#paper, black,1
30,Unearth,price/Double+Masters+2022/Unearth#paper, black,1
31,Demonic Tutor,price/Mystery+Booster/Demonic+Tutor#paper, 1 black,1
32,Go for the Throat,price/The+Brothers+War/Go+for+the+Throat#paper, 1 black,1
33,Damnation,price/Modern+Masters+2017+Edition/Damnation#paper, 2 black black,1
34,Deadly Rollick,price/Commander+2020/Deadly+Rollick#paper, 3 black,1
35,Dread Return,price/Commander+Masters/Dread+Return-borderless#paper, 2 black black,1
36,Their Number Is Legion,price/Warhammer+40K+Commander+Decks/Their+Number+Is+Legion#paper, x black black black black,1
37,Beacon of Unrest,price/Warhammer+40K+Commander+Decks/Beacon+of+Unrest#paper, 3 black black,1
38,Living Death,price/Warhammer+40K+Commander+Decks/Living+Death#paper, 3 black black,1
39,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
40,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
41,Cranial Plating,price/The+Brothers+War+Commander/Cranial+Plating-retro#paper, 2,1
42,Mind Stone,price/Fallout/Mind+Stone#paper, 2,1
43,Nim Deathmantle,price/Double+Masters+2022/Nim+Deathmantle#paper, 2,1
44,Thought Vessel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Vessel#paper, 2,1
45,Wishclaw Talisman,price/Throne+of+Eldraine/Wishclaw+Talisman#paper, 1 black,1
46,Ashnod's Altar,price/Chronicles/Ashnods+Altar#paper, 3,1
47,Blasting Station,price/Mystery+Booster+Retail+Edition+Foils:Foil/Blasting+Station#paper, 3,1
48,Cloud Key,price/The+Brothers+War+Retro+Frame+Artifacts/Cloud+Key-retro#paper, 3,1
49,Commander's Sphere,price/Lost+Caverns+of+Ixalan+Commander/Commanders+Sphere#paper, 3,1
50,Convergence of Dominion,price/Warhammer+40K+Commander+Decks/Convergence+of+Dominion#paper, 3,1
51,Sculpting Steel,price/March+of+the+Machine+Commander/Sculpting+Steel#paper, 3,1
52,Hedron Archive,price/Jumpstart+2022/Hedron+Archive#paper, 4,1
53,Krark-Clan Ironworks,price/Fifth+Dawn/Krark-Clan+Ironworks#paper, 4,1
54,Mystic Forge,price/Fallout/Mystic+Forge#paper, 4,1
55,Nevinyrral's Disk,price/Commander+Masters/Nevinyrrals+Disk#paper, 4,1
56,Sceptre of Eternal Glory,price/Warhammer+40K+Commander+Decks/Sceptre+of+Eternal+Glory#paper, 4,1
57,Trading Post,price/The+Brothers+War+Commander/Trading+Post-retro#paper, 4,1
58,Unwinding Clock,price/The+Brothers+War+Retro+Frame+Artifacts/Unwinding+Clock-retro#paper, 4,1
59,Mycosynth Lattice,price/The+List/Mycosynth+Lattice#paper, 6,1
60,Darksteel Forge,price/Darksteel/Darksteel+Forge#paper, 9,1
61,Phyrexian Reclamation,price/Commander+2015/Phyrexian+Reclamation#paper, black,1
62,Tortured Existence,price/Stronghold/Tortured+Existence#paper, black,1
63,Agent of the Iron Throne,price/Commander+Legends+Battle+for+Baldurs+Gate/Agent+of+the+Iron+Throne#paper, 2 black,1
64,Grave Pact,price/Commander+Masters/Grave+Pact-borderless#paper, 1 black black black,1
65,Dictate of Erebos,price/Journey+into+Nyx/Dictate+of+Erebos#paper, 3 black black,1
66,Cabal Coffers,price/Modern+Horizons+2/Cabal+Coffers#paper,,1
67,Inventors' Fair,price/Kaladesh/Inventors+Fair#paper,,1
68,Myriad Landscape,price/Doctor+Who/Myriad+Landscape#paper,,1
69,Phyrexian Tower,price/Jumpstart/Phyrexian+Tower#paper,,1
70,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,29
71,Vault of Whispers,price/The+Brothers+War+Commander/Vault+of+Whispers-retro#paper,,1
