,card,link,mana,n
0,"Kokusho, the Evening Star",price/Iconic+Masters/Kokusho+the+Evening+Star#paper, 4 black black,1
1,Carrion Feeder,price/Scourge/Carrion+Feeder#paper, black,1
2,Viscera Seer,price/Commander+Legends/Viscera+Seer#paper, black,1
3,Apprentice Necromancer,price/Commander+2017/Apprentice+Necromancer#paper, 1 black,1
4,Disciple of Griselbrand,price/Innistrad/Disciple+of+Griselbrand#paper, 1 black,1
5,Soldevi Adnate,price/Alliances/Soldevi+Adnate-A#paper, 1 black,1
6,Burnished Hart,price/Commander+Legends+Battle+for+Baldurs+Gate/Burnished+Hart#paper, 3,1
7,Doomed Necromancer,price/Adventures+in+the+Forgotten+Realms+Commander/Doomed+Necromancer#paper, 2 black,1
8,Fleshbag Marauder,price/Ravnica+Clue+Edition/Fleshbag+Marauder#paper, 2 black,1
9,Merciless Executioner,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Merciless+Executioner#paper, 2 black,1
10,Plaguecrafter,price/Ravnica+Remastered/Plaguecrafter#paper, 2 black,1
11,"Yahenni, Undying Partisan",price/Commander+Masters/Yahenni+Undying+Partisan#paper, 2 black,1
12,Disciple of Bolas,price/Commander+2020/Disciple+of+Bolas#paper, 3 black,1
13,Dread Presence,price/Jumpstart+2022/Dread+Presence#paper, 3 black,1
14,"Gonti, Lord of Luxury",price/Outlaws+of+Thunder+Junction+Commander/Gonti+Lord+of+Luxury#paper, 2 black black,1
15,Hell's Caretaker,price/Chronicles/Hells+Caretaker#paper, 3 black,1
16,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
17,Gray Merchant of Asphodel,price/Theros/Gray+Merchant+of+Asphodel#paper, 3 black black,1
18,Shriekmaw,price/Ravnica+Murders+at+Karlov+Manor+Commander/Shriekmaw#paper, 4 black,1
19,Butcher of Malakir,price/Lost+Caverns+of+Ixalan+Commander/Butcher+of+Malakir#paper, 5 black black,1
20,Defiant Bloodlord,price/Commander+2021/Defiant+Bloodlord#paper, 5 black black,1
21,Ob Nixilis Reignited,price/Starter+Commander/Ob+Nixilis+Reignited#paper, 3 black black,1
22,Dark Ritual,price/Fifth+Edition/Dark+Ritual#paper, black,1
23,Defile,price/Warhammer+40K+Commander+Decks/Defile#paper, black,1
24,Malakir Rebirth,price/Zendikar+Rising/Malakir+Rebirth#paper, black,1
25,Supernatural Stamina,price/Commander+Masters/Supernatural+Stamina#paper, black,1
26,Tragic Slip,price/Jumpstart+2022/Tragic+Slip-478#paper, black,1
27,Undying Evil,price/Dark+Ascension/Undying+Evil#paper, black,1
28,Village Rites,price/Jumpstart+2022/Village+Rites#paper, black,1
29,Abnormal Endurance,price/Core+Set+2019/Abnormal+Endurance#paper, 1 black,1
30,Feed the Swarm,price/Outlaws+of+Thunder+Junction+Commander/Feed+the+Swarm#paper, 1 black,1
31,Footsteps of the Goryo,price/Saviors+of+Kamigawa/Footsteps+of+the+Goryo#paper, 2 black,1
32,Grim Return,price/Magic+2014+Core+Set/Grim+Return#paper, 2 black,1
33,Victimize,price/March+of+the+Machine+Commander/Victimize#paper, 2 black,1
34,Blood for Bones,price/Core+Set+2020/Blood+for+Bones#paper, 3 black,1
35,Diabolic Tutor,price/Tenth+Edition/Diabolic+Tutor#paper, 2 black black,1
36,Dread Return,price/Commander+Masters/Dread+Return-borderless#paper, 2 black black,1
37,Makeshift Mannequin,price/Lorwyn/Makeshift+Mannequin#paper, 3 black,1
38,Mutilate,price/Warhammer+40K+Commander+Decks/Mutilate#paper, 2 black black,1
39,Zombify,price/Masters+25/Zombify#paper, 3 black,1
40,Beacon of Unrest,price/Warhammer+40K+Commander+Decks/Beacon+of+Unrest#paper, 3 black black,1
41,Crux of Fate,price/Fate+Reforged/Crux+of+Fate#paper, 3 black black,1
42,Rescue from the Underworld,price/Theros/Rescue+from+the+Underworld#paper, 4 black,1
43,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
44,Armillary Sphere,price/Commander+Legends/Armillary+Sphere#paper, 2,1
45,Charcoal Diamond,price/Commander+Legends+Battle+for+Baldurs+Gate/Charcoal+Diamond-showcase#paper, 2,1
46,Culling Dais,price/Double+Masters/Culling+Dais#paper, 2,1
47,Mind Stone,price/Fallout/Mind+Stone#paper, 2,1
48,Netherborn Altar,price/Commander+2020/Netherborn+Altar#paper, 1 black,1
49,Prismatic Lens,price/Outlaws+of+Thunder+Junction+Commander/Prismatic+Lens#paper, 2,1
50,Strionic Resonator,price/The+Brothers+War+Commander/Strionic+Resonator-retro#paper, 2,1
51,Ashnod's Altar,price/Chronicles/Ashnods+Altar#paper, 3,1
52,Commander's Sphere,price/Lost+Caverns+of+Ixalan+Commander/Commanders+Sphere#paper, 3,1
53,Darksteel Ingot,price/Outlaws+of+Thunder+Junction+Commander/Darksteel+Ingot#paper, 3,1
54,Heraldic Banner,price/Throne+of+Eldraine/Heraldic+Banner#paper, 3,1
55,Lashwrithe,price/Commander+2014/Lashwrithe#paper, 4,1
56,Kaya's Ghostform,price/War+of+the+Spark/Kayas+Ghostform#paper, black,1
57,Animate Dead,price/Ravnica+Murders+at+Karlov+Manor+Commander/Animate+Dead#paper, 1 black,1
58,Minion's Return,price/Theros+Beyond+Death/Minions+Return#paper, 2 black,1
