,card,link,mana,n
0,Rose Tyler,price/Doctor+Who:Foil/Rose+Tyler#paper, 1 white,1
1,The Tenth Doctor,price/Doctor+Who:Foil-Etched/The+Tenth+Doctor-foil+etched#paper, 3 blue red,1
2,Rift Elemental,price/Time+Spiral+Remastered/Rift+Elemental#paper, red,1
3,Flesh Duplicate,price/Doctor+Who/Flesh+Duplicate#paper, blue blue,1
4,Jhoira's Timebug,price/Time+Spiral+Remastered/Jhoiras+Timebug#paper, 2,1
5,Time Beetle,price/Doctor+Who/Time+Beetle#paper, 1 blue,1
6,Jhoira of the Ghitu,price/Time+Spiral+Remastered/Jhoira+of+the+Ghitu#paper, 1 blue red,1
7,The Eleventh Doctor,price/Doctor+Who/The+Eleventh+Doctor#paper, 1 white blue,1
8,"Vega, the Watcher",price/Kaldheim/Vega+the+Watcher-showcase#paper, 1 white blue,1
9,Shivan Sand-Mage,price/Time+Spiral+Remastered/Shivan+Sand-Mage#paper, 2 red red,1
10,Wild-Magic Sorcerer,price/Commander+Legends+Battle+for+Baldurs+Gate/Wild-Magic+Sorcerer#paper, 3 red,1
11,Aeon Chronicler,price/Time+Spiral+Remastered/Aeon+Chronicler#paper, 3 blue blue,1
12,Plargg and Nassari,price/March+of+the+Machine+The+Aftermath:Foil/Plargg+and+Nassari#paper, 3 red red,1
13,Dinosaurs on a Spaceship,price/Doctor+Who/Dinosaurs+on+a+Spaceship#paper, 4 red white,1
14,"Etali, Primal Storm",price/Ravnica+Murders+at+Karlov+Manor+Commander/Etali+Primal+Storm#paper, 4 red red,1
15,Keeper of Secrets,price/Warhammer+40K+Commander+Decks/Keeper+of+Secrets#paper, 5 red,1
16,Watcher of Hours,price/Ravnica+Murders+at+Karlov+Manor+Commander/Watcher+of+Hours#paper, 5 blue,1
17,Flaming Tyrannosaurus,price/Doctor+Who/Flaming+Tyrannosaurus#paper, 5 red red,1
18,Judoon Enforcers,price/Doctor+Who/Judoon+Enforcers#paper, 5 red white,1
19,Sphinx of the Second Sun,price/Ravnica+Murders+at+Karlov+Manor+Commander/Sphinx+of+the+Second+Sun#paper, 6 blue blue,1
20,Star Whale,price/Doctor+Who/Star+Whale#paper, 6 blue blue,1
21,Quintorius Kand,price/Lost+Caverns+of+Ixalan/Quintorius+Kand#paper, 3 red white,1
22,Ancestral Vision,price/Duel+Decks+Jace+vs+Chandra/Ancestral+Vision#paper,,1
23,Inevitable Betrayal,price/Modern+Horizons+2/Inevitable+Betrayal-retro#paper,,1
24,Clockspinning,price/Doctor+Who/Clockspinning#paper, blue,1
25,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
26,Timecrafting,price/Planar+Chaos/Timecrafting#paper, x red,1
27,Everybody Lives!,price/Doctor+Who/Everybody+Lives#paper, 1 white,1
28,Fury Charm,price/Mystery+Booster/Fury+Charm#paper, 1 red,1
29,"Wibbly-wobbly, Timey-wimey",price/Doctor+Who/Wibbly-wobbly+Timey-wimey#paper, 1 blue,1
30,Reverse the Polarity,price/Doctor+Who/Reverse+the+Polarity#paper, 1 blue blue,1
31,The Wedding of River Song,price/Doctor+Who/The+Wedding+of+River+Song#paper, 2 white,1
32,Nanogene Conversion,price/Doctor+Who/Nanogene+Conversion#paper, 3 blue,1
33,Rousing Refrain,price/Outlaws+of+Thunder+Junction+Commander/Rousing+Refrain#paper, 3 red red,1
34,Chronomantic Escape,price/Future+Sight/Chronomantic+Escape#paper, 4 white white,1
35,Farewell,price/Ravnica+Murders+at+Karlov+Manor+Commander/Farewell#paper, 4 white white,1
36,Inspiring Refrain,price/Doctor+Who/Inspiring+Refrain#paper, 4 blue blue,1
37,Hit the Mother Lode,price/Lost+Caverns+of+Ixalan:Foil/Hit+the+Mother+Lode-bundle#paper, 4 red red red,1
38,Everything Comes to Dust,price/Doctor+Who/Everything+Comes+to+Dust-extended#paper, 7 white white white,1
39,Time Stretch,price/Dominaria+Remastered/Time+Stretch-retro#paper, 8 blue blue,1
