,card,link,mana,n
0,General Tazri,price/Oath+of+the+Gatewatch/General+Tazri#paper, 4 white,1
1,Hada Freeblade,price/Worldwake/Hada+Freeblade#paper, white,1
2,Beastcaller Savant,price/Battle+for+Zendikar/Beastcaller+Savant#paper, 1 green,1
3,Halimar Excavator,price/Worldwake/Halimar+Excavator#paper, 1 blue,1
4,Harabaz Druid,price/Worldwake/Harabaz+Druid#paper, 1 green,1
5,Jwari Shapeshifter,price/Worldwake/Jwari+Shapeshifter#paper, 1 blue,1
6,Kalastria Healer,price/Battle+for+Zendikar/Kalastria+Healer#paper, 1 black,1
7,Kazandu Blademaster,price/The+List/Kazandu+Blademaster#paper, white white,1
8,Kor Bladewhirl,price/Battle+for+Zendikar/Kor+Bladewhirl#paper, 1 white,1
9,Ondu Cleric,price/Zendikar/Ondu+Cleric#paper, 1 white,1
10,Agadeem Occultist,price/Worldwake/Agadeem+Occultist#paper, 2 black,1
11,"Drana, Liberator of Malakir",price/Dominaria+United+Commander/Drana+Liberator+of+Malakir#paper, 1 black black,1
12,Firemantle Mage,price/Battle+for+Zendikar/Firemantle+Mage#paper, 2 red,1
13,Kabira Evangel,price/Zendikar/Kabira+Evangel#paper, 2 white,1
14,Lantern Scout,price/Battle+for+Zendikar/Lantern+Scout#paper, 2 white,1
15,Makindi Patrol,price/Battle+for+Zendikar/Makindi+Patrol#paper, 2 white,1
16,Realmwalker,price/Kaldheim/Realmwalker#paper, 2 green,1
17,Bala Ged Thief,price/Zendikar/Bala+Ged+Thief#paper, 3 black,1
18,Chasm Guide,price/Battle+for+Zendikar/Chasm+Guide#paper, 3 red,1
19,"Mina and Denn, Wildborn",price/Zendikar+Rising+Commander/Mina+and+Denn+Wildborn#paper, 2 red green,1
20,"Munda, Ambush Leader",price/Battle+for+Zendikar/Munda+Ambush+Leader#paper, 2 red white,1
21,Ondu Champion,price/Battle+for+Zendikar/Ondu+Champion#paper, 2 red red,1
22,Roaming Throne,price/Lost+Caverns+of+Ixalan/Roaming+Throne-borderless#paper, 4,1
23,Talus Paladin,price/Worldwake/Talus+Paladin#paper, 3 white,1
24,Tuktuk Scrapper,price/Worldwake/Tuktuk+Scrapper#paper, 3 red,1
25,Hagra Diabolist,price/Zendikar/Hagra+Diabolist#paper, 4 black,1
26,Hero of Goma Fada,price/Battle+for+Zendikar/Hero+of+Goma+Fada#paper, 4 white,1
27,Kazuul Warlord,price/Zendikar/Kazuul+Warlord#paper, 4 red,1
28,Resolute Blademaster,price/Battle+for+Zendikar/Resolute+Blademaster#paper, 3 red white,1
29,Sea Gate Loremaster,price/Zendikar/Sea+Gate+Loremaster#paper, 4 blue,1
30,Seascape Aerialist,price/Zendikar/Seascape+Aerialist#paper, 4 blue,1
31,Tajuru Warcaller,price/Battle+for+Zendikar/Tajuru+Warcaller#paper, 3 green green,1
32,Turntimber Ranger,price/Zendikar/Turntimber+Ranger#paper, 3 green green,1
33,Murasa Pyromancer,price/Zendikar/Murasa+Pyromancer#paper, 4 red red,1
34,"Gideon, Ally of Zendikar",price/Battle+for+Zendikar/Gideon+Ally+of+Zendikar#paper, 2 white white,1
35,Cloudshift,price/Avacyn+Restored/Cloudshift#paper, white,1
36,Ephemerate,price/Modern+Horizons/Ephemerate#paper, white,1
37,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
38,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
39,Farseek,price/Ravnica+Remastered/Farseek#paper, 1 green,1
40,Momentary Blink,price/Dominaria+Remastered/Momentary+Blink-retro#paper, 1 white,1
41,Rampant Growth,price/Outlaws+of+Thunder+Junction+Commander/Rampant+Growth#paper, 1 green,1
42,Another Round,price/Outlaws+of+Thunder+Junction/Another+Round#paper, x x 2 white,1
43,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
44,Eerie Interlude,price/Duel+Decks+Blessed+vs+Cursed/Eerie+Interlude#paper, 2 white,1
45,Kodama's Reach,price/Commander+Masters/Kodamas+Reach-borderless#paper, 2 green,1
46,Distant Melody,price/Lost+Caverns+of+Ixalan+Commander/Distant+Melody#paper, 3 blue,1
47,Join the Ranks,price/Worldwake/Join+the+Ranks#paper, 3 white,1
48,Lae'zel's Acrobatics,price/Commander+Legends+Battle+for+Baldurs+Gate/Laezels+Acrobatics#paper, 3 white,1
49,Semester's End,price/Commander+Masters/Semesters+End#paper, 3 white,1
50,Unified Front,price/Battle+for+Zendikar/Unified+Front#paper, 3 white,1
51,March from the Tomb,price/Battle+for+Zendikar/March+from+the+Tomb#paper, 3 white black,1
52,Kindred Summons,price/Adventures+in+the+Forgotten+Realms+Commander/Kindred+Summons#paper, 5 green green,1
53,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
54,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
55,Captain's Claws,price/Oath+of+the+Gatewatch/Captains+Claws#paper, 2,1
56,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
57,Chromatic Lantern,price/Outlaws+of+Thunder+Junction+Commander/Chromatic+Lantern#paper, 3,1
58,Herald's Horn,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Heralds+Horn#paper, 3,1
59,Maskwood Nexus,price/Commander+Legends+Battle+for+Baldurs+Gate/Maskwood+Nexus#paper, 4,1
60,Panharmonicon,price/Fallout/Panharmonicon#paper, 4,1
61,Leyline of the Guildpact,price/Ravnica+Murders+at+Karlov+Manor/Leyline+of+the+Guildpact#paper, hyrid green white hyrid green blue hyrid black green hyrid red green,1
62,Retreat to Emeria,price/Battle+for+Zendikar/Retreat+to+Emeria#paper, 3 white,1
63,Nahiri's Resolve,price/March+of+the+Machine+The+Aftermath:Foil/Nahiris+Resolve#paper, 3 red white,1
64,Reflections of Littjara,price/Kaldheim:Foil/Reflections+of+Littjara-bundle#paper, 4 blue,1
65,Virtue of Knowledge,price/Wilds+of+Eldraine/Virtue+of+Knowledge-showcase#paper, 4 blue,1
66,Ally Encampment,price/Battle+for+Zendikar/Ally+Encampment#paper,,1
67,Arcane Sanctum,price/Dominaria+United+Commander/Arcane+Sanctum#paper,,1
68,Breeding Pool,price/Ravnica+Allegiance/Breeding+Pool#paper,,1
69,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
70,Evolving Wilds,price/Jumpstart+2022/Evolving+Wilds#paper,,1
71,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
72,Forest,price/Theros+Beyond+Death/Forest-254#paper,,2
73,Frontier Bivouac,price/Doctor+Who/Frontier+Bivouac#paper,,1
74,Hallowed Fountain,price/Ravnica+Allegiance/Hallowed+Fountain#paper,,1
75,Island,price/Theros+Beyond+Death/Island-251#paper,,1
76,Jetmir's Garden,price/Streets+of+New+Capenna/Jetmirs+Garden-showcase#paper,,1
77,Jungle Shrine,price/Outlaws+of+Thunder+Junction+Commander/Jungle+Shrine#paper,,1
78,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,1
79,Mystic Monastery,price/March+of+the+Machine+Commander/Mystic+Monastery#paper,,1
80,Nomad Outpost,price/Outlaws+of+Thunder+Junction+Commander/Nomad+Outpost#paper,,1
81,Opulent Palace,price/Outlaws+of+Thunder+Junction+Commander/Opulent+Palace#paper,,1
82,Overgrown Tomb,price/Guilds+of+Ravnica/Overgrown+Tomb#paper,,1
83,Path of Ancestry,price/Lost+Caverns+of+Ixalan+Commander/Path+of+Ancestry#paper,,1
84,Plains,price/Theros+Beyond+Death/Plains-250#paper,,3
85,Sandsteppe Citadel,price/Commander+Masters/Sandsteppe+Citadel#paper,,1
86,Savage Lands,price/Dominaria+United+Commander/Savage+Lands#paper,,1
87,Seaside Citadel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Seaside+Citadel#paper,,1
88,Secluded Courtyard,price/Lost+Caverns+of+Ixalan+Commander/Secluded+Courtyard#paper,,1
89,Spara's Headquarters,price/Streets+of+New+Capenna/Sparas+Headquarters-showcase#paper,,1
90,Stomping Ground,price/Gatecrash/Stomping+Ground#paper,,1
91,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,1
92,Tarnation Vista,price/The+Big+Score/Tarnation+Vista#paper,,1
93,Temple Garden,price/Return+to+Ravnica/Temple+Garden#paper,,1
94,Terramorphic Expanse,price/Outlaws+of+Thunder+Junction+Commander/Terramorphic+Expanse#paper,,1
95,The World Tree,price/The+List/The+World+Tree#paper,,1
96,Unclaimed Territory,price/Lost+Caverns+of+Ixalan+Commander/Unclaimed+Territory#paper,,1
