,card,link,mana,n
0,Jasmine Boreal of the Seven,price/Dominaria+United+Commander/Jasmine+Boreal+of+the+Seven-box+topper#paper, 1 green white,1
1,Cheeky House-Mouse,price/Wilds+of+Eldraine/Cheeky+House-Mouse#paper, white,1
2,"Isamaru, Hound of Konda",price/Jumpstart+2022/Isamaru+Hound+of+Konda#paper, white,1
3,Savannah Lions,price/Dominaria+Remastered/Savannah+Lions-retro#paper, white,1
4,Blade of the Sixth Pride,price/Time+Spiral+Remastered/Blade+of+the+Sixth+Pride#paper, 1 white,1
5,Devilthorn Fox,price/Mystery+Booster/Devilthorn+Fox#paper, 1 white,1
6,Dromoka Warrior,price/Dragons+of+Tarkir/Dromoka+Warrior#paper, 1 white,1
7,Kalonian Tusker,price/Magic+2014+Core+Set/Kalonian+Tusker#paper, green green,1
8,Knight of New Benalia,price/Dominaria/Knight+of+New+Benalia#paper, 1 white,1
9,Oreskos Swiftclaw,price/Journey+into+Nyx/Oreskos+Swiftclaw#paper, 1 white,1
10,Prowling Caracal,price/Ravnica+Allegiance/Prowling+Caracal#paper, 1 white,1
11,Raptor Companion,price/Ixalan/Raptor+Companion#paper, 1 white,1
12,Savai Sabertooth,price/Ikoria+Lair+of+Behemoths/Savai+Sabertooth#paper, 1 white,1
13,Shepherd of the Flock,price/Throne+of+Eldraine/Shepherd+of+the+Flock-showcase#paper, 1 white,1
14,Swordwise Centaur,price/Born+of+the+Gods/Swordwise+Centaur#paper, green green,1
15,Terrain Elemental,price/Mystery+Booster/Terrain+Elemental#paper, 1 green,1
16,Watchwolf,price/Guilds+of+Ravnica+Guild+Kits/Watchwolf#paper, green white,1
17,Alpine Grizzly,price/Khans+of+Tarkir/Alpine+Grizzly#paper, 2 green,1
18,King Darien XLVIII,price/Dominaria+United:Foil/King+Darien+XLVIII-showcase#paper, 1 green white,1
19,"Kutzil, Malamet Exemplar",price/Lost+Caverns+of+Ixalan/Kutzil+Malamet+Exemplar-showcase#paper, 1 green white,1
20,Leatherback Baloth,price/Worldwake/Leatherback+Baloth#paper, green green green,1
21,Orazca Frillback,price/Jumpstart/Orazca+Frillback#paper, 2 green,1
22,Beast Whisperer,price/Ravnica+Murders+at+Karlov+Manor+Commander/Beast+Whisperer#paper, 2 green green,1
23,"Ruxa, Patient Professor",price/Commander+2021/Ruxa+Patient+Professor#paper, 2 green green,1
24,Garruk's Gorehorn,price/Core+Set+2021/Garruks+Gorehorn#paper, 4 green,1
25,Gigantosaurus,price/Core+Set+2019/Gigantosaurus#paper, green green green green green,1
26,"Maja, Bretagard Protector",price/Kaldheim/Maja+Bretagard+Protector-showcase#paper, 2 green white white,1
27,Primordial Wurm,price/War+of+the+Spark/Primordial+Wurm#paper, 4 green green,1
28,Rampaging Baloths,price/Zendikar+Rising+Commander/Rampaging+Baloths#paper, 4 green green,1
29,Tolsimir Wolfblood,price/Ravnica+Remastered/Tolsimir+Wolfblood-retro#paper, 4 green white,1
30,Vorstclaw,price/Core+Set+2020/Vorstclaw#paper, 4 green green,1
31,Ancient Brontodon,price/Ixalan/Ancient+Brontodon#paper, 6 green green,1
32,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
33,Scale Up,price/Modern+Horizons/Scale+Up#paper, green,1
34,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
35,Aura Mutation,price/Starter+Commander/Aura+Mutation#paper, green white,1
36,Bovine Intervention,price/Outlaws+of+Thunder+Junction/Bovine+Intervention#paper, 1 white,1
37,Dance of the Tumbleweeds,price/Outlaws+of+Thunder+Junction/Dance+of+the+Tumbleweeds#paper, 1 green,1
38,Martial Coup,price/Fallout/Martial+Coup#paper, x white white,1
39,Rampant Growth,price/Outlaws+of+Thunder+Junction+Commander/Rampant+Growth#paper, 1 green,1
40,Beast Within,price/Duel+Decks+Heroes+vs+Monsters/Beast+Within#paper, 2 green,1
41,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
42,Hunter's Insight,price/Starter+Commander/Hunters+Insight#paper, 2 green,1
43,Kodama's Reach,price/Commander+Masters/Kodamas+Reach-borderless#paper, 2 green,1
44,Your Temple Is Under Attack,price/Commander+Legends+Battle+for+Baldurs+Gate/Your+Temple+Is+Under+Attack#paper, 2 white,1
45,Return of the Wildspeaker,price/Outlaws+of+Thunder+Junction+Commander/Return+of+the+Wildspeaker#paper, 4 green,1
