,card,link,mana,n
0,"Orvar, the All-Form",price/Kaldheim/Orvar+the+All-Form-showcase#paper, 3 blue,1
1,Overwhelmed Apprentice,price/Jumpstart+2022/Overwhelmed+Apprentice#paper, blue,1
2,Ruin Crab,price/Zendikar+Rising/Ruin+Crab-showcase#paper, blue,1
3,Cloud of Faeries,price/Dominaria+Remastered/Cloud+of+Faeries#paper, 1 blue,1
4,Bruvac the Grandiloquent,price/Ravnica+Remastered/Bruvac+the+Grandiloquent-borderless+Anime#paper, 2 blue,1
5,Flux Channeler,price/War+of+the+Spark/Flux+Channeler#paper, 2 blue,1
6,Laboratory Maniac,price/Mystery+Booster/Laboratory+Maniac#paper, 2 blue,1
7,Naiad of Hidden Coves,price/Theros+Beyond+Death/Naiad+of+Hidden+Coves#paper, 2 blue,1
8,Portal Mage,price/Commander+Masters/Portal+Mage#paper, 2 blue,1
9,Tenacious Tomeseeker,price/Wilds+of+Eldraine/Tenacious+Tomeseeker#paper, 2 blue,1
10,Archaeomancer,price/Duel+Decks+Jace+vs+Vraska/Archaeomancer#paper, 2 blue blue,1
11,Archmage Emeritus,price/Outlaws+of+Thunder+Junction+Commander/Archmage+Emeritus#paper, 2 blue blue,1
12,"Gandalf, Friend of the Shire",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Gandalf+Friend+of+the+Shire-showcase#paper, 3 blue,1
13,Fleet Swallower,price/Ixalan/Fleet+Swallower#paper, 5 blue blue,1
14,Hullbreaker Horror,price/Wilds+of+Eldraine+Commander/Hullbreaker+Horror#paper, 5 blue blue,1
15,Terisian Mindbreaker,price/The+Brothers+War/Terisian+Mindbreaker#paper, 7,1
16,Blue Elemental Blast,price/Mystery+Booster/Blue+Elemental+Blast#paper, blue,1
17,Dispel,price/Battle+for+Zendikar/Dispel#paper, blue,1
18,High Tide,price/Dominaria+Remastered/High+Tide-retro#paper, blue,1
19,Hydroblast,price/Fifth+Edition/Hydroblast#paper, blue,1
20,Minor Misstep,price/PhyrexiaAll+Will+Be+One/Minor+Misstep#paper, blue,1
21,Miscast,price/Core+Set+2021/Miscast#paper, blue,1
22,Pongify,price/Outlaws+of+Thunder+Junction+Commander/Pongify#paper, blue,1
23,Spell Pierce,price/Double+Masters+2022/Spell+Pierce#paper, blue,1
24,Thought Scour,price/Double+Masters+2022/Thought+Scour#paper, blue,1
25,Tome Scour,price/Magic+2010/Tome+Scour#paper, blue,1
26,Twiddle,price/Fourth+Edition/Twiddle#paper, blue,1
27,Blue Sun's Twilight,price/PhyrexiaAll+Will+Be+One/Blue+Suns+Twilight-extended#paper, x blue blue,1
28,Change the Equation,price/March+of+the+Machine/Change+the+Equation#paper, 1 blue,1
29,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
30,Curate,price/The+Brothers+War/Curate#paper, 1 blue,1
31,Depart the Realm,price/Kaldheim/Depart+the+Realm#paper, 1 blue,1
32,Experimental Augury,price/PhyrexiaAll+Will+Be+One/Experimental+Augury#paper, 1 blue,1
33,Hidden Strings,price/Dragons+Maze/Hidden+Strings#paper, 1 blue,1
34,Impulse,price/Dominaria+Remastered/Impulse#paper, 1 blue,1
35,Keep Safe,price/Ikoria+Lair+of+Behemoths/Keep+Safe#paper, 1 blue,1
36,Mind Sculpt,price/Magic+2013/Mind+Sculpt#paper, 1 blue,1
37,Mystic Reflection,price/Kaldheim/Mystic+Reflection-planeswalker+stamp#paper, 1 blue,1
