,card,link,mana,n
0,"Caesar, Legion's Emperor",price/Fallout:Foil/Caesar+Legions+Emperor-foil+etched#paper, 1 red white black,1
1,Bloodsoaked Champion,price/Commander+Legends+Battle+for+Baldurs+Gate/Bloodsoaked+Champion#paper, black,1
2,Gutterbones,price/Ravnica+Allegiance/Gutterbones#paper, black,1
3,Coppercoat Vanguard,price/March+of+the+Machine+The+Aftermath/Coppercoat+Vanguard-showcase#paper, 1 white,1
4,General's Enforcer,price/Fallout/Generals+Enforcer#paper, white black,1
5,"Jirina, Dauntless General",price/March+of+the+Machine+The+Aftermath/Jirina+Dauntless+General#paper, white black,1
6,"MacCready, Lamplight Mayor",price/Fallout/MacCready+Lamplight+Mayor#paper, white black,1
7,Securitron Squadron,price/Fallout/Securitron+Squadron#paper, 1 white,1
8,Colonel Autumn,price/Fallout/Colonel+Autumn#paper, 1 white black,1
9,Commissar Severina Raine,price/Warhammer+40K+Commander+Decks/Commissar+Severina+Raine#paper, 1 white black,1
10,Elder Arthur Maxson,price/Fallout/Elder+Arthur+Maxson#paper, 1 white black,1
11,General Kudro of Drannith,price/Ikoria+Lair+of+Behemoths:Foil/General+Kudro+of+Drannith#paper, 1 white black,1
12,"Isshin, Two Heavens as One",price/Kamigawa+Neon+Dynasty/Isshin+Two+Heavens+as+One#paper, red white black,1
13,Overseer of Vault 76,price/Fallout/Overseer+of+Vault+76#paper, 2 white,1
14,Paladin Elizabeth Taggerdy,price/Fallout/Paladin+Elizabeth+Taggerdy#paper, 1 red white,1
15,Rosie Cotton of South Lane,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Rosie+Cotton+of+South+Lane-borderless#paper, 2 white,1
16,Apothecary White,price/Ravnica+Clue+Edition/Apothecary+White#paper, 3 white,1
17,"Desdemona, Freedom's Edge",price/Fallout/Desdemona+Freedoms+Edge#paper, 2 red white,1
18,Keeper of the Accord,price/Fallout/Keeper+of+the+Accord#paper, 3 white,1
19,"Legate Lanius, Caesar's Ace",price/Fallout/Legate+Lanius+Caesars+Ace#paper, 2 black red,1
20,Mirkwood Bats,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Mirkwood+Bats-borderless#paper, 3 black,1
21,Pitiless Plunderer,price/Lost+Caverns+of+Ixalan+Commander/Pitiless+Plunderer#paper, 3 black,1
22,Roaming Throne,price/Lost+Caverns+of+Ixalan/Roaming+Throne-borderless#paper, 4,1
