,card,link,mana,n
0,"Atraxa, Praetors' Voice",price/Multiverse+Legends/Atraxa+Praetors+Voice#paper, green white blue black,1
1,"Skrelv, Defector Mite",price/PhyrexiaAll+Will+Be+One/Skrelv+Defector+Mite-showcase#paper, white,1
2,Venerated Rotpriest,price/PhyrexiaAll+Will+Be+One/Venerated+Rotpriest#paper, green,1
3,Blighted Agent,price/New+Phyrexia/Blighted+Agent#paper, 1 blue,1
4,Cankerbloom,price/PhyrexiaAll+Will+Be+One/Cankerbloom-showcase#paper, 1 green,1
5,Plague Stinger,price/Phyrexia+All+Will+Be+One+Commander/Plague+Stinger#paper, 1 black,1
6,Thrummingbird,price/PhyrexiaAll+Will+Be+One/Thrummingbird-showcase#paper, 1 blue,1
7,Bloated Contaminator,price/PhyrexiaAll+Will+Be+One/Bloated+Contaminator#paper, 2 green,1
8,Evolution Sage,price/Phyrexia+All+Will+Be+One+Commander/Evolution+Sage#paper, 2 green,1
9,Ichor Rats,price/Scars+of+Mirrodin/Ichor+Rats#paper, 1 black black,1
10,"Brimaz, Blight of Oreskos",price/March+of+the+Machine+Commander:Foil/Brimaz+Blight+of+Oreskos#paper, 2 white black,1
11,"Ezuri, Stalker of Spheres",price/PhyrexiaAll+Will+Be+One/Ezuri+Stalker+of+Spheres-showcase#paper, 2 green blue,1
12,Fathom Mage,price/Streets+of+New+Capenna+Commander/Fathom+Mage#paper, 2 green blue,1
13,Hand of the Praetors,price/Scars+of+Mirrodin/Hand+of+the+Praetors#paper, 3 black,1
14,"Ixhel, Scion of Atraxa",price/Phyrexia+All+Will+Be+One+Commander:Foil/Ixhel+Scion+of+Atraxa#paper, 1 white black green,1
15,"Tekuthal, Inquiry Dominus",price/PhyrexiaAll+Will+Be+One/Tekuthal+Inquiry+Dominus-showcase#paper, 2 blue blue,1
16,Contaminant Grafter,price/Phyrexia+All+Will+Be+One+Commander/Contaminant+Grafter#paper, 4 green,1
17,"Skithiryx, the Blight Dragon",price/Multiverse+Legends/Skithiryx+the+Blight+Dragon#paper, 3 black black,1
18,Glissa's Retriever,price/Phyrexia+All+Will+Be+One+Commander/Glissas+Retriever#paper, 5 green,1
19,Phyrexian Swarmlord,price/Phyrexia+All+Will+Be+One+Commander/Phyrexian+Swarmlord#paper, 4 green green,1
20,"Vorinclex, Monstrous Raider",price/Kaldheim:Foil/Vorinclex+Monstrous+Raider-planeswalker+stamp#paper, 4 green green,1
21,"Elesh Norn, Grand Cenobite",price/Multiverse+Legends/Elesh+Norn+Grand+Cenobite#paper, 5 white white,1
22,Tyrranax Rex,price/PhyrexiaAll+Will+Be+One/Tyrranax+Rex-showcase#paper, 4 green green green,1
23,"Ajani, Sleeper Agent",price/Dominaria+United/Ajani+Sleeper+Agent-borderless#paper, 1 green phyrexian hybrid green blue white,1
24,"Vraska, Betrayal's Sting",price/PhyrexiaAll+Will+Be+One/Vraska+Betrayals+Sting#paper, 4 black hyrid black ,1
25,Noxious Revival,price/Phyrexia+All+Will+Be+One+Commander/Noxious+Revival#paper, hyrid green ,1
26,Contentious Plan,price/War+of+the+Spark/Contentious+Plan#paper, 1 blue,1
27,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
28,Experimental Augury,price/PhyrexiaAll+Will+Be+One/Experimental+Augury#paper, 1 blue,1
29,Infectious Bite,price/PhyrexiaAll+Will+Be+One/Infectious+Bite#paper, 1 green,1
30,Prologue to Phyresis,price/PhyrexiaAll+Will+Be+One/Prologue+to+Phyresis#paper, 1 blue,1
31,Unnatural Restoration,price/PhyrexiaAll+Will+Be+One/Unnatural+Restoration#paper, 1 green,1
32,White Sun's Twilight,price/PhyrexiaAll+Will+Be+One/White+Suns+Twilight-extended#paper, x white white,1
33,Infectious Inquiry,price/PhyrexiaAll+Will+Be+One/Infectious+Inquiry#paper, 2 black,1
34,Phyresis Outbreak,price/Phyrexia+All+Will+Be+One+Commander/Phyresis+Outbreak#paper, 2 black,1
35,Vraska's Fall,price/PhyrexiaAll+Will+Be+One/Vraskas+Fall#paper, 2 black,1
36,Atomize,price/Fallout/Atomize#paper, 2 black green,1
37,Diabolic Tutor,price/Tenth+Edition/Diabolic+Tutor#paper, 2 black black,1
38,Radstorm,price/Fallout/Radstorm#paper, 3 blue,1
39,Supreme Verdict,price/Ravnica+Clue+Edition/Supreme+Verdict#paper, 1 white white blue,1
40,Tezzeret's Gambit,price/Outlaws+of+Thunder+Junction+Commander/Tezzerets+Gambit#paper, 3 hyrid blue ,1
41,Farewell,price/Ravnica+Murders+at+Karlov+Manor+Commander/Farewell#paper, 4 white white,1
42,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
43,Wayfarer's Bauble,price/Lost+Caverns+of+Ixalan+Commander/Wayfarers+Bauble#paper, 1,1
44,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
45,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
46,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
47,Thought Vessel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Vessel#paper, 2,1
48,Champion's Helm,price/Fallout/Champions+Helm#paper, 3,1
49,Chromatic Lantern,price/Outlaws+of+Thunder+Junction+Commander/Chromatic+Lantern#paper, 3,1
50,Decanter of Endless Water,price/Commander+Legends+Battle+for+Baldurs+Gate/Decanter+of+Endless+Water#paper, 3,1
51,Glistening Sphere,price/Phyrexia+All+Will+Be+One+Commander/Glistening+Sphere#paper, 3,1
52,Mithril Coat,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth:Foil/Mithril+Coat-extended+-+Surge+Foil#paper, 3,1
53,Whispersilk Cloak,price/Mystery+Booster/Whispersilk+Cloak#paper, 3,1
54,Grafted Exoskeleton,price/Phyrexia+All+Will+Be+One+Commander/Grafted+Exoskeleton#paper, 4,1
55,Contagion Engine,price/Breaking+News/Contagion+Engine-showcase#paper, 6,1
56,Dawn of a New Age,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth:Foil/Dawn+of+a+New+Age-extended+-+Surge+Foil#paper, 1 white,1
57,Necrogen Communion,price/PhyrexiaAll+Will+Be+One/Necrogen+Communion#paper, 1 black,1
58,Norn's Decree,price/Phyrexia+All+Will+Be+One+Commander/Norns+Decree#paper, 2 white,1
59,Phyrexian Arena,price/PhyrexiaAll+Will+Be+One:Foil/Phyrexian+Arena-bundle+-+phyrexian#paper, 1 black black,1
60,Inexorable Tide,price/Fallout/Inexorable+Tide#paper, 3 blue blue,1
61,Bountiful Promenade,price/Commander+Legends+Battle+for+Baldurs+Gate/Bountiful+Promenade#paper,,1
62,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
63,Drannith Ruins,price/March+of+the+Machine+The+Aftermath/Drannith+Ruins#paper,,1
64,Evolving Wilds,price/Jumpstart+2022/Evolving+Wilds#paper,,1
65,Forest,price/Theros+Beyond+Death/Forest-254#paper,,5
66,Gavony Township,price/March+of+the+Machine+Commander/Gavony+Township#paper,,1
67,Island,price/Theros+Beyond+Death/Island-251#paper,,5
68,Karn's Bastion,price/March+of+the+Machine+Commander/Karns+Bastion#paper,,1
69,Mirrex,price/PhyrexiaAll+Will+Be+One/Mirrex#paper,,1
70,Morphic Pool,price/Commander+Legends+Battle+for+Baldurs+Gate/Morphic+Pool#paper,,1
71,Myriad Landscape,price/Doctor+Who/Myriad+Landscape#paper,,1
72,Opulent Palace,price/Outlaws+of+Thunder+Junction+Commander/Opulent+Palace#paper,,1
73,Path of Ancestry,price/Lost+Caverns+of+Ixalan+Commander/Path+of+Ancestry#paper,,1
74,Plains,price/Theros+Beyond+Death/Plains-250#paper,,5
75,Reliquary Tower,price/Outlaws+of+Thunder+Junction+Commander/Reliquary+Tower#paper,,1
76,Rogue's Passage,price/Outlaws+of+Thunder+Junction+Commander/Rogues+Passage#paper,,1
77,Sandsteppe Citadel,price/Commander+Masters/Sandsteppe+Citadel#paper,,1
78,Sea of Clouds,price/Commander+Legends+Battle+for+Baldurs+Gate/Sea+of+Clouds#paper,,1
79,Seaside Citadel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Seaside+Citadel#paper,,1
80,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,5
81,Terramorphic Expanse,price/Outlaws+of+Thunder+Junction+Commander/Terramorphic+Expanse#paper,,1
82,The Seedcore,price/PhyrexiaAll+Will+Be+One/The+Seedcore#paper,,1
83,Thornwood Falls,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Thornwood+Falls#paper,,1
