,card,link,mana,n
0,"Orthion, Hero of Lavabrink",price/March+of+the+Machine/Orthion+Hero+of+Lavabrink#paper, 3 red,1
1,Charming Scoundrel,price/Wilds+of+Eldraine/Charming+Scoundrel#paper, 1 red,1
2,Dockside Extortionist,price/Commander+2019/Dockside+Extortionist#paper, 1 red,1
3,Humble Defector,price/Outlaws+of+Thunder+Junction+Commander/Humble+Defector#paper, 1 red,1
4,Wily Goblin,price/Ixalan/Wily+Goblin#paper, red red,1
5,Circuit Mender,price/Jumpstart+2022/Circuit+Mender#paper, 3,1
6,Devilish Valet,price/Streets+of+New+Capenna/Devilish+Valet#paper, 2 red,1
7,Exhibition Magician,price/Streets+of+New+Capenna/Exhibition+Magician#paper, 2 red,1
8,Feldon of the Third Path,price/March+of+the+Machine+Commander/Feldon+of+the+Third+Path#paper, 1 red red,1
9,Filigree Familiar,price/Commander+Legends/Filigree+Familiar#paper, 3,1
10,Goblin Chainwhirler,price/Dominaria/Goblin+Chainwhirler#paper, red red red,1
11,Patron of the Arts,price/Commander+Legends+Battle+for+Baldurs+Gate/Patron+of+the+Arts#paper, 2 red,1
12,Plundering Barbarian,price/Adventures+in+the+Forgotten+Realms/Plundering+Barbarian#paper, 2 red,1
13,Priest of Urabrask,price/New+Phyrexia/Priest+of+Urabrask#paper, 2 red,1
14,Witty Roastmaster,price/Streets+of+New+Capenna/Witty+Roastmaster#paper, 2 red,1
15,"Atsushi, the Blazing Sky",price/Kamigawa+Neon+Dynasty/Atsushi+the+Blazing+Sky#paper, 2 red red,1
16,Fanatic of Mogis,price/Theros/Fanatic+of+Mogis#paper, 3 red,1
17,Goblin Settler,price/Secret+Lair/Goblin+Settler-Just+Some+Totally+Normal+Guys#paper, 3 red,1
18,"Purphoros, God of the Forge",price/Commander+Masters/Purphoros+God+of+the+Forge#paper, 3 red,1
19,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
20,Goldspan Dragon,price/Kaldheim/Goldspan+Dragon#paper, 3 red red,1
21,"Kiki-Jiki, Mirror Breaker",price/Mystery+Booster/Kiki-Jiki+Mirror+Breaker#paper, 2 red red red,1
