,card,link,mana,n
0,"Geralf, the Fleshwright",price/Outlaws+of+Thunder+Junction/Geralf+the+Fleshwright#paper, 2 blue,1
1,Thrummingbird,price/PhyrexiaAll+Will+Be+One/Thrummingbird-showcase#paper, 1 blue,1
2,"Fblthp, Lost on the Range",price/Outlaws+of+Thunder+Junction/Fblthp+Lost+on+the+Range#paper, 1 blue blue,1
3,Flux Channeler,price/War+of+the+Spark/Flux+Channeler#paper, 2 blue,1
4,"Geralf, Visionary Stitcher",price/Innistrad+Crimson+Vow/Geralf+Visionary+Stitcher-showcase#paper, 2 blue,1
5,"Jason Bright, Glowing Prophet",price/Fallout/Jason+Bright+Glowing+Prophet#paper, 2 blue,1
6,Poppet Stitcher,price/Innistrad+Midnight+Hunt:Foil/Poppet+Stitcher#paper, 2 blue,1
7,Archmage Emeritus,price/Outlaws+of+Thunder+Junction+Commander/Archmage+Emeritus#paper, 2 blue blue,1
8,Overcharged Amalgam,price/Commander+Legends+Battle+for+Baldurs+Gate/Overcharged+Amalgam#paper, 2 blue blue,1
9,Spark Double,price/Ravnica+Remastered/Spark+Double-retro#paper, 3 blue,1
10,"Talrand, Sky Summoner",price/Outlaws+of+Thunder+Junction+Commander/Talrand+Sky+Summoner#paper, 2 blue blue,1
11,Eternal Skylord,price/Innistrad+Midnight+Hunt+Commander/Eternal+Skylord#paper, 4 blue,1
12,Hordewing Skaab,price/Innistrad+Midnight+Hunt+Commander/Hordewing+Skaab#paper, 4 blue,1
13,Ethereal Forager,price/Commander+2020/Ethereal+Forager#paper, 4 blue blue,1
14,Torrential Gearhulk,price/Commander+Masters/Torrential+Gearhulk#paper, 4 blue blue,1
15,Invasion of Segovia,price/March+of+the+Machine/Invasion+of+Segovia#paper, 2 blue,1
16,Invasion of Arcavios,price/March+of+the+Machine/Invasion+of+Arcavios#paper, 3 blue blue,1
17,Brainstorm,price/Duel+Decks+Izzet+vs+Golgari/Brainstorm#paper, blue,1
18,Consider,price/Ravnica+Clue+Edition/Consider#paper, blue,1
19,Gitaxian Probe,price/New+Phyrexia/Gitaxian+Probe#paper, hyrid blue ,1
20,High Tide,price/Dominaria+Remastered/High+Tide-retro#paper, blue,1
21,Opt,price/Jumpstart+2022/Opt#paper, blue,1
22,Ponder,price/Outlaws+of+Thunder+Junction+Commander/Ponder#paper, blue,1
23,Preordain,price/Outlaws+of+Thunder+Junction+Commander/Preordain#paper, blue,1
24,Rapid Hybridization,price/Ravnica+Clue+Edition/Rapid+Hybridization#paper, blue,1
25,Whispers of the Muse,price/Tempest/Whispers+of+the+Muse#paper, blue,1
26,Curse of the Swine,price/Outlaws+of+Thunder+Junction+Commander/Curse+of+the+Swine#paper, x blue blue,1
27,Cyclonic Rift,price/Commander+Masters/Cyclonic+Rift#paper, 1 blue,1
28,Dramatic Reversal,price/Kaladesh/Dramatic+Reversal#paper, 1 blue,1
29,Experimental Augury,price/PhyrexiaAll+Will+Be+One/Experimental+Augury#paper, 1 blue,1
30,Mana Drain,price/Breaking+News/Mana+Drain-showcase#paper, blue blue,1
31,Narset's Reversal,price/Theros+Beyond+Death+Promos/Narsets+Reversal-planeswalker+stamp#paper, blue blue,1
32,Radical Idea,price/Ravnica+Remastered/Radical+Idea#paper, 1 blue,1
33,Reality Shift,price/Commander+Masters/Reality+Shift#paper, 1 blue,1
34,Think Twice,price/Outlaws+of+Thunder+Junction+Commander/Think+Twice#paper, 1 blue,1
35,Fierce Guardianship,price/Commander+Masters/Fierce+Guardianship#paper, 2 blue,1
36,Force of Negation,price/Double+Masters+2022/Force+of+Negation#paper, 1 blue blue,1
37,Frantic Search,price/Commander+Masters/Frantic+Search-borderless#paper, 2 blue,1
38,Steady Progress,price/Modern+Masters+2015/Steady+Progress#paper, 2 blue,1
39,Chemister's Insight,price/Ravnica+Clue+Edition/Chemisters+Insight#paper, 3 blue,1
40,Deep Analysis,price/Outlaws+of+Thunder+Junction+Commander/Deep+Analysis#paper, 3 blue,1
41,Tezzeret's Gambit,price/Outlaws+of+Thunder+Junction+Commander/Tezzerets+Gambit#paper, 3 hyrid blue ,1
42,Inspiring Refrain,price/Doctor+Who/Inspiring+Refrain#paper, 4 blue blue,1
43,Rise from the Tides,price/Commander+Masters/Rise+from+the+Tides#paper, 5 blue,1
44,Spelltwine,price/Duel+Decks+Jace+vs+Vraska/Spelltwine#paper, 5 blue,1
45,Jeweled Lotus,price/Commander+Masters/Jeweled+Lotus#paper, 0,1
46,Lotus Petal,price/Tempest/Lotus+Petal#paper, 0,1
47,Commander's Plate,price/Commander+Legends/Commanders+Plate#paper, 1,1
48,Sensei's Divining Top,price/Champions+of+Kamigawa/Senseis+Divining+Top#paper, 1,1
49,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
50,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
51,Isochron Scepter,price/Duel+Decks+Izzet+vs+Golgari/Isochron+Scepter#paper, 2,1
52,Swiftfoot Boots,price/The+Brothers+War+Commander/Swiftfoot+Boots-retro#paper, 2,1
53,Phyrexian Altar,price/Double+Masters+2022/Phyrexian+Altar#paper, 3,1
54,Aetherflux Reservoir,price/Mystery+Booster/Aetherflux+Reservoir#paper, 4,1
55,Sceptre of Eternal Glory,price/Warhammer+40K+Commander+Decks/Sceptre+of+Eternal+Glory#paper, 4,1
56,The One Ring,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth:Foil/The+One+Ring-bundle#paper, 4,1
57,Gilded Lotus,price/The+Brothers+War+Retro+Frame+Artifacts/Gilded+Lotus-retro#paper, 5,1
58,Search for Azcanta,price/Ixalan/Search+for+Azcanta#paper, 1 blue,1
59,Case of the Ransacked Lab,price/Ravnica+Murders+at+Karlov+Manor/Case+of+the+Ransacked+Lab#paper, 2 blue,1
60,Rhystic Study,price/Prophecy/Rhystic+Study#paper, 2 blue,1
61,Inexorable Tide,price/Fallout/Inexorable+Tide#paper, 3 blue blue,1
62,Metallurgic Summonings,price/Kaladesh/Metallurgic+Summonings#paper, 3 blue blue,1
63,Shark Typhoon,price/Outlaws+of+Thunder+Junction+Commander/Shark+Typhoon#paper, 5 blue,1
64,Ancient Tomb,price/Ultimate+Masters/Ancient+Tomb#paper,,1
65,Coral Atoll,price/Commander+Legends/Coral+Atoll-precon#paper,,1
66,Lonely Sandbar,price/Ravnica+Murders+at+Karlov+Manor+Commander/Lonely+Sandbar#paper,,1
67,Mystic Sanctuary,price/Ravnica+Murders+at+Karlov+Manor+Commander/Mystic+Sanctuary#paper,,1
68,Reliquary Tower,price/Outlaws+of+Thunder+Junction+Commander/Reliquary+Tower#paper,,1
69,Snow-Covered Island,price/Kaldheim/Snow-Covered+Island-278#paper,,30
70,Tolaria West,price/Time+Spiral+Remastered/Tolaria+West#paper,,1
