,card,link,mana,n
0,"Kethis, the Hidden Hand",price/Core+Set+2020/Kethis+the+Hidden+Hand#paper, white black green,1
1,"Tinybones, the Pickpocket",price/Outlaws+of+Thunder+Junction/Tinybones+the+Pickpocket#paper, black,1
2,"Daxos, Blessed by the Sun",price/Theros+Beyond+Death/Daxos+Blessed+by+the+Sun-showcase#paper, white white,1
3,"Dina, Soul Steeper",price/Multiverse+Legends/Dina+Soul+Steeper#paper, black green,1
4,Go-Shintai of Boundless Vigor,price/Kamigawa+Neon+Dynasty/Go-Shintai+of+Boundless+Vigor#paper, 1 green,1
5,"Aron, Benalia's Ruin",price/Dominaria+United/Aron+Benalias+Ruin-showcase#paper, white white black,1
6,"Bilbo, Birthday Celebrant",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Bilbo+Birthday+Celebrant#paper, white black green,1
7,"Erinis, Gloom Stalker",price/Commander+Legends+Battle+for+Baldurs+Gate/Erinis+Gloom+Stalker-showcase#paper, 2 green,1
8,Honest Rutstein,price/Outlaws+of+Thunder+Junction/Honest+Rutstein#paper, 1 black green,1
9,"Kambal, Profiteering Mayor",price/Outlaws+of+Thunder+Junction/Kambal+Profiteering+Mayor#paper, 1 white black,1
10,King Darien XLVIII,price/Dominaria+United:Foil/King+Darien+XLVIII-showcase#paper, 1 green white,1
11,"Smeagol, Helpful Guide",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Smeagol+Helpful+Guide-showcase#paper, 1 black green,1
12,"Uurg, Spawn of Turg",price/Dominaria+United/Uurg+Spawn+of+Turg#paper, black black green,1
13,"Vraska, the Silencer",price/Outlaws+of+Thunder+Junction/Vraska+the+Silencer#paper, 1 black green,1
14,Go-Shintai of Hidden Cruelty,price/Kamigawa+Neon+Dynasty/Go-Shintai+of+Hidden+Cruelty#paper, 3 black,1
15,"Goreclaw, Terror of Qal Sisma",price/Commander+Masters/Goreclaw+Terror+of+Qal+Sisma#paper, 3 green,1
16,"Lathiel, the Bounteous Dawn",price/Commander+Legends/Lathiel+the+Bounteous+Dawn#paper, 2 green white,1
17,"Massacre Girl, Known Killer",price/Ravnica+Murders+at+Karlov+Manor/Massacre+Girl+Known+Killer-showcase+Dossier#paper, 2 black black,1
18,"Minthara, Merciless Soul",price/Commander+Legends+Battle+for+Baldurs+Gate/Minthara+Merciless+Soul-showcase#paper, 2 white black,1
19,"Nylea, Keen-Eyed",price/Theros+Beyond+Death/Nylea+Keen-Eyed-showcase#paper, 3 green,1
20,"Renata, Called to the Hunt",price/Theros+Beyond+Death/Renata+Called+to+the+Hunt-showcase#paper, 2 green green,1
21,"Savra, Queen of the Golgari",price/Ravnica+Remastered/Savra+Queen+of+the+Golgari-retro#paper, 2 black green,1
