,card,link,mana,n
0,"Anje, Maid of Dishonor",price/Innistrad+Crimson+Vow/Anje+Maid+of+Dishonor#paper, 2 black red,1
1,Disciple of the Vault,price/Mirrodin/Disciple+of+the+Vault#paper, black,1
2,Dockside Chef,price/Kamigawa+Neon+Dynasty/Dockside+Chef#paper, black,1
3,Voldaren Epicure,price/Innistrad+Crimson+Vow/Voldaren+Epicure-showcase#paper, red,1
4,Blood Artist,price/Jumpstart+2022/Blood+Artist#paper, 1 black,1
5,Bloodtithe Harvester,price/Innistrad+Crimson+Vow/Bloodtithe+Harvester-showcase#paper, black red,1
6,"Juri, Master of the Revue",price/Multiverse+Legends/Juri+Master+of+the+Revue#paper, black red,1
7,Oathsworn Vampire,price/Lost+Caverns+of+Ixalan+Commander/Oathsworn+Vampire#paper, 1 black,1
8,Reckless Fireweaver,price/Kaladesh/Reckless+Fireweaver#paper, 1 red,1
9,Restless Bloodseeker,price/Innistrad+Crimson+Vow/Restless+Bloodseeker-showcase#paper, 1 black,1
10,Voldaren Bloodcaster,price/Innistrad+Crimson+Vow/Voldaren+Bloodcaster-showcase#paper, 1 black,1
11,Embraal Gear-Smasher,price/Aether+Revolt/Embraal+Gear-Smasher#paper, 2 red,1
12,Falkenrath Forebear,price/Innistrad+Crimson+Vow/Falkenrath+Forebear-showcase#paper, 2 black,1
13,"Florian, Voldaren Scion",price/Innistrad+Midnight+Hunt/Florian+Voldaren+Scion-showcase#paper, 1 black red,1
14,"Gadrak, the Crown-Scourge",price/Jumpstart+2022/Gadrak+the+Crown-Scourge#paper, 2 red,1
15,"Keskit, the Flesh Sculptor",price/March+of+the+Machine+Commander/Keskit+the+Flesh+Sculptor#paper, 2 black,1
16,"Laurine, the Diversion",price/Outlaws+of+Thunder+Junction+Commander/Laurine+the+Diversion#paper, 2 red,1
17,Marauding Blight-Priest,price/Zendikar+Rising/Marauding+Blight-Priest#paper, 2 black,1
18,Mayhem Devil,price/Ravnica+Remastered/Mayhem+Devil-retro#paper, 1 black red,1
19,Nadier's Nightblade,price/Commander+Masters/Nadiers+Nightblade-borderless#paper, 2 black,1
20,Scion of Opulence,price/Innistrad+Crimson+Vow+Commander/Scion+of+Opulence#paper, 2 red,1
21,Silversmote Ghoul,price/Commander+2021/Silversmote+Ghoul#paper, 2 black,1
22,Veinwitch Coven,price/Outlaws+of+Thunder+Junction+Commander/Veinwitch+Coven#paper, 2 black,1
23,Fathom Fleet Swordjack,price/Commander+Legends/Fathom+Fleet+Swordjack#paper, 3 red,1
24,"Kamber, the Plunderer",price/Outlaws+of+Thunder+Junction+Commander/Kamber+the+Plunderer#paper, 3 black,1
25,Sanctum Seeker,price/Lost+Caverns+of+Ixalan+Commander/Sanctum+Seeker#paper, 2 black black,1
26,"Strefan, Maurer Progenitor",price/Innistrad+Crimson+Vow+Commander:Foil/Strefan+Maurer+Progenitor#paper, 2 black red,1
27,Vindictive Vampire,price/Ravnica+Remastered/Vindictive+Vampire-retro#paper, 3 black,1
28,Champion of Dusk,price/Lost+Caverns+of+Ixalan+Commander/Champion+of+Dusk#paper, 3 black black,1
29,God-Eternal Bontu,price/War+of+the+Spark/God-Eternal+Bontu#paper, 3 black black,1
30,Malakir Bloodwitch,price/Innistrad+Crimson+Vow+Commander/Malakir+Bloodwitch#paper, 3 black black,1
31,Wedding Security,price/Innistrad+Crimson+Vow/Wedding+Security-showcase#paper, 3 black black,1
32,Marionette Master,price/The+Brothers+War+Commander/Marionette+Master-retro#paper, 4 black black,1
33,Markov Enforcer,price/Innistrad+Crimson+Vow+Commander/Markov+Enforcer#paper, 4 red red,1
34,Olivia's Attendants,price/Innistrad+Crimson+Vow/Olivias+Attendants-showcase#paper, 4 red red,1
35,Abrade,price/Starter+Commander/Abrade#paper, 1 red,1
36,Costly Plunder,price/Double+Masters/Costly+Plunder#paper, 1 black,1
37,Deadly Dispute,price/Outlaws+of+Thunder+Junction+Commander/Deadly+Dispute#paper, 1 black,1
38,Feed the Swarm,price/Outlaws+of+Thunder+Junction+Commander/Feed+the+Swarm#paper, 1 black,1
39,Go for the Throat,price/The+Brothers+War/Go+for+the+Throat#paper, 1 black,1
40,Heartless Act,price/Commander+Masters/Heartless+Act#paper, 1 black,1
41,Reckoner's Bargain,price/Kamigawa+Neon+Dynasty/Reckoners+Bargain#paper, 1 black,1
42,Terminate,price/Starter+Commander/Terminate#paper, black red,1
43,Bedevil,price/Breaking+News/Bedevil-showcase#paper, black black red,1
44,Chaos Warp,price/Outlaws+of+Thunder+Junction+Commander/Chaos+Warp#paper, 2 red,1
45,Pointed Discussion,price/Innistrad+Crimson+Vow/Pointed+Discussion#paper, 2 black,1
46,Vampires' Vengeance,price/Innistrad+Crimson+Vow/Vampires+Vengeance-Mysterious+Blood+Illness#paper, 2 red,1
47,Reprocess,price/Seventh+Edition/Reprocess#paper, 2 black black,1
48,Olivia's Wrath,price/Lost+Caverns+of+Ixalan+Commander/Olivias+Wrath#paper, 4 black,1
49,Blood Fountain,price/Innistrad+Crimson+Vow/Blood+Fountain#paper, black,1
50,Ceremonial Knife,price/Innistrad+Crimson+Vow/Ceremonial+Knife#paper, 1,1
51,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
52,Wayfarer's Bauble,price/Lost+Caverns+of+Ixalan+Commander/Wayfarers+Bauble#paper, 1,1
53,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
54,Charcoal Diamond,price/Commander+Legends+Battle+for+Baldurs+Gate/Charcoal+Diamond-showcase#paper, 2,1
55,Fire Diamond,price/Commander+Legends+Battle+for+Baldurs+Gate/Fire+Diamond-showcase#paper, 2,1
56,Oni-Cult Anvil,price/Kamigawa+Neon+Dynasty/Oni-Cult+Anvil#paper, black red,1
57,Rakdos Signet,price/Outlaws+of+Thunder+Junction+Commander/Rakdos+Signet#paper, 2,1
58,Talisman of Indulgence,price/Fallout/Talisman+of+Indulgence#paper, 2,1
59,Glass-Cast Heart,price/Lost+Caverns+of+Ixalan+Commander/Glass-Cast+Heart#paper, 2 black,1
60,Inspiring Statuary,price/Ravnica+Murders+at+Karlov+Manor+Commander/Inspiring+Statuary#paper, 3,1
61,Underhanded Designs,price/Kaladesh/Underhanded+Designs#paper, 1 black,1
62,Arterial Alchemy,price/Innistrad+Crimson+Vow+Commander/Arterial+Alchemy#paper, 2 red,1
63,Ghirapur Aether Grid,price/March+of+the+Machine+Commander/Ghirapur+Aether+Grid#paper, 2 red,1
64,Bojuka Bog,price/Outlaws+of+Thunder+Junction+Commander/Bojuka+Bog#paper,,1
65,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
66,Dragonskull Summit,price/Outlaws+of+Thunder+Junction+Commander/Dragonskull+Summit#paper,,1
67,Evolving Wilds,price/Jumpstart+2022/Evolving+Wilds#paper,,1
68,Foreboding Ruins,price/Lost+Caverns+of+Ixalan+Commander/Foreboding+Ruins#paper,,1
69,Ghost Quarter,price/Mystery+Booster/Ghost+Quarter#paper,,1
70,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,11
71,Myriad Landscape,price/Doctor+Who/Myriad+Landscape#paper,,1
72,Path of Ancestry,price/Lost+Caverns+of+Ixalan+Commander/Path+of+Ancestry#paper,,1
73,Shadowblood Ridge,price/Outlaws+of+Thunder+Junction+Commander/Shadowblood+Ridge#paper,,1
74,Smoldering Marsh,price/Outlaws+of+Thunder+Junction+Commander/Smoldering+Marsh#paper,,1
75,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,12
76,Tainted Peak,price/Outlaws+of+Thunder+Junction+Commander/Tainted+Peak#paper,,1
77,Terramorphic Expanse,price/Outlaws+of+Thunder+Junction+Commander/Terramorphic+Expanse#paper,,1
78,Voldaren Estate,price/Lost+Caverns+of+Ixalan+Commander/Voldaren+Estate#paper,,1
