,card,link,mana,n
0,"Captain Storm, Cosmium Raider",price/Lost+Caverns+of+Ixalan/Captain+Storm+Cosmium+Raider#paper, blue red,1
1,Goblin Tomb Raider,price/Lost+Caverns+of+Ixalan/Goblin+Tomb+Raider#paper, red,1
2,Impulsive Pilferer,price/Outlaws+of+Thunder+Junction+Commander/Impulsive+Pilferer#paper, red,1
3,"Ragavan, Nimble Pilferer",price/Modern+Horizons+2/Ragavan+Nimble+Pilferer#paper, red,1
4,Reckless Lackey,price/Outlaws+of+Thunder+Junction/Reckless+Lackey#paper, red,1
5,Captain Vargus Wrath,price/Commander+Legends/Captain+Vargus+Wrath#paper, blue red,1
6,Cyberman Patrol,price/Doctor+Who/Cyberman+Patrol#paper, 2,1
7,Dockside Extortionist,price/Commander+2019/Dockside+Extortionist#paper, 1 red,1
8,Dreamscape Artist,price/Planar+Chaos/Dreamscape+Artist#paper, 1 blue,1
9,Enterprising Scallywag,price/Lost+Caverns+of+Ixalan/Enterprising+Scallywag#paper, 1 red,1
10,"Kari Zev, Skyship Raider",price/Lost+Caverns+of+Ixalan+Commander/Kari+Zev+Skyship+Raider#paper, 1 red,1
11,"Malcolm, Alluring Scoundrel",price/Lost+Caverns+of+Ixalan/Malcolm+Alluring+Scoundrel-showcase#paper, 1 blue,1
12,Oaken Siren,price/Lost+Caverns+of+Ixalan/Oaken+Siren#paper, 1 blue,1
13,Staunch Crewmate,price/Lost+Caverns+of+Ixalan/Staunch+Crewmate#paper, 1 blue,1
14,Academy Manufactor,price/Outlaws+of+Thunder+Junction+Commander/Academy+Manufactor#paper, 3,1
15,"Breeches, Eager Pillager",price/Lost+Caverns+of+Ixalan/Breeches+Eager+Pillager-showcase#paper, 2 red,1
16,"Breeches, the Blastmaker",price/Outlaws+of+Thunder+Junction/Breeches+the+Blastmaker#paper, 1 blue red,1
17,Captain Lannery Storm,price/Outlaws+of+Thunder+Junction+Commander/Captain+Lannery+Storm#paper, 2 red,1
18,Corsair Captain,price/Lost+Caverns+of+Ixalan+Commander/Corsair+Captain#paper, 2 blue,1
19,Foreboding Statue,price/Innistrad+Crimson+Vow/Foreboding+Statue#paper, 3,1
20,"Malcolm, Keen-Eyed Navigator",price/Lost+Caverns+of+Ixalan+Commander/Malcolm+Keen-Eyed+Navigator#paper, 2 blue,1
21,Xorn,price/Adventures+in+the+Forgotten+Realms/Xorn-showcase#paper, 2 red,1
22,Anger,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Anger#paper, 3 red,1
23,"Breeches, Brazen Plunderer",price/Lost+Caverns+of+Ixalan+Commander/Breeches+Brazen+Plunderer#paper, 3 red,1
24,Corsairs of Umbar,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Corsairs+of+Umbar#paper, 3 blue,1
25,Fathom Fleet Swordjack,price/Commander+Legends/Fathom+Fleet+Swordjack#paper, 3 red,1
26,Gemcutter Buccaneer,price/Lost+Caverns+of+Ixalan+Commander/Gemcutter+Buccaneer#paper, 3 red,1
27,Kukemssa Pirates,price/Mirage/Kukemssa+Pirates#paper, 3 blue,1
28,Merchant Raiders,price/Lost+Caverns+of+Ixalan+Commander/Merchant+Raiders#paper, 3 blue,1
29,Coercive Recruiter,price/Lost+Caverns+of+Ixalan+Commander/Coercive+Recruiter#paper, 4 red,1
30,Goldspan Dragon,price/Kaldheim/Goldspan+Dragon#paper, 3 red red,1
31,Pirated Copy,price/Jumpstart+2022/Pirated+Copy#paper, 4 blue,1
32,"Zara, Renegade Recruiter",price/Lost+Caverns+of+Ixalan+Commander/Zara+Renegade+Recruiter#paper, 3 blue red,1
33,Ancient Copper Dragon,price/Commander+Legends+Battle+for+Baldurs+Gate/Ancient+Copper+Dragon#paper, 4 red red,1
34,Marut,price/Commander+Legends+Battle+for+Baldurs+Gate/Marut#paper, 8,1
35,Mana Geyser,price/Game+Night+Free-For-All/Mana+Geyser#paper, 3 red red,1
36,Everflowing Chalice,price/Ravnica+Murders+at+Karlov+Manor+Commander/Everflowing+Chalice#paper, 0,1
37,Sol Talisman,price/Modern+Horizons+2/Sol+Talisman#paper,,1
38,Beamtown Beatstick,price/March+of+the+Machine/Beamtown+Beatstick#paper, red,1
39,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
40,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
41,Armillary Sphere,price/Commander+Legends/Armillary+Sphere#paper, 2,1
42,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
43,Fire Diamond,price/Commander+Legends+Battle+for+Baldurs+Gate/Fire+Diamond-showcase#paper, 2,1
44,Pillar of Origins,price/Commander+Masters/Pillar+of+Origins#paper, 2,1
45,Pirate Hat,price/Lost+Caverns+of+Ixalan/Pirate+Hat#paper, 1 blue,1
46,Sky Diamond,price/Commander+Legends+Battle+for+Baldurs+Gate/Sky+Diamond-showcase#paper, 2,1
47,Careening Mine Cart,price/Lost+Caverns+of+Ixalan/Careening+Mine+Cart#paper, 3,1
48,Fell Flagship,price/Ixalan/Fell+Flagship#paper, 3,1
49,Izzet Cluestone,price/Dragons+Maze/Izzet+Cluestone#paper, 3,1
50,Izzet Keyrune,price/Return+to+Ravnica/Izzet+Keyrune#paper, 3,1
51,Izzet Locket,price/Commander+2019/Izzet+Locket#paper, 3,1
52,Mithril Coat,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth:Foil/Mithril+Coat-extended+-+Surge+Foil#paper, 3,1
53,Pirate's Cutlass,price/Commander+Legends/Pirates+Cutlass#paper, 3,1
54,Hedron Archive,price/Jumpstart+2022/Hedron+Archive#paper, 4,1
55,Hoard Hauler,price/Streets+of+New+Capenna/Hoard+Hauler-extended#paper, 3 red,1
56,RMS Titanic,price/Doctor+Who/RMS+Titanic#paper, 3 red,1
57,The Belligerent,price/Lost+Caverns+of+Ixalan/The+Belligerent#paper, 2 blue red,1
58,The Indomitable,price/Lost+Caverns+of+Ixalan+Commander/The+Indomitable-extended#paper, 2 blue blue,1
59,Darksteel Forge,price/Darksteel/Darksteel+Forge#paper, 9,1
60,Combat Research,price/Dominaria+United/Combat+Research#paper, blue,1
61,Curious Inquiry,price/Ravnica+Murders+at+Karlov+Manor/Curious+Inquiry#paper, blue,1
62,Security Bypass,price/Streets+of+New+Capenna/Security+Bypass#paper, 1 blue,1
63,Spiteful Banditry,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Spiteful+Banditry-borderless#paper, x red red,1
64,Goblin War Drums,price/Fallen+Empires/Goblin+War+Drums-Menges#paper, 2 red,1
65,Bident of Thassa,price/The+Brothers+War+Commander/Bident+of+Thassa-retro#paper, 2 blue blue,1
66,Mechanized Production,price/Fallout/Mechanized+Production#paper, 2 blue blue,1
67,Storm the Vault,price/Rivals+of+Ixalan/Storm+the+Vault#paper, 2 blue red,1
68,There and Back Again,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/There+and+Back+Again#paper, 3 red red,1
69,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
70,Island,price/Theros+Beyond+Death/Island-251#paper,,11
71,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,14
72,Path of Ancestry,price/Lost+Caverns+of+Ixalan+Commander/Path+of+Ancestry#paper,,1
73,Silverbluff Bridge,price/Fallout/Silverbluff+Bridge#paper,,1
74,Steam Vents,price/Guilds+of+Ravnica/Steam+Vents#paper,,1
75,Stormcarved Coast,price/Doctor+Who/Stormcarved+Coast#paper,,1
76,Sulfur Falls,price/Outlaws+of+Thunder+Junction+Commander/Sulfur+Falls#paper,,1
