,card,link,mana,n
0,"Malcolm, Keen-Eyed Navigator",price/Lost+Caverns+of+Ixalan+Commander/Malcolm+Keen-Eyed+Navigator#paper, 2 blue,1
1,"Tana, the Bloodsower",price/Commander+Legends:Foil/Tana+the+Bloodsower-etched#paper, 2 red green,1
2,Elvish Mystic,price/Commander+Masters/Elvish+Mystic#paper, green,1
3,Llanowar Elves,price/Magic+2010/Llanowar+Elves#paper, green,1
4,Siren Stormtamer,price/Lost+Caverns+of+Ixalan+Commander/Siren+Stormtamer#paper, blue,1
5,Spectral Sailor,price/Lost+Caverns+of+Ixalan+Commander/Spectral+Sailor#paper, blue,1
6,Tinder Wall,price/Ice+Age/Tinder+Wall#paper, green,1
7,Dockside Extortionist,price/Commander+2019/Dockside+Extortionist#paper, 1 red,1
8,Ledger Shredder,price/Streets+of+New+Capenna/Ledger+Shredder#paper, 1 blue,1
9,"Breeches, Eager Pillager",price/Lost+Caverns+of+Ixalan/Breeches+Eager+Pillager-showcase#paper, 2 red,1
10,Captain Lannery Storm,price/Outlaws+of+Thunder+Junction+Commander/Captain+Lannery+Storm#paper, 2 red,1
11,Drift of Phantasms,price/Ravnica+Remastered/Drift+of+Phantasms#paper, 2 blue,1
12,Dualcaster Mage,price/Eternal+Masters/Dualcaster+Mage#paper, 1 red red,1
13,Elvish Spirit Guide,price/Dominaria+Remastered/Elvish+Spirit+Guide#paper, 2 green,1
14,Eternal Witness,price/Starter+Commander/Eternal+Witness#paper, 1 green green,1
15,Glint-Horn Buccaneer,price/Core+Set+2020/Glint-Horn+Buccaneer#paper, 1 red red,1
16,Hyrax Tower Scout,price/Theros+Beyond+Death/Hyrax+Tower+Scout#paper, 2 green,1
17,Imperial Recruiter,price/Modern+Horizons+2:Foil-Etched/Imperial+Recruiter#paper, 2 red,1
18,Kitesail Larcenist,price/Lost+Caverns+of+Ixalan/Kitesail+Larcenist#paper, 2 blue,1
19,Lightning-Rig Crew,price/Commander+Legends/Lightning-Rig+Crew#paper, 2 red,1
20,Professional Face-Breaker,price/Streets+of+New+Capenna/Professional+Face-Breaker#paper, 2 red,1
21,Protean Raider,price/Rivals+of+Ixalan/Protean+Raider#paper, 1 blue red,1
22,Sentinel of the Nameless City,price/Lost+Caverns+of+Ixalan/Sentinel+of+the+Nameless+City#paper, 2 green,1
23,Simian Spirit Guide,price/Time+Spiral+Remastered/Simian+Spirit+Guide#paper, 2 red,1
24,"Yisan, the Wanderer Bard",price/Commander+Masters/Yisan+the+Wanderer+Bard-foil+etched#paper, 2 green,1
25,"Breeches, Brazen Plunderer",price/Lost+Caverns+of+Ixalan+Commander/Breeches+Brazen+Plunderer#paper, 3 red,1
26,Prime Speaker Vannifar,price/Ravnica+Allegiance/Prime+Speaker+Vannifar#paper, 2 green blue,1
27,"Kiki-Jiki, Mirror Breaker",price/Mystery+Booster/Kiki-Jiki+Mirror+Breaker#paper, 2 red red red,1
28,"Kraum, Ludevic's Opus",price/Commander+2016:Foil/Kraum+Ludevics+Opus#paper, 3 blue red,1
29,"Zara, Renegade Recruiter",price/Lost+Caverns+of+Ixalan+Commander/Zara+Renegade+Recruiter#paper, 3 blue red,1
30,"Niv-Mizzet, Parun",price/Outlaws+of+Thunder+Junction+Commander/Niv-Mizzet+Parun#paper, blue blue blue red red red,1
31,Invasion of Ikoria,price/March+of+the+Machine/Invasion+of+Ikoria#paper, x green green,1
32,An Offer You Can't Refuse,price/Streets+of+New+Capenna/An+Offer+You+Cant+Refuse#paper, blue,1
33,Chain of Vapor,price/Onslaught/Chain+of+Vapor#paper, blue,1
34,Lightning Bolt,price/Commander+Legends+Battle+for+Baldurs+Gate/Lightning+Bolt-showcase#paper, red,1
35,Miscast,price/Core+Set+2021/Miscast#paper, blue,1
36,Nature's Claim,price/Eternal+Masters/Natures+Claim#paper, green,1
37,Rapid Hybridization,price/Ravnica+Clue+Edition/Rapid+Hybridization#paper, blue,1
38,Swan Song,price/Theros/Swan+Song#paper, blue,1
39,Worldly Tutor,price/Dominaria+Remastered/Worldly+Tutor-retro#paper, green,1
40,Abrade,price/Starter+Commander/Abrade#paper, 1 red,1
41,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
42,Cyclonic Rift,price/Commander+Masters/Cyclonic+Rift#paper, 1 blue,1
43,Nature's Lore,price/Commander+Legends+Battle+for+Baldurs+Gate/Natures+Lore#paper, 1 green,1
44,Neoform,price/War+of+the+Spark/Neoform#paper, green blue,1
45,Twinflame,price/Journey+into+Nyx/Twinflame#paper, 1 red,1
46,Deflecting Swat,price/Commander+Masters/Deflecting+Swat-foil+etched#paper, 2 red,1
47,Eldritch Evolution,price/Mystery+Booster/Eldritch+Evolution#paper, 1 green green,1
48,Fierce Guardianship,price/Commander+Masters/Fierce+Guardianship#paper, 2 blue,1
49,Fiery Cannonade,price/Commander+Legends/Fiery+Cannonade#paper, 2 red,1
50,Search for Tomorrow,price/Dominaria+United+Commander/Search+for+Tomorrow#paper, 2 green,1
51,Bring to Light,price/Battle+for+Zendikar/Bring+to+Light#paper, 3 green blue,1
52,Shared Summons,price/Core+Set+2020/Shared+Summons#paper, 3 green green,1
53,Lotus Petal,price/Tempest/Lotus+Petal#paper, 0,1
54,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
55,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
56,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
57,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
58,Talisman of Creativity,price/Commander+Legends+Battle+for+Baldurs+Gate/Talisman+of+Creativity#paper, 2,1
59,Talisman of Curiosity,price/Ravnica+Murders+at+Karlov+Manor+Commander/Talisman+of+Curiosity#paper, 2,1
60,Birthing Pod,price/New+Phyrexia/Birthing+Pod#paper, 3 hyrid green ,1
61,Carpet of Flowers,price/Doctor+Who/Carpet+of+Flowers#paper, green,1
62,Curiosity,price/Enchanting+Tales/Curiosity#paper, blue,1
63,Mystic Remora,price/Ice+Age/Mystic+Remora#paper, blue,1
64,Wild Growth,price/Dominaria+Remastered/Wild+Growth-retro#paper, green,1
65,Rhystic Study,price/Prophecy/Rhystic+Study#paper, 2 blue,1
66,Breeding Pool,price/Ravnica+Allegiance/Breeding+Pool#paper,,1
67,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
68,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
69,Fabled Passage,price/Core+Set+2021/Fabled+Passage#paper,,1
70,Forest,price/Theros+Beyond+Death/Forest-254#paper,,7
71,Inventors' Fair,price/Kaladesh/Inventors+Fair#paper,,1
72,Island,price/Theros+Beyond+Death/Island-251#paper,,7
73,Ketria Triome,price/The+List/Ketria+Triome#paper,,1
74,Misty Rainforest,price/Modern+Horizons+2/Misty+Rainforest#paper,,1
75,Mountain,price/Theros+Beyond+Death/Mountain-253#paper,,7
76,Scalding Tarn,price/Modern+Horizons+2/Scalding+Tarn#paper,,1
77,Spire of Industry,price/Ravnica+Murders+at+Karlov+Manor+Commander/Spire+of+Industry#paper,,1
78,Steam Vents,price/Guilds+of+Ravnica/Steam+Vents#paper,,1
79,Stomping Ground,price/Gatecrash/Stomping+Ground#paper,,1
80,Windswept Heath,price/Modern+Horizons+3/Windswept+Heath#paper,,1
81,Wooded Foothills,price/Modern+Horizons+3/Wooded+Foothills#paper,,1
