,card,link,mana,n
0,"Jon Irenicus, Shattered One",price/Commander+Legends+Battle+for+Baldurs+Gate/Jon+Irenicus+Shattered+One-showcase#paper, 2 blue black,1
1,Blighted Agent,price/New+Phyrexia/Blighted+Agent#paper, 1 blue,1
2,Drinker of Sorrow,price/Legions/Drinker+of+Sorrow#paper, 2 black,1
3,Ebon Drake,price/Fifth+Dawn/Ebon+Drake#paper, 2 black,1
4,Ebonblade Reaper,price/Onslaught/Ebonblade+Reaper#paper, 2 black,1
5,Master of the Feast,price/Journey+into+Nyx/Master+of+the+Feast#paper, 1 black black,1
6,Phyrexian Negator,price/Duel+Decks+Phyrexia+vs+the+Coalition:Foil/Phyrexian+Negator#paper, 2 black,1
7,Phyrexian Soulgorger,price/Mystery+Booster/Phyrexian+Soulgorger#paper, 3,1
8,Rotting Regisaur,price/Core+Set+2020/Rotting+Regisaur-planeswalker+stamp#paper, 2 black,1
9,Desecration Elemental,price/Fifth+Dawn/Desecration+Elemental#paper, 3 black,1
10,"Gisa, Glorious Resurrector",price/Innistrad+Midnight+Hunt/Gisa+Glorious+Resurrector-showcase#paper, 2 black black,1
11,Grid Monitor,price/Mirrodin/Grid+Monitor#paper, 4,1
12,Grinning Demon,price/Onslaught/Grinning+Demon#paper, 2 black black,1
13,Malleable Impostor,price/Wilds+of+Eldraine+Commander/Malleable+Impostor#paper, 3 blue,1
14,Phyrexian Vatmother,price/Mirrodin+Besieged/Phyrexian+Vatmother#paper, 2 black black,1
15,Rust Elemental,price/Mirrodin/Rust+Elemental#paper, 4,1
16,Thought Devourer,price/Odyssey/Thought+Devourer#paper, 2 blue blue,1
17,Vislor Turlough,price/Doctor+Who/Vislor+Turlough#paper, 3 black,1
18,"Yukora, the Prisoner",price/Betrayers+of+Kamigawa/Yukora+the+Prisoner#paper, 2 black black,1
19,Greater Harvester,price/Darksteel/Greater+Harvester#paper, 2 black black black,1
20,Painwracker Oni,price/Champions+of+Kamigawa/Painwracker+Oni#paper, 3 black black,1
21,Taniwha,price/Mirage/Taniwha#paper, 3 blue blue,1
22,Hellcarver Demon,price/Rise+of+the+Eldrazi/Hellcarver+Demon#paper, 3 black black black,1
23,Morkrut Necropod,price/Shadows+over+Innistrad/Morkrut+Necropod#paper, 5 black,1
24,Liege of the Pit,price/Time+Spiral/Liege+of+the+Pit#paper, 5 black black black,1
25,Ringsight,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Ringsight#paper, 1 blue black,1
26,Aetherize,price/Ravnica+Remastered/Aetherize-retro#paper, 3 blue,1
27,Irenicus's Vile Duplication,price/Commander+Legends+Battle+for+Baldurs+Gate/Irenicuss+Vile+Duplication#paper, 3 blue,1
28,Radstorm,price/Fallout/Radstorm#paper, 3 blue,1
29,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
30,Swiftfoot Boots,price/The+Brothers+War+Commander/Swiftfoot+Boots-retro#paper, 2,1
31,Talisman of Dominance,price/Warhammer+40K+Commander+Decks/Talisman+of+Dominance-254#paper, 2,1
32,Mithril Coat,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth:Foil/Mithril+Coat-extended+-+Surge+Foil#paper, 3,1
33,Heartless Summoning,price/Innistrad/Heartless+Summoning#paper, 1 black,1
34,Exchange of Words,price/Unfinity/Exchange+of+Words#paper, 1 blue blue,1
35,Ghoulish Impetus,price/Commander+Masters/Ghoulish+Impetus-extended#paper, 2 black,1
36,Parasitic Impetus,price/Commander+Legends+Battle+for+Baldurs+Gate/Parasitic+Impetus#paper, 2 black,1
37,Bojuka Bog,price/Outlaws+of+Thunder+Junction+Commander/Bojuka+Bog#paper,,1
38,Homeward Path,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander:Foil/Homeward+Path-Green+Dragon+Inn#paper,,1
39,Soured Springs,price/Outlaws+of+Thunder+Junction/Soured+Springs#paper,,1
40,Swamp,price/Theros+Beyond+Death/Swamp-252#paper,,60
