,card,link,mana,n
0,"Sai, Master Thopterist",price/The+Brothers+War+Commander/Sai+Master+Thopterist-retro#paper, 2 blue,1
1,Chief Engineer,price/Magic+2015+Core+Set/Chief+Engineer#paper, 1 blue,1
2,Etherium Sculptor,price/Commander+2016/Etherium+Sculptor#paper, 1 blue,1
3,Myr Retriever,price/Mystery+Booster/Myr+Retriever#paper, 2,1
4,Ornithopter of Paradise,price/Modern+Horizons+2/Ornithopter+of+Paradise-retro#paper, 2,1
5,Riddlesmith,price/Kamigawa+Neon+Dynasty+Commander/Riddlesmith#paper, 1 blue,1
6,Spellskite,price/Commander+Legends+Battle+for+Baldurs+Gate/Spellskite#paper, 2,1
7,Steel Overseer,price/Fallout/Steel+Overseer#paper, 2,1
8,The Reality Chip,price/Kamigawa+Neon+Dynasty/The+Reality+Chip#paper, 1 blue,1
9,Academy Manufactor,price/Outlaws+of+Thunder+Junction+Commander/Academy+Manufactor#paper, 3,1
10,"Emry, Lurker of the Loch",price/The+Brothers+War+Commander/Emry+Lurker+of+the+Loch-retro#paper, 2 blue,1
11,Forensic Gadgeteer,price/Ravnica+Murders+at+Karlov+Manor/Forensic+Gadgeteer-showcase+Dossier#paper, 2 blue,1
12,Foundry Inspector,price/The+Brothers+War+Retro+Frame+Artifacts/Foundry+Inspector-retro#paper, 3,1
13,Master of Etherium,price/March+of+the+Machine+Commander/Master+of+Etherium#paper, 2 blue,1
14,Scrap Trawler,price/March+of+the+Machine+Commander/Scrap+Trawler#paper, 3,1
15,Shimmer Myr,price/Commander+Masters/Shimmer+Myr#paper, 3,1
16,Tribute Mage,price/Modern+Horizons/Tribute+Mage#paper, 2 blue,1
17,Trophy Mage,price/Aether+Revolt/Trophy+Mage#paper, 2 blue,1
18,"Unctus, Grand Metatect",price/PhyrexiaAll+Will+Be+One/Unctus+Grand+Metatect-showcase#paper, 1 blue blue,1
19,"Padeem, Consul of Innovation",price/The+Brothers+War+Commander/Padeem+Consul+of+Innovation-retro#paper, 3 blue,1
20,"Urza, Lord High Artificer",price/Commander+Masters/Urza+Lord+High+Artificer-borderless+profile#paper, 2 blue blue,1
21,Vedalken Humiliator,price/The+Brothers+War+Commander/Vedalken+Humiliator-retro#paper, 3 blue,1
22,Kappa Cannoneer,price/Ravnica+Murders+at+Karlov+Manor+Commander/Kappa+Cannoneer#paper, 5 blue,1
23,Sharding Sphinx,price/The+Brothers+War+Commander/Sharding+Sphinx-retro#paper, 4 blue blue,1
24,Meteor Golem,price/Jumpstart+2022/Meteor+Golem#paper, 7,1
25,Sojourner's Companion,price/Modern+Horizons+2/Sojourners+Companion#paper, 7,1
26,Thought Monitor,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Monitor#paper, 6 blue,1
27,Dispel,price/Battle+for+Zendikar/Dispel#paper, blue,1
28,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
29,Disruption Protocol,price/Kamigawa+Neon+Dynasty/Disruption+Protocol#paper, blue blue,1
30,Machine Over Matter,price/The+Brothers+War/Machine+Over+Matter#paper, 1 blue,1
31,Reality Shift,price/Commander+Masters/Reality+Shift#paper, 1 blue,1
32,Resculpt,price/Commander+Masters/Resculpt#paper, 1 blue,1
33,Reshape,price/Darksteel/Reshape#paper, x blue blue,1
34,Metallic Rebuke,price/Aether+Revolt/Metallic+Rebuke#paper, 2 blue,1
35,Ravenform,price/Lost+Caverns+of+Ixalan+Commander/Ravenform#paper, 2 blue,1
36,Rewind,price/Core+Set+2021/Rewind#paper, 2 blue blue,1
37,Reverse Engineer,price/Commander+Masters/Reverse+Engineer#paper, 3 blue blue,1
38,Thoughtcast,price/Kamigawa+Neon+Dynasty+Commander/Thoughtcast#paper, 4 blue,1
39,Everflowing Chalice,price/Ravnica+Murders+at+Karlov+Manor+Commander/Everflowing+Chalice#paper, 0,1
40,Tormod's Crypt,price/Dominaria+Remastered/Tormods+Crypt#paper, 0,1
41,Welding Jar,price/Mirrodin/Welding+Jar#paper, 0,1
42,Aether Spellbomb,price/Jumpstart+2022/Aether+Spellbomb#paper, 1,1
43,Moonsnare Prototype,price/Kamigawa+Neon+Dynasty/Moonsnare+Prototype#paper, blue,1
44,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
45,Soul-Guide Lantern,price/Wilds+of+Eldraine/Soul-Guide+Lantern#paper, 1,1
46,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
47,Fellwar Stone,price/Outlaws+of+Thunder+Junction+Commander/Fellwar+Stone#paper, 2,1
48,Idol of Oblivion,price/Outlaws+of+Thunder+Junction+Commander/Idol+of+Oblivion#paper, 2,1
49,Liquimetal Torque,price/Modern+Horizons+2/Liquimetal+Torque-retro#paper, 2,1
50,Mind Stone,price/Fallout/Mind+Stone#paper, 2,1
51,Swiftfoot Boots,price/The+Brothers+War+Commander/Swiftfoot+Boots-retro#paper, 2,1
52,Thought Vessel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Vessel#paper, 2,1
53,Unlicensed Hearse,price/Breaking+News/Unlicensed+Hearse-showcase#paper, 2,1
54,Ashnod's Altar,price/Chronicles/Ashnods+Altar#paper, 3,1
55,Ensnaring Bridge,price/Masters+25/Ensnaring+Bridge#paper, 3,1
56,Nettlecyst,price/Ravnica+Murders+at+Karlov+Manor+Commander/Nettlecyst#paper, 3,1
57,Semblance Anvil,price/The+Brothers+War+Retro+Frame+Artifacts/Semblance+Anvil-retro#paper, 3,1
58,Unwinding Clock,price/The+Brothers+War+Retro+Frame+Artifacts/Unwinding+Clock-retro#paper, 4,1
59,Spine of Ish Sah,price/March+of+the+Machine+Commander/Spine+of+Ish+Sah#paper, 7,1
60,Propaganda,price/Outlaws+of+Thunder+Junction+Commander/Propaganda#paper, 2 blue,1
61,Bident of Thassa,price/The+Brothers+War+Commander/Bident+of+Thassa-retro#paper, 2 blue blue,1
62,Efficient Construction,price/Commander+Masters/Efficient+Construction#paper, 3 blue,1
63,Opposition,price/Dominaria+Remastered/Opposition-retro#paper, 2 blue blue,1
64,Reconnaissance Mission,price/Warhammer+40K+Commander+Decks/Reconnaissance+Mission#paper, 2 blue blue,1
65,Thopter Spy Network,price/Kamigawa+Neon+Dynasty+Commander/Thopter+Spy+Network#paper, 2 blue blue,1
66,Buried Ruin,price/Fallout/Buried+Ruin#paper,,1
67,Darksteel Citadel,price/Commander+2014/Darksteel+Citadel#paper,,1
68,Island,price/Theros+Beyond+Death/Island-251#paper,,27
69,Reliquary Tower,price/Outlaws+of+Thunder+Junction+Commander/Reliquary+Tower#paper,,1
70,Seat of the Synod,price/The+Brothers+War+Commander/Seat+of+the+Synod-retro#paper,,1
71,Tomb of the Spirit Dragon,price/Commander+Masters/Tomb+of+the+Spirit+Dragon#paper,,1
72,Treasure Vault,price/Fallout/Treasure+Vault#paper,,1
73,War Room,price/Ravnica+Murders+at+Karlov+Manor+Commander/War+Room#paper,,1
