,card,link,mana,n
0,"Momir Vig, Simic Visionary",price/Dissension/Momir+Vig+Simic+Visionary#paper, 3 green blue,1
1,Birds of Paradise,price/Dominaria+Remastered/Birds+of+Paradise-retro#paper, green,1
2,Elvish Mystic,price/Commander+Masters/Elvish+Mystic#paper, green,1
3,Fyndhorn Elves,price/Commander+Legends/Fyndhorn+Elves#paper, green,1
4,Llanowar Elves,price/Magic+2010/Llanowar+Elves#paper, green,1
5,Coiling Oracle,price/Ravnica+Remastered/Coiling+Oracle-retro#paper, green blue,1
6,Gretchen Titchwillow,price/Adventures+in+the+Forgotten+Realms/Gretchen+Titchwillow-showcase#paper, green blue,1
7,Hydroid Krasis,price/Ravnica+Clue+Edition/Hydroid+Krasis#paper, x green blue,1
8,Ice-Fang Coatl,price/Modern+Horizons+2:Foil-Etched/Ice-Fang+Coatl-retro#paper, green blue,1
9,"Kinnan, Bonder Prodigy",price/Ikoria+Lair+of+Behemoths/Kinnan+Bonder+Prodigy#paper, green blue,1
10,Kiora's Follower,price/Lost+Caverns+of+Ixalan+Commander/Kioras+Follower#paper, green blue,1
11,Maraleaf Pixie,price/Throne+of+Eldraine/Maraleaf+Pixie#paper, green blue,1
12,Rootcoil Creeper,price/Innistrad+Midnight+Hunt/Rootcoil+Creeper#paper, green blue,1
13,Shambleshark,price/Gatecrash/Shambleshark#paper, green blue,1
14,Gyre Engineer,price/Ravnica+Allegiance/Gyre+Engineer#paper, 1 green blue,1
15,Malanthrope,price/Warhammer+40K+Commander+Decks/Malanthrope#paper, 1 green blue,1
16,Trygon Predator,price/Outlaws+of+Thunder+Junction+Commander/Trygon+Predator#paper, 1 green blue,1
17,"Uro, Titan of Nature's Wrath",price/Theros+Beyond+Death/Uro+Titan+of+Natures+Wrath#paper, 1 green blue,1
18,Altered Ego,price/Shadows+over+Innistrad/Altered+Ego#paper, x 2 green blue,1
19,"Arixmethes, Slumbering Isle",price/Multiverse+Legends/Arixmethes+Slumbering+Isle#paper, 2 green blue,1
20,Deepfathom Echo,price/Lost+Caverns+of+Ixalan/Deepfathom+Echo#paper, 2 green blue,1
21,Frilled Mystic,price/Ravnica+Remastered/Frilled+Mystic#paper, green green blue blue,1
22,Inga and Esika,price/March+of+the+Machine/Inga+and+Esika-showcase#paper, 2 green blue,1
23,"Kellan, Inquisitive Prodigy",price/Ravnica+Murders+at+Karlov+Manor/Kellan+Inquisitive+Prodigy#paper, 2 green blue,1
24,Master Biomancer,price/Ravnica+Clue+Edition/Master+Biomancer#paper, 2 green blue,1
25,Mystic Snake,price/Commander+2015/Mystic+Snake#paper, 1 green blue blue,1
26,Vizier of the Menagerie,price/Amonkhet/Vizier+of+the+Menagerie#paper, 3 green,1
27,"Imoti, Celebrant of Bounty",price/Multiverse+Legends/Imoti+Celebrant+of+Bounty#paper, 3 green blue,1
28,"Kruphix, God of Horizons",price/Mystery+Booster/Kruphix+God+of+Horizons#paper, 3 green blue,1
29,Murkfiend Liege,price/Commander+Legends/Murkfiend+Liege-precon#paper, 2 hyrid green blue hyrid green blue hyrid green blue,1
30,"Tatyova, Benthic Druid",price/Lost+Caverns+of+Ixalan+Commander/Tatyova+Benthic+Druid#paper, 3 green blue,1
31,Prime Speaker Zegana,price/Ravnica+Remastered/Prime+Speaker+Zegana-retro#paper, 2 green green blue blue,1
32,Progenitor Mimic,price/Ravnica+Allegiance+Guild+Kits/Progenitor+Mimic#paper, 4 green blue,1
33,Colossal Skyturtle,price/Kamigawa+Neon+Dynasty/Colossal+Skyturtle#paper, 4 green green blue,1
34,"Koma, Cosmos Serpent",price/Ravnica+Murders+at+Karlov+Manor+Commander/Koma+Cosmos+Serpent#paper, 3 green green blue blue,1
35,Craterhoof Behemoth,price/Commander+Masters/Craterhoof+Behemoth-foil+etched#paper, 5 green green green,1
36,"Oko, Thief of Crowns",price/Breaking+News/Oko+Thief+of+Crowns-showcase#paper, 1 green blue,1
37,Camouflage,price/Unlimited+Edition/Camouflage#paper, green,1
38,Veil of Summer,price/Core+Set+2020/Veil+of+Summer#paper, green,1
39,Applied Biomancy,price/Ravnica+Allegiance/Applied+Biomancy#paper, green blue,1
40,Cyclonic Rift,price/Commander+Masters/Cyclonic+Rift#paper, 1 blue,1
41,Decisive Denial,price/Breaking+News/Decisive+Denial-showcase#paper, green blue,1
42,Doppelgang,price/Ravnica+Murders+at+Karlov+Manor/Doppelgang#paper, x x x green blue,1
43,Growth Spiral,price/Dominaria+United+Commander/Growth+Spiral#paper, green blue,1
44,Heroic Intervention,price/Fallout/Heroic+Intervention-extended#paper, 1 green,1
45,Mana Drain,price/Breaking+News/Mana+Drain-showcase#paper, blue blue,1
46,Repulsive Mutation,price/Ravnica+Murders+at+Karlov+Manor/Repulsive+Mutation#paper, x green blue,1
47,Simic Charm,price/Gatecrash/Simic+Charm#paper, green blue,1
48,Cultivate,price/Dominaria+United+Commander/Cultivate#paper, 2 green,1
49,Polymorphist's Jest,price/Magic+2015+Core+Set/Polymorphists+Jest#paper, 1 blue blue,1
50,Voidslime,price/Breaking+News/Voidslime-showcase#paper, green blue blue,1
51,Plasm Capture,price/Outlaws+of+Thunder+Junction+Commander/Plasm+Capture#paper, green green blue blue,1
