,card,link,mana,n
0,"Sigarda, Font of Blessings",price/March+of+the+Machine+The+Aftermath/Sigarda+Font+of+Blessings#paper, 2 green white,1
1,Avacyn's Pilgrim,price/Starter+Commander/Avacyns+Pilgrim#paper, green,1
2,Esper Sentinel,price/Modern+Horizons+2/Esper+Sentinel#paper, white,1
3,Mother of Runes,price/Urzas+Legacy/Mother+of+Runes#paper, white,1
4,Soul Warden,price/Tenth+Edition/Soul+Warden#paper, white,1
5,Soul's Attendant,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Souls+Attendant-borderless#paper, white,1
6,"Giada, Font of Hope",price/Streets+of+New+Capenna/Giada+Font+of+Hope-showcase#paper, 1 white,1
7,Grand Abolisher,price/The+Big+Score/Grand+Abolisher#paper, white white,1
8,Saffi Eriksdotter,price/Time+Spiral+Remastered/Saffi+Eriksdotter#paper, green white,1
9,"Thalia, Guardian of Thraben",price/Innistrad+Crimson+Vow/Thalia+Guardian+of+Thraben-showcase#paper, 1 white,1
10,"Boromir, Warden of the Tower",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Boromir+Warden+of+the+Tower-showcase#paper, 2 white,1
11,Eternal Witness,price/Starter+Commander/Eternal+Witness#paper, 1 green green,1
12,"Heliod, Sun-Crowned",price/Theros+Beyond+Death/Heliod+Sun-Crowned-showcase#paper, 2 white,1
13,Loyal Retainers,price/Commander+Masters/Loyal+Retainers#paper, 2 white,1
14,Ranger-Captain of Eos,price/The+List/Ranger-Captain+of+Eos#paper, 1 white white,1
15,Recruiter of the Guard,price/Mystery+Booster/Recruiter+of+the+Guard#paper, 2 white,1
16,Righteous Valkyrie,price/Kaldheim/Righteous+Valkyrie-extended#paper, 2 white,1
17,Scurry Oak,price/Modern+Horizons+2/Scurry+Oak#paper, 2 green,1
18,Spike Feeder,price/Stronghold/Spike+Feeder#paper, 1 green green,1
19,Angel of Jubilation,price/Avacyn+Restored/Angel+of+Jubilation#paper, 1 white white white,1
20,"Gisela, the Broken Blade",price/Eldritch+Moon/Gisela+the+Broken+Blade#paper, 2 white white,1
21,"Linvala, Keeper of Silence",price/Jumpstart/Linvala+Keeper+of+Silence#paper, 2 white white,1
22,Serra Paragon,price/Dominaria+United/Serra+Paragon#paper, 2 white white,1
23,"Shalai, Voice of Plenty",price/Wilds+of+Eldraine+Commander/Shalai+Voice+of+Plenty#paper, 3 white,1
24,Archangel of Thune,price/Magic+2014+Core+Set/Archangel+of+Thune#paper, 3 white white,1
25,Herald of War,price/Innistrad+Midnight+Hunt+Commander/Herald+of+War#paper, 3 white white,1
26,Karmic Guide,price/Modern+Horizons+2/Karmic+Guide#paper, 3 white white,1
27,"Sigarda, Host of Herons",price/Avacyn+Restored/Sigarda+Host+of+Herons#paper, 2 green white white,1
28,Angel of Indemnity,price/Outlaws+of+Thunder+Junction+Commander/Angel+of+Indemnity-extended#paper, 5 white,1
29,"Bruna, the Fading Light",price/Eldritch+Moon/Bruna+the+Fading+Light#paper, 5 white white,1
30,"Avacyn, Angel of Hope",price/Double+Masters/Avacyn+Angel+of+Hope#paper, 5 white white white,1
31,"Emrakul, the Promised End",price/Eldritch+Moon/Emrakul+the+Promised+End#paper, 13,1
32,Enlightened Tutor,price/Dominaria+Remastered/Enlightened+Tutor-retro#paper, white,1
33,Galadriel's Dismissal,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Galadriels+Dismissal-borderless#paper, white,1
34,Green Sun's Zenith,price/Mirrodin+Besieged/Green+Suns+Zenith#paper, x green,1
35,Legolas's Quick Reflexes,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Legolass+Quick+Reflexes-borderless#paper, green,1
36,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
37,Silence,price/Magic+2011/Silence#paper, white,1
38,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
39,Worldly Tutor,price/Dominaria+Remastered/Worldly+Tutor-retro#paper, green,1
40,Eladamri's Call,price/Modern+Horizons/Eladamris+Call#paper, green white,1
41,Finale of Devastation,price/Commander+Masters/Finale+of+Devastation#paper, x green green,1
42,Heroic Intervention,price/Fallout/Heroic+Intervention-extended#paper, 1 green,1
43,Nature's Lore,price/Commander+Legends+Battle+for+Baldurs+Gate/Natures+Lore#paper, 1 green,1
44,Three Visits,price/Outlaws+of+Thunder+Junction+Commander/Three+Visits#paper, 1 green,1
45,Archdruid's Charm,price/Ravnica+Murders+at+Karlov+Manor/Archdruids+Charm#paper, green green green,1
46,Chord of Calling,price/Ravnica+Remastered/Chord+of+Calling-retro#paper, x green green green,1
47,Flawless Maneuver,price/Commander+Masters/Flawless+Maneuver#paper, 2 white,1
48,Teferi's Protection,price/Double+Masters+2022/Teferis+Protection-borderless#paper, 2 white,1
49,Force of Vigor,price/Breaking+News/Force+of+Vigor-showcase#paper, 2 green green,1
50,Chrome Mox,price/Eternal+Masters/Chrome+Mox#paper, 0,1
51,Jeweled Lotus,price/Commander+Masters/Jeweled+Lotus#paper, 0,1
52,Mana Crypt,price/Mystery+Booster/Mana+Crypt#paper, 0,1
53,Mana Vault,price/Fourth+Edition/Mana+Vault#paper, 1,1
54,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
55,Altar of Dementia,price/The+Brothers+War+Retro+Frame+Artifacts/Altar+of+Dementia-retro#paper, 2,1
56,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
57,The One Ring,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth:Foil/The+One+Ring-bundle#paper, 4,1
58,Cleric Class,price/Adventures+in+the+Forgotten+Realms/Cleric+Class#paper, white,1
59,Utopia Sprawl,price/Ravnica+Remastered/Utopia+Sprawl#paper, green,1
60,Wild Growth,price/Dominaria+Remastered/Wild+Growth-retro#paper, green,1
61,Survival of the Fittest,price/Exodus/Survival+of+the+Fittest#paper, 1 green,1
62,Sylvan Library,price/Dominaria+Remastered/Sylvan+Library-retro#paper, 1 green,1
63,Aura Shards,price/Mystery+Booster/Aura+Shards#paper, 1 green white,1
64,Guardian Project,price/Fallout/Guardian+Project-extended#paper, 3 green,1
65,Trouble in Pairs,price/Ravnica+Murders+at+Karlov+Manor+Commander/Trouble+in+Pairs#paper, 2 white white,1
66,Ancient Tomb,price/Ultimate+Masters/Ancient+Tomb#paper,,1
67,Arid Mesa,price/Modern+Horizons+2/Arid+Mesa#paper,,1
68,"Boseiju, Who Endures",price/Kamigawa+Neon+Dynasty/Boseiju+Who+Endures#paper,,1
69,Bountiful Promenade,price/Commander+Legends+Battle+for+Baldurs+Gate/Bountiful+Promenade#paper,,1
70,Branchloft Pathway,price/Zendikar+Rising/Branchloft+Pathway-borderless#paper,,1
71,Brushland,price/The+Brothers+War/Brushland#paper,,1
72,Cavern of Souls,price/Lost+Caverns+of+Ixalan/Cavern+of+Souls#paper,,1
73,Command Tower,price/Doctor+Who/Command+Tower-265#paper,,1
74,"Eiganjo, Seat of the Empire",price/Kamigawa+Neon+Dynasty/Eiganjo+Seat+of+the+Empire#paper,,1
75,"Emeria, Shattered Skyclave",price/Zendikar+Rising/Emeria+Shattered+Skyclave#paper,,1
76,Exotic Orchard,price/Outlaws+of+Thunder+Junction+Commander/Exotic+Orchard#paper,,1
77,Flooded Strand,price/Modern+Horizons+3/Flooded+Strand#paper,,1
78,Forest,price/Theros+Beyond+Death/Forest-254#paper,,1
79,Gemstone Caverns,price/Time+Spiral+Remastered/Gemstone+Caverns#paper,,1
80,Horizon Canopy,price/Doctor+Who/Horizon+Canopy#paper,,1
81,Lush Portico,price/Ravnica+Murders+at+Karlov+Manor/Lush+Portico#paper,,1
82,Marsh Flats,price/Modern+Horizons+2/Marsh+Flats#paper,,1
83,Minas Tirith,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Minas+Tirith#paper,,1
84,Misty Rainforest,price/Modern+Horizons+2/Misty+Rainforest#paper,,1
85,"Nykthos, Shrine to Nyx",price/The+List/Nykthos+Shrine+to+Nyx#paper,,1
86,Overgrown Farmland,price/Doctor+Who/Overgrown+Farmland#paper,,1
87,Plains,price/Theros+Beyond+Death/Plains-250#paper,,1
88,Prismatic Vista,price/Modern+Horizons/Prismatic+Vista#paper,,1
89,Reliquary Tower,price/Outlaws+of+Thunder+Junction+Commander/Reliquary+Tower#paper,,1
90,Rogue's Passage,price/Outlaws+of+Thunder+Junction+Commander/Rogues+Passage#paper,,1
91,Savannah,price/Revised+Edition/Savannah#paper,,1
92,Seraph Sanctuary,price/Avacyn+Restored/Seraph+Sanctuary#paper,,1
93,Sunpetal Grove,price/Fallout:Foil/Sunpetal+Grove-extended#paper,,1
94,Temple Garden,price/Return+to+Ravnica/Temple+Garden#paper,,1
95,"Turntimber, Serpentine Wood",price/Zendikar+Rising/Turntimber+Serpentine+Wood#paper,,1
96,Urza's Saga,price/Modern+Horizons+2/Urzas+Saga#paper,,1
97,Verdant Catacombs,price/Modern+Horizons+2/Verdant+Catacombs#paper,,1
98,Windswept Heath,price/Modern+Horizons+3/Windswept+Heath#paper,,1
99,Wooded Foothills,price/Modern+Horizons+3/Wooded+Foothills#paper,,1
