,card,link,mana,n
0,"Rograkh, Son of Rohgahh",price/Commander+Legends/Rograkh+Son+of+Rohgahh#paper, 0,1
1,"Yoshimaru, Ever Faithful",price/Kamigawa+Neon+Dynasty+Commander/Yoshimaru+Ever+Faithful#paper, white,1
2,Hope of Ghirapur,price/The+List/Hope+of+Ghirapur#paper, 1,1
3,Norin the Wary,price/Mystery+Booster+Retail+Edition+Foils:Foil/Norin+the+Wary#paper, red,1
4,"Skrelv, Defector Mite",price/PhyrexiaAll+Will+Be+One/Skrelv+Defector+Mite-showcase#paper, white,1
5,"Zabaz, the Glimmerwasp",price/Modern+Horizons+2/Zabaz+the+Glimmerwasp#paper, 1,1
6,"Akiri, Line-Slinger",price/Commander+Legends:Foil/Akiri+Line-Slinger-etched#paper, red white,1
7,"Anafenza, Kin-Tree Spirit",price/Commander+Masters/Anafenza+Kin-Tree+Spirit#paper, white white,1
8,"Ash, Party Crasher",price/Wilds+of+Eldraine/Ash+Party+Crasher#paper, red white,1
9,"Baird, Argivian Recruiter",price/Dominaria+United/Baird+Argivian+Recruiter-showcase#paper, red white,1
10,"Daxos, Blessed by the Sun",price/Theros+Beyond+Death/Daxos+Blessed+by+the+Sun-showcase#paper, white white,1
11,Eight-and-a-Half-Tails,price/Commander+Legends+Battle+for+Baldurs+Gate/Eight-and-a-Half-Tails#paper, white white,1
12,"Goro-Goro, Disciple of Ryusei",price/Kamigawa+Neon+Dynasty/Goro-Goro+Disciple+of+Ryusei#paper, 1 red,1
13,"Kediss, Emberclaw Familiar",price/Commander+Legends/Kediss+Emberclaw+Familiar#paper, 1 red,1
14,"Keleth, Sunmane Familiar",price/Commander+Legends/Keleth+Sunmane+Familiar#paper, 1 white,1
15,"Magda, Brazen Outlaw",price/Kaldheim/Magda+Brazen+Outlaw#paper, 1 red,1
16,"Merry, Esquire of Rohan",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Merry+Esquire+of+Rohan#paper, red white,1
17,"Plargg, Dean of Chaos",price/Strixhaven+School+of+Mages/Plargg+Dean+of+Chaos#paper, 1 red,1
18,"Syr Ginger, the Meal Ender",price/Wilds+of+Eldraine/Syr+Ginger+the+Meal+Ender#paper, 2,1
19,"Anax, Hardened in the Forge",price/Commander+Masters/Anax+Hardened+in+the+Forge#paper, 1 red red,1
20,"Anim Pakal, Thousandth Moon",price/Lost+Caverns+of+Ixalan/Anim+Pakal+Thousandth+Moon-showcase#paper, 1 red white,1
21,Arni Metalbrow,price/March+of+the+Machine+The+Aftermath:Foil/Arni+Metalbrow-extended#paper, 2 red,1
22,Captain Lannery Storm,price/Outlaws+of+Thunder+Junction+Commander/Captain+Lannery+Storm#paper, 2 red,1
23,"Eowyn, Lady of Rohan",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Eowyn+Lady+of+Rohan#paper, 2 white,1
24,"Lae'zel, Vlaakith's Champion",price/Commander+Legends+Battle+for+Baldurs+Gate/Laezel+Vlaakiths+Champion-showcase#paper, 2 white,1
25,"Nadaar, Selfless Paladin",price/Adventures+in+the+Forgotten+Realms/Nadaar+Selfless+Paladin-showcase#paper, 2 white,1
26,"Reidane, God of the Worthy",price/Kaldheim/Reidane+God+of+the+Worthy-showcase#paper, 2 white,1
27,"Rem Karolus, Stalwart Slayer",price/Innistrad+Midnight+Hunt/Rem+Karolus+Stalwart+Slayer-showcase#paper, 1 red white,1
28,"Squee, Dubious Monarch",price/Dominaria+United/Squee+Dubious+Monarch-showcase#paper, 2 red,1
29,"Taranika, Akroan Veteran",price/Jumpstart+2022/Taranika+Akroan+Veteran#paper, 1 white white,1
30,"Theoden, King of Rohan",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Theoden+King+of+Rohan#paper, 1 red white,1
31,Tuktuk the Explorer,price/Double+Masters/Tuktuk+the+Explorer#paper, 2 red,1
32,"Zirda, the Dawnwaker",price/Ikoria+Lair+of+Behemoths/Zirda+the+Dawnwaker#paper, 1 hyrid red white hyrid red white,1
33,"Teshar, Ancestor's Apostle",price/Commander+Masters/Teshar+Ancestors+Apostle#paper, 3 white,1
34,Gandalf the White,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Gandalf+the+White#paper, 3 white white,1
35,Basri Ket,price/Core+Set+2021/Basri+Ket#paper, 1 white white,1
36,Archangel Elspeth,price/March+of+the+Machine/Archangel+Elspeth-borderless#paper, 2 white white,1
37,Blacksmith's Skill,price/Modern+Horizons+2/Blacksmiths+Skill-retro#paper, white,1
