,card,link,mana,n
0,"Fynn, the Fangbearer",price/Multiverse+Legends/Fynn+the+Fangbearer#paper, 1 green,1
1,Arboreal Grazer,price/Ravnica+Remastered/Arboreal+Grazer#paper, green,1
2,Elvish Mystic,price/Commander+Masters/Elvish+Mystic#paper, green,1
3,Fang of Shigeki,price/Kamigawa+Neon+Dynasty/Fang+of+Shigeki-showcase#paper, green,1
4,Gnarlwood Dryad,price/Eldritch+Moon/Gnarlwood+Dryad#paper, green,1
5,Llanowar Elves,price/Magic+2010/Llanowar+Elves#paper, green,1
6,Moss Viper,price/Theros+Beyond+Death/Moss+Viper#paper, green,1
7,Narnam Renegade,price/Aether+Revolt/Narnam+Renegade#paper, green,1
8,Sedge Scorpion,price/Core+Set+2020/Sedge+Scorpion#paper, green,1
9,Tajuru Blightblade,price/Zendikar+Rising/Tajuru+Blightblade#paper, green,1
10,Ambush Viper,price/Commander+Legends/Ambush+Viper#paper, 1 green,1
11,Blight Mamba,price/Phyrexia+All+Will+Be+One+Commander/Blight+Mamba#paper, 1 green,1
12,Deadly Recluse,price/Double+Masters+2022/Deadly+Recluse#paper, 1 green,1
13,Elvish Visionary,price/Game+Night+Free-For-All/Elvish+Visionary#paper, 1 green,1
14,Kappa Tech-Wrecker,price/Kamigawa+Neon+Dynasty/Kappa+Tech-Wrecker-showcase#paper, 1 green,1
15,Poison Dart Frog,price/Lost+Caverns+of+Ixalan/Poison+Dart+Frog#paper, 1 green,1
16,Thornweald Archer,price/Game+Night+Free-For-All/Thornweald+Archer#paper, 1 green,1
17,Augur of Autumn,price/Innistrad+Midnight+Hunt/Augur+of+Autumn#paper, 1 green green,1
18,Bloated Contaminator,price/PhyrexiaAll+Will+Be+One/Bloated+Contaminator#paper, 2 green,1
19,Champion of Lambholt,price/Starter+Commander/Champion+of+Lambholt#paper, 1 green green,1
20,Evolution Sage,price/Phyrexia+All+Will+Be+One+Commander/Evolution+Sage#paper, 2 green,1
21,Hornet Nest,price/Starter+Commander/Hornet+Nest#paper, 2 green,1
22,Ichorspit Basilisk,price/PhyrexiaAll+Will+Be+One/Ichorspit+Basilisk#paper, 2 green,1
23,Mwonvuli Beast Tracker,price/Magic+2013/Mwonvuli+Beast+Tracker#paper, 1 green green,1
24,Ohran Viper,price/Duel+Decks+Jace+vs+Vraska/Ohran+Viper#paper, 1 green green,1
25,Sabertooth Cobra,price/Mirage/Sabertooth+Cobra#paper, 2 green,1
26,Skullwinder,price/Outlaws+of+Thunder+Junction+Commander/Skullwinder#paper, 2 green,1
27,Viridian Corrupter,price/Phyrexia+All+Will+Be+One+Commander/Viridian+Corrupter#paper, 1 green green,1
28,Beast Whisperer,price/Ravnica+Murders+at+Karlov+Manor+Commander/Beast+Whisperer#paper, 2 green green,1
29,Bloom Hulk,price/War+of+the+Spark/Bloom+Hulk#paper, 3 green,1
30,Oakhame Adversary,price/Throne+of+Eldraine/Oakhame+Adversary#paper, 3 green,1
31,Questing Beast,price/Throne+of+Eldraine/Questing+Beast#paper, 2 green green,1
32,Urban Daggertooth,price/Modern+Horizons+2/Urban+Daggertooth#paper, 2 green green,1
33,Venomous Brutalizer,price/PhyrexiaAll+Will+Be+One/Venomous+Brutalizer#paper, 2 green green,1
34,Contaminant Grafter,price/Phyrexia+All+Will+Be+One+Commander/Contaminant+Grafter#paper, 4 green,1
35,Ohran Frostfang,price/Outlaws+of+Thunder+Junction+Commander/Ohran+Frostfang#paper, 3 green green,1
36,Phyrexian Swarmlord,price/Phyrexia+All+Will+Be+One+Commander/Phyrexian+Swarmlord#paper, 4 green green,1
37,Hornet Queen,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Hornet+Queen#paper, 4 green green green,1
38,Paladin of Predation,price/PhyrexiaAll+Will+Be+One/Paladin+of+Predation#paper, 5 green green,1
39,"Vivien, Champion of the Wilds",price/Commander+Legends+Battle+for+Baldurs+Gate/Vivien+Champion+of+the+Wilds#paper, 2 green,1
40,"Garruk, Unleashed",price/Core+Set+2021/Garruk+Unleashed#paper, 2 green green,1
41,Autumn's Veil,price/Magic+2011/Autumns+Veil#paper, green,1
42,Natural State,price/Oath+of+the+Gatewatch/Natural+State#paper, green,1
43,Snakeskin Veil,price/Outlaws+of+Thunder+Junction/Snakeskin+Veil#paper, green,1
44,Tamiyo's Safekeeping,price/Kamigawa+Neon+Dynasty/Tamiyos+Safekeeping#paper, green,1
45,Thirsting Roots,price/PhyrexiaAll+Will+Be+One/Thirsting+Roots#paper, green,1
46,Withstand Death,price/Scars+of+Mirrodin/Withstand+Death#paper, green,1
47,Explore,price/Outlaws+of+Thunder+Junction+Commander/Explore#paper, 1 green,1
48,Infectious Bite,price/PhyrexiaAll+Will+Be+One/Infectious+Bite#paper, 1 green,1
49,Rampant Growth,price/Outlaws+of+Thunder+Junction+Commander/Rampant+Growth#paper, 1 green,1
50,Smell Fear,price/Modern+Horizons+2/Smell+Fear#paper, 1 green,1
51,Unnatural Restoration,price/PhyrexiaAll+Will+Be+One/Unnatural+Restoration#paper, 1 green,1
52,Beast Within,price/Duel+Decks+Heroes+vs+Monsters/Beast+Within#paper, 2 green,1
53,Carnivorous Canopy,price/PhyrexiaAll+Will+Be+One/Carnivorous+Canopy#paper, 2 green,1
54,Roiling Regrowth,price/Zendikar+Rising/Roiling+Regrowth#paper, 2 green,1
55,Expand the Sphere,price/PhyrexiaAll+Will+Be+One/Expand+the+Sphere#paper, 3 green,1
56,Triumph of the Hordes,price/Mystery+Booster/Triumph+of+the+Hordes#paper, 2 green green,1
57,Noxious Assault,price/PhyrexiaAll+Will+Be+One/Noxious+Assault#paper, 3 green green,1
58,Planewide Celebration,price/War+of+the+Spark/Planewide+Celebration#paper, 5 green green,1
59,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
60,Contagion Clasp,price/Fallout/Contagion+Clasp#paper, 2,1
61,Lightning Greaves,price/Outlaws+of+Thunder+Junction+Commander/Lightning+Greaves#paper, 2,1
62,In Search of Greatness,price/Kaldheim/In+Search+of+Greatness#paper, green green,1
63,Kenrith's Transformation,price/Wilds+of+Eldraine+Commander/Kenriths+Transformation#paper, 1 green,1
64,Bow of Nylea,price/Theros/Bow+of+Nylea#paper, 1 green green,1
