,card,link,mana,n
0,"Kardur, Doomscourge",price/Kaldheim/Kardur+Doomscourge-showcase#paper, 2 black red,1
1,Stormfist Crusader,price/Starter+Commander/Stormfist+Crusader#paper, black red,1
2,Thermo-Alchemist,price/Jumpstart+2022/Thermo-Alchemist#paper, 1 red,1
3,Burnished Hart,price/Commander+Legends+Battle+for+Baldurs+Gate/Burnished+Hart#paper, 3,1
4,Guttersnipe,price/Outlaws+of+Thunder+Junction+Commander/Guttersnipe#paper, 2 red,1
5,Vampire Nighthawk,price/Starter+Commander/Vampire+Nighthawk#paper, 1 black black,1
6,Sangromancer,price/Starter+Commander/Sangromancer#paper, 2 black black,1
7,Solemn Simulacrum,price/Fallout/Solemn+Simulacrum#paper, 4,1
8,Tectonic Giant,price/Starter+Commander/Tectonic+Giant#paper, 2 red red,1
9,Wildfire Devils,price/Starter+Commander/Wildfire+Devils#paper, 3 red,1
10,Archfiend of Depravity,price/Fate+Reforged/Archfiend+of+Depravity#paper, 3 black black,1
11,Bloodgift Demon,price/Starter+Commander/Bloodgift+Demon#paper, 3 black black,1
12,Brash Taunter,price/Ravnica+Murders+at+Karlov+Manor+Commander/Brash+Taunter#paper, 4 red,1
13,Indulgent Tormentor,price/Iconic+Masters/Indulgent+Tormentor#paper, 3 black black,1
14,"Kazuul, Tyrant of the Cliffs",price/Ravnica+Murders+at+Karlov+Manor+Commander/Kazuul+Tyrant+of+the+Cliffs#paper, 3 red red,1
15,Titan Hunter,price/Starter+Commander/Titan+Hunter#paper, 4 black,1
16,Combustible Gearhulk,price/Starter+Commander/Combustible+Gearhulk#paper, 4 red red,1
17,Geode Rager,price/Starter+Commander/Geode+Rager#paper, 4 red red,1
18,Rakshasa Debaser,price/Starter+Commander/Rakshasa+Debaser#paper, 4 black black,1
19,Scythe Specter,price/Starter+Commander/Scythe+Specter#paper, 4 black black,1
20,Kaervek the Merciless,price/Starter+Commander/Kaervek+the+Merciless#paper, 5 black red,1
21,Sepulchral Primordial,price/Starter+Commander/Sepulchral+Primordial#paper, 5 black black,1
22,Magmatic Force,price/Starter+Commander/Magmatic+Force#paper, 5 red red red,1
23,Ob Nixilis Reignited,price/Starter+Commander/Ob+Nixilis+Reignited#paper, 3 black black,1
24,Abrade,price/Starter+Commander/Abrade#paper, 1 red,1
25,Feed the Swarm,price/Outlaws+of+Thunder+Junction+Commander/Feed+the+Swarm#paper, 1 black,1
