,card,link,mana,n
0,"Gwafa Hazid, Profiteer",price/Commander+2016/Gwafa+Hazid+Profiteer#paper, 1 white blue,1
1,Esper Sentinel,price/Modern+Horizons+2/Esper+Sentinel#paper, white,1
2,Ruin Crab,price/Zendikar+Rising/Ruin+Crab-showcase#paper, blue,1
3,Manic Scribe,price/Shadows+over+Innistrad/Manic+Scribe#paper, 1 blue,1
4,Bruvac the Grandiloquent,price/Ravnica+Remastered/Bruvac+the+Grandiloquent-borderless+Anime#paper, 2 blue,1
5,Burnished Hart,price/Commander+Legends+Battle+for+Baldurs+Gate/Burnished+Hart#paper, 3,1
6,Fatespinner,price/Mirrodin/Fatespinner#paper, 1 blue blue,1
7,Loyal Drake,price/Commander+Masters/Loyal+Drake#paper, 2 blue,1
8,Moon-Blessed Cleric,price/Adventures+in+the+Forgotten+Realms/Moon-Blessed+Cleric#paper, 2 white,1
9,"Nils, Discipline Enforcer",price/Commander+2021/Nils+Discipline+Enforcer#paper, 2 white,1
10,Selhoff Occultist,price/Innistrad/Selhoff+Occultist#paper, 2 blue,1
11,Wall of Denial,price/Commander+Masters/Wall+of+Denial#paper, 1 white blue,1
12,Archangel of Tithes,price/Outlaws+of+Thunder+Junction/Archangel+of+Tithes#paper, 1 white white white,1
13,Archon of Absolution,price/Throne+of+Eldraine/Archon+of+Absolution#paper, 3 white,1
14,"Baird, Steward of Argive",price/Commander+Masters/Baird+Steward+of+Argive#paper, 2 white white,1
15,Combat Calligrapher,price/Commander+2021/Combat+Calligrapher#paper, 3 white,1
16,Magus of the Moat,price/Mystery+Booster/Magus+of+the+Moat#paper, 2 white white,1
17,"Michiko Konda, Truth Seeker",price/Jumpstart+2022/Michiko+Konda+Truth+Seeker#paper, 3 white,1
18,Selfless Squire,price/Ravnica+Murders+at+Karlov+Manor+Commander/Selfless+Squire#paper, 3 white,1
19,Silent Arbiter,price/Commander+Masters/Silent+Arbiter#paper, 4,1
20,Suppressor Skyguard,price/Ravnica+Clue+Edition/Suppressor+Skyguard#paper, 2 white blue,1
21,Wall of Stolen Identity,price/Commander+2019/Wall+of+Stolen+Identity#paper, 3 blue,1
22,Windborn Muse,price/Ravnica+Murders+at+Karlov+Manor+Commander/Windborn+Muse#paper, 3 white,1
23,Azor's Elocutors,price/Return+to+Ravnica/Azors+Elocutors#paper, 3 hyrid white blue hyrid white blue,1
24,Champions of Minas Tirith,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Champions+of+Minas+Tirith#paper, 5 white,1
25,"Jace, Memory Adept",price/Magic+2014+Core+Set/Jace+Memory+Adept#paper, 3 blue blue,1
26,Path to Exile,price/Outlaws+of+Thunder+Junction+Commander/Path+to+Exile#paper, white,1
27,Swords to Plowshares,price/Starter+Commander/Swords+to+Plowshares#paper, white,1
28,Bring the Ending,price/PhyrexiaAll+Will+Be+One/Bring+the+Ending#paper, 1 blue,1
29,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
30,Jwari Disruption,price/Zendikar+Rising/Jwari+Disruption#paper, 1 blue,1
31,Lose Focus,price/Modern+Horizons+2/Lose+Focus#paper, 1 blue,1
32,Maddening Cacophony,price/Zendikar+Rising/Maddening+Cacophony#paper, 1 blue,1
33,Mana Leak,price/Double+Masters+2022/Mana+Leak#paper, 1 blue,1
