,card,link,mana,n
0,Missy,price/Doctor+Who:Foil/Missy#paper, 3 blue black red,1
1,Cyberman Patrol,price/Doctor+Who/Cyberman+Patrol#paper, 2,1
2,Cybermat,price/Doctor+Who/Cybermat#paper, 2,1
3,Steel Overseer,price/Fallout/Steel+Overseer#paper, 2,1
4,Scrap Trawler,price/March+of+the+Machine+Commander/Scrap+Trawler#paper, 3,1
5,The Cyber-Controller,price/Doctor+Who/The+Cyber-Controller#paper, x blue blue black,1
6,"Davros, Dalek Creator",price/Doctor+Who:Foil-Etched/Davros+Dalek+Creator-foil+etched#paper, 1 blue black red,1
7,Graveshifter,price/March+of+the+Machine+Commander/Graveshifter#paper, 3 black,1
8,"Padeem, Consul of Innovation",price/The+Brothers+War+Commander/Padeem+Consul+of+Innovation-retro#paper, 3 blue,1
9,"The Master, Gallifrey's End",price/Doctor+Who/The+Master+Gallifreys+End#paper, 2 black red,1
10,"The Master, Mesmerist",price/Doctor+Who/The+Master+Mesmerist#paper, 2 blue black,1
11,The Rani,price/Doctor+Who/The+Rani#paper, 1 blue black red,1
12,Psychosis Crawler,price/Ravnica+Murders+at+Karlov+Manor+Commander/Psychosis+Crawler#paper, 5,1
13,"Brudiclad, Telchor Engineer",price/The+Brothers+War+Commander/Brudiclad+Telchor+Engineer-retro#paper, 4 blue red,1
14,Cyberdrive Awakener,price/Kamigawa+Neon+Dynasty+Commander/Cyberdrive+Awakener-extended#paper, 5 blue,1
15,Noxious Gearhulk,price/March+of+the+Machine+Commander/Noxious+Gearhulk#paper, 4 black black,1
16,"The Master, Multiplied",price/Doctor+Who/The+Master+Multiplied#paper, 4 black red,1
17,Cybermen Squadron,price/Doctor+Who/Cybermen+Squadron#paper, 7,1
18,Meteor Golem,price/Jumpstart+2022/Meteor+Golem#paper, 7,1
19,Ponder,price/Outlaws+of+Thunder+Junction+Commander/Ponder#paper, blue,1
20,Time Lord Regeneration,price/Doctor+Who/Time+Lord+Regeneration#paper, blue,1
21,Abrade,price/Starter+Commander/Abrade#paper, 1 red,1
22,Cyber Conversion,price/Doctor+Who/Cyber+Conversion#paper, blue blue,1
23,Delete,price/Doctor+Who/Delete#paper, x red red,1
24,Go for the Throat,price/The+Brothers+War/Go+for+the+Throat#paper, 1 black,1
25,Run for Your Life,price/Doctor+Who/Run+for+Your+Life#paper, blue red,1
26,Chaos Warp,price/Outlaws+of+Thunder+Junction+Commander/Chaos+Warp#paper, 2 red,1
27,Victimize,price/March+of+the+Machine+Commander/Victimize#paper, 2 black,1
28,Ambition's Cost,price/Starter+Commander/Ambitions+Cost#paper, 3 black,1
29,Dutiful Return,price/Battle+for+Zendikar/Dutiful+Return#paper, 3 black,1
30,This Is How It Ends,price/Doctor+Who/This+Is+How+It+Ends#paper, 3 black,1
31,Throes of Chaos,price/Doctor+Who/Throes+of+Chaos#paper, 3 red,1
32,Into the Time Vortex,price/Doctor+Who/Into+the+Time+Vortex#paper, 4 red,1
33,Path of the Schemer,price/March+of+the+Machine+Commander/Path+of+the+Schemer#paper, 4 black,1
34,Yawgmoth's Vile Offering,price/March+of+the+Machine+Commander/Yawgmoths+Vile+Offering#paper, 4 black,1
35,Sol Ring,price/Outlaws+of+Thunder+Junction+Commander/Sol+Ring#paper, 1,1
36,Wayfarer's Bauble,price/Lost+Caverns+of+Ixalan+Commander/Wayfarers+Bauble#paper, 1,1
37,Arcane Signet,price/Fallout/Arcane+Signet#paper, 2,1
38,Dimir Signet,price/Ravnica+Clue+Edition/Dimir+Signet#paper, 2,1
39,Izzet Signet,price/Outlaws+of+Thunder+Junction+Commander/Izzet+Signet#paper, 2,1
40,Thought Vessel,price/Ravnica+Murders+at+Karlov+Manor+Commander/Thought+Vessel#paper, 2,1
41,Commander's Sphere,price/Lost+Caverns+of+Ixalan+Commander/Commanders+Sphere#paper, 3,1
42,Cursed Mirror,price/Outlaws+of+Thunder+Junction+Commander/Cursed+Mirror#paper, 2 red,1
43,Laser Screwdriver,price/Doctor+Who/Laser+Screwdriver#paper, 3,1
44,Cybership,price/Doctor+Who/Cybership#paper, 6,1
45,King Narfi's Betrayal,price/Lost+Caverns+of+Ixalan+Commander/King+Narfis+Betrayal#paper, 1 blue black,1
46,Propaganda,price/Outlaws+of+Thunder+Junction+Commander/Propaganda#paper, 2 blue,1
47,Death in Heaven,price/Doctor+Who/Death+in+Heaven#paper, 3 black,1
48,Inventive Iteration,price/Kamigawa+Neon+Dynasty/Inventive+Iteration#paper, 3 blue,1
49,Mechanized Production,price/Fallout/Mechanized+Production#paper, 2 blue blue,1
50,The Brothers' War,price/The+Brothers+War+Commander/The+Brothers+War#paper, 3 red,1
51,The Flux,price/Doctor+Who/The+Flux#paper, 2 red red,1
52,Thopter Spy Network,price/Kamigawa+Neon+Dynasty+Commander/Thopter+Spy+Network#paper, 2 blue blue,1
53,Become the Pilot,price/Doctor+Who/Become+the+Pilot#paper, 3 blue blue,1
54,Black Market,price/Fallout/Black+Market-extended#paper, 3 black black,1
55,Metallurgic Summonings,price/Kaladesh/Metallurgic+Summonings#paper, 3 blue blue,1
56,Return the Past,price/Doctor+Who/Return+the+Past#paper, 4 red red,1
57,Wound Reflection,price/Doctor+Who/Wound+Reflection-extended#paper, 5 black,1
58,Buried Ruin,price/Fallout/Buried+Ruin#paper,,1
