,card,link,mana,n
0,"Sauron, Lord of the Rings",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Sauron+Lord+of+the+Rings#paper, 5 blue black red,1
1,Goblin Cratermaker,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Goblin+Cratermaker#paper, 1 red,1
2,"Grishnakh, Brash Instigator",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Grishnakh+Brash+Instigator#paper, 2 red,1
3,Guttersnipe,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Guttersnipe#paper, 2 red,1
4,Merciless Executioner,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Merciless+Executioner#paper, 2 black,1
5,Moria Scavenger,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Moria+Scavenger-showcase#paper, 1 black red,1
6,Orcish Siegemaster,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Orcish+Siegemaster#paper, 2 red,1
7,Treasure Nabber,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Treasure+Nabber#paper, 2 red,1
8,Anger,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Anger#paper, 3 red,1
9,Corsairs of Umbar,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Corsairs+of+Umbar#paper, 3 blue,1
10,"Grima, Saruman's Footman",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Grima+Sarumans+Footman#paper, 2 blue black,1
11,Hostage Taker,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Hostage+Taker#paper, 2 blue black,1
12,Notion Thief,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Notion+Thief#paper, 2 blue black,1
13,"Saruman, the White Hand",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Saruman+the+White+Hand#paper, 1 blue black red,1
14,"Shelob, Dread Weaver",price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Shelob+Dread+Weaver#paper, 3 black,1
15,Goblin Dark-Dwellers,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Goblin+Dark-Dwellers#paper, 3 red red,1
16,Lord of the Nazgul,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Lord+of+the+Nazgul#paper, 3 blue black,1
17,Monstrosity of the Lake,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Monstrosity+of+the+Lake-showcase#paper, 4 blue,1
18,Siege-Gang Commander,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Siege-Gang+Commander#paper, 3 red red,1
19,The Mouth of Sauron,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/The+Mouth+of+Sauron#paper, 3 blue black,1
20,Inferno Titan,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Inferno+Titan#paper, 4 red red,1
21,Scourge of the Throne,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Scourge+of+the+Throne#paper, 4 red red,1
22,Troll of Khazad-dum,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Troll+of+Khazad-dum#paper, 5 black,1
23,Voracious Fell Beast,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Voracious+Fell+Beast#paper, 4 black black,1
24,Knollspine Dragon,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Knollspine+Dragon#paper, 5 red red,1
25,Rampaging War Mammoth,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Rampaging+War+Mammoth#paper, 5 red red,1
26,The Balrog of Moria,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/The+Balrog+of+Moria#paper, 4 black black red,1
27,Cavern-Hoard Dragon,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Cavern-Hoard+Dragon#paper, 7 red red,1
28,Consider,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Consider#paper, blue,1
29,Faithless Looting,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Faithless+Looting#paper, red,1
30,Reanimate,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Reanimate#paper, black,1
31,Arcane Denial,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Arcane+Denial#paper, 1 blue,1
32,Feed the Swarm,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Feed+the+Swarm#paper, 1 black,1
33,Summons of Saruman,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Summons+of+Saruman#paper, x blue red,1
34,Thrill of Possibility,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Thrill+of+Possibility#paper, 1 red,1
35,Forbidden Alchemy,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Forbidden+Alchemy#paper, 2 blue,1
36,Treason of Isengard,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Treason+of+Isengard#paper, 2 blue,1
37,Bitter Downfall,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Bitter+Downfall#paper, 3 black,1
38,Deep Analysis,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Deep+Analysis#paper, 3 blue,1
39,Fact or Fiction,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Fact+or+Fiction#paper, 3 blue,1
40,Languish,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Languish#paper, 2 black black,1
41,Lidless Gaze,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Lidless+Gaze#paper, 2 black red,1
42,Extract from Darkness,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Extract+from+Darkness#paper, 3 blue black,1
43,Living Death,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Living+Death#paper, 3 black black,1
44,Boon of the Wish-Giver,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Boon+of+the+Wish-Giver#paper, 4 blue blue,1
45,Wake the Dragon,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Wake+the+Dragon#paper, 4 black red,1
46,Subjugate the Hobbits,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Subjugate+the+Hobbits#paper, 5 blue blue,1
